IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description
I-56580,0.033,SHEET,1,0.033,P-22042,CAKE SHEET*STRAWB SHORTCAKE 
I-13327,0.7,pak,1,0.35,P-26479,COFFEE LUSH 42 X 110G
I-2501,0.3,pak,1,0.15,P-26479,COFFEE SUPER DARK 110g
I-19633,1,pak,1,0.1818,P-31170,YOGURT FROZEN MIX 
I-1187,1,LOAF,1,0.0714,P-45430,LOAF COUNTRY WHOLE WHEAT
I-1047,12,CT,1,1,P-46861,HOT DOG BUN SLIDER SLCD FZN
I-31492,1,ea,1,1,P-48485,BAR SWEET SALTY CARAMEL 12X16
I-16216,1,slice,1,1,P-50510,CAKE SHEET*TRIPLE CHOC FUDGE
I-4766,10,CT,1,8,P-53753,ORANGES SUNKISTUS 88
I-3344,12,PTN,1,0.2667,P-53798,MARGARINE NONHYDROG PORT TFC
I-2672,1,CT,1,1,P-55173,PIE TOP U/SWT 5IN TFC
I-4504,4,ea,1,0.16,P-55583,BANANA LEAVES FROZEN 454G
I-36765,2,ea,1,0.8,P-56195,LA COSTENA Jalapeno Slices
I-11518,5,bag,1,2.1739,P-57001,CHIP HARDBITE SALT&VIN
I-11855,1,CT,1,0.1667,P-57968,CIABATTA MG
I-1186,0.025,LOAF,1,0.0042,P-57968,LOAF COUNTRY MULTIGRAIN
I-25119,1,ea,1,1,P-58285,CONT PLAS CLR W/LID TEAR 16OZ
I-57682,0.1,each,1,0.1,P-58286,BS|Rice Krispies (6ea)
I-1275,1,LOAF,1,0.0556,P-58309,LOAF WHOLE WHEAT SANDWICH 
I-50577,1,Dollar,1,2,P-59674,GHOST ITEM
I-37651,10,each,1,0.7143,P-59830,TEA BLACK EARL GREY
I-2768,0.25,CT,1,0.25,P-60855,SAMOSA BEEF 
I-2769,0.25,CT,1,0.25,P-60855,SAMOSA CHICKEN 
I-2771,0.25,CT,1,0.25,P-60855,SAMOSA VEGGIE 
I-9835,1,CT,1,1.1765,P-61076,TURNIP WHITE
I-53518,0.033,SHEET,1,0.033,P-61132,BROWNIE TIGER
I-18639,0.033,SHEET,1,0.033,P-61133,CAKE SHEET TRIPLEBERRY CRUMBLE
