IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description
I-2501,27.5,g,1,0.0042,P-12392,COFFEE SUPER DARK 110g
I-1280,125,g,1,1,P-14695,"BUN SUB WHOLE WHEAT - 8"""
I-15239,57,g,1,3,P-14833,DIM SUM CHICKEN WONTON
I-1050,1500,g,1,1,P-22031,CAKE - FOODMESH SPECIALS 
I-1062,66,g,1,0.033,P-22034,CAKE ORANGE CREAM 12X16IN
I-1059,84,g,1,0.042,P-22045,LEMON CRUNCH 12X16IN TFC
I-1060,66,g,1,0.033,P-22046,CAKE MAPLE*CHOC MANIA 16IN
I-1061,58.8,g,1,0.042,P-22047,CRUMBLE MXD BERRY 12X16IN T
I-2668,200.4,g,1,0.167,P-22058,PIE PECAN CKDCRUST 10IN
I-2671,200.4,g,1,0.167,P-22060,PIE STRAW*RHUBARB U/BKD 10IN
I-1851,946,ml,1,1,P-22287,ALMOND BEV - CHOCOLATE
I-1852,946,ml,1,1,P-22288,ALMOND BEV - ORIGINAL
I-19633,174,g,1,0.1818,P-23837,YOGURT FROZEN MIX 
I-33133,510,g,1,0.0417,P-24027,"LOAF FLAX SLICED 5/8"" PSANT "
I-1373,1530,g,1,0.15,P-29255,LOAF MULTIGRAIN BREAD
I-22489,63,g,1,1,P-32073,"TART BUTTER PLAIN 3"" "
I-33571,0,g,1,2,P-32155,"BAG PORTION NAT 5""X""4.5""X1.5"""
I-32431,0,g,1,1.87,P-36698,OC
I-39498,0,g,1,1,P-36698,BOWL PPR OVAL 16OZ
I-39499,0,g,1,1,P-36698,LID PLAS OVAL CLEAR DOME
I-2598,89,g,1,1,P-38314,EGG ROLL VEGETABLE FZN
I-4552,181436.8,g,1,0.2,P-42763,CABBAGE GREEN(50 LBS) BC
I-1124,226,g,1,1,P-44445,PIE SHELL 4IN TOPS U/SWT TFC
I-1037p,0,g,1,1,P-45695,CUP PLAS CL 9Z PET
I-1054p,0,g,1,1,P-45695,LID DOME CLR F/ CUP PET 9-20Z
I-15197,13584,g,1,1.0213,P-47599,EGGPLANT
I-50577,0,g,1,16.3289,P-52908,GHOST ITEM
I-37648,10,g,1,4,P-55178,TEA BLACK CHAI
I-65852,82,g,1,0.1667,P-57968,"CIABATTA WH/GRAIN 6"""
I-70004,10,each,1,1.087,P-62014,BEEF STEAK STRIPLOIN PRIME 170
I-13420,1,LOAF,1,0.0833,P-62067,LOAF GF WHITE UDI'S SANDWICH
I-63091,1,ea,1,0.001,P-64400,JUICE ORANGE*100% 960ml OASIS
I-63697,1,ea,1,0.1667,P-64904,BAGEL MULTIGRAIN 4OZ
I-61648,50,ea,1,1,P-68139,BEYOND MEAT SAUSAGE VEG ORIG
I-3238,1,pak,1,0.0077,P-68240,CRACKER TABLE*WATER BITE SIZE
I-68699,1,each,1,0.002,P-68713,EGG LIQ*WHL VEGAN JUST EGG
I-10503,4,each,1,0.0667,P-70682,HOT DOG*PLANT BASED WIENER FZN
I-63948,8,ea,1,0.4,P-70969,NORA'S ND VANILLA BEAN
I-71503,1,LOAF,1,0.0556,P-70990,LOAF WHITE 5/8 CLUBHOUSE
I-2564,60,CT,1,1,P-71427,BEEF SAUSAGE ROLL U/BKD BEEF
I-20879,120,CT,1,1,P-71464,SOUVLAKI BEEF 75G SKEWERS
I-11206,7,MINUTE,1,2.8,P-7515,CK LABOUR
I-17687,1,ea,1,1,R-10741,CHIPS COCONUT 
I-1941,1,CT,1,1,R-10741,FRUIT & NUT TRAIL MIX LG
I-4404,1,CT,1,1,R-10741,PEARS D'ANJOU RED US#1 55 CT 
