ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-5,TBA,0.05,ea,15.0,g
I-12,TBA,1.0,ea,340.0,g
I-15,TBA,0.05,ea,15.0.0,g
I-22,TBA,35.0,ea,35.0,g
I-31,TBA,3.0,BUNC,165.0,g
I-37,TBA,2.84,fl,80.51265.0,g
I-43,TBA,2.0,slice,24.0,g
I-49,TBA,0.01,BUNC,0.55.0,g
I-50,TBA,1.0,ea,1.0,g
I-67,TBA,0.5,BUNC,27.5,g
I-74,TBA,4.0,ea,1.0,g
I-102,TBA,0.1,ea,45.8,g
I-113,TBA,0.1,ea,45.8,g
I-114,TBA,0.05,ea,27.5,g
I-116,TBA,1.0,ea,1.3,g
I-129,TBA,3.0,HEAD,800.0,g
I-135,TBA,0.5,BUNC,27.5,g
I-137,TBA,0.5,BUNC,27.5,g
I-139,TBA,3.0,BUNC,79.3787,g
I-141,TBA,2.0,ea,2267.96,g
I-3,0.0,2.0,PORT,4735.92,g
I-4,0.0,1.0,PATTY,1465.0,g
I-19,0.0,1.0,PATTY,135.0,g
I-111,0.0,2.0,PATTY,270.0,g
I-112,0.0,0.25,PORT,17579.3,g
