ItemId,Description,CaseQty,CaseUOM,PakQty,PakUOM,PrepId
I-0,Radish - Daikon            ,1000.000,g,3000.0,g,P-0
I-1,Basic Pickling Liqui d          ,1000.000,g,3000.0,g,P-0
I-2,NORI KIZAMI BTL            ,1.000,g,3.0,g,P-1
I-3,Double Down Chick e        ,2.000,PORT,6.0,PORT,P-1
I-4,Rice Patty Cake         ,1.000,PATTY,3.0,PATTY,P-1
I-5,Lettuce - Butter          ,0.050,ea,0.15,ea,P-1
I-6,TOMATO - 6 X 7 MED         ,30.000,g,90.0,g,P-1
I-7,KFC Sauce            ,45.000,g,135.0,g,P-1
I-8,CUCUMBER LONG ENGLI S           ,15.000,g,45.0,g,P-1
I-9,Tofu MED Firm Sunrise         ,36.000,lb,108.0,lb,P-2
I-10,Hickory Wood Chips            ,1000.000,g,3000.0,g,P-2
I-11,SALT COARSE KOSHER            ,250.000,g,750.0,g,P-2
I-12,BUN Multigrain Vegan 4.5         ,1.000,ea,3.0,ea,P-3
I-13,Mint Chutney            ,20.000,g,60.0,g,P-3
I-14,Tamarind Chutney 1L          ,20.000,ml,60.0,ml,P-3
I-15,Lettuce - Butter          ,0.050,ea,0.15,ea,P-3
I-16,ONION RED JUMBO            ,10.000,g,30.0,g,P-3
I-17,TOMATO - 6 X 7 MED         ,30.000,g,90.0,g,P-3
I-18,CUCUMBER LONG ENGLI S           ,15.000,g,45.0,g,P-3
I-19,PATTY PATTY 2022.3 Aloo Tikki          ,1.000,PATTY,3.0,PATTY,P-3
I-20,SPICE SMOKED PAPRIKA            ,250.000,g,750.0,g,P-4
I-21,SPICE CHILI POWDER            ,50.000,g,150.0,g,P-4
I-22,Spice-Seasoning Salt Lawr y           ,600.000,g,1800.0,g,P-4
I-23,SUGAR GRANULATED FI N           ,100.000,g,300.0,g,P-4
I-24,ONIONS              ,750.000,g,2250.0,g,P-5
I-25,GARLIC WHOLE PEELED            ,250.000,g,750.0,g,P-5
I-26,PFO OIL CANOLA JIB  AN T        ,1500.000,g,4500.0,g,P-5
I-27,Cooked Penne          ,10.000,oz,30.0,oz,P-6
I-28,Marinara           ,6.000,oz,18.0,oz,P-6
I-29,BUNC H BUNC H PARSLEY          ,0.010,BUNC,0.03,BUNC,P-6
I-30,Misc Exp           ,1.000,ea,3.0,ea,P-6
I-31,CHEESE PARMESAN PU R           ,5.000,g,15.0,g,P-6
I-32,GARLIC WHOLE PEELED          ,5.000,lb,15.0,lb,P-7
I-33,Kg Kg PFO OIL CANOLA JIB  AN T      ,4.000,Kg,12.0,Kg,P-7
I-34,POTATO RUSSET BAKER            ,3250.000,g,9750.0,g,P-8
I-35,PFO OIL CANOLA JIB  AN T        ,60.000,g,180.0,g,P-8
I-36,SPICE CUMIN SEED WH O          ,10.000,g,30.0,g,P-8
I-37,ONION RED JUMBO            ,175.000,g,525.0,g,P-8
I-38,H BUNC H BUNC H CILANTRO         ,0.500,BUNC,1.0,BUNC,P-8
I-39,Garam Masala             ,5.000,g,15.0,g,P-8
I-40,Chaat Masala             ,17.000,g,51.0,g,P-8
I-41,SALT COARSE KOSHER            ,30.000,g,90.0,g,P-8
I-42,Chana (Chickpea) Flour            ,190.000,g,570.0,g,P-8
I-43,Gochujang Hot Pepper Pas t          ,300.000,g,900.0,g,P-9
I-44,ITEM SOUR CREAM ALF R          ,3000.000,g,9000.0,g,P-9
I-45,Misc Exp           ,4.000,ea,12.0,ea,P-9
I-46,BEAN GARBANZO CHICK            ,2.840,L,8.52,L,P-10
I-47,PFO OIL CANOLA JIB  AN T      ,100.000,ml,300.0,ml,P-10
I-48,Smoked Paprika Ru           ,30.000,g,90.0,g,P-10
I-49,GARLIC WHOLE PEELED            ,450.000,g,1350.0,g,P-11
I-50,KETCHUP VOL PAK          ,750.000,ml,2250.0,ml,P-11
I-51,Spice Paprika Shk 540g           ,150.000,g,450.0,g,P-11
I-52,SYRUP CORN GOLDEN          ,2000.000,ml,6000.0,ml,P-11
I-53,Ginger Fresh             ,100.000,g,300.0,g,P-11
I-54,SPICE CHILI RED PEPPE R          ,50.000,g,150.0,g,P-11
I-55,Brown Sugar 1KG Bags           ,300.000,g,900.0,g,P-11
I-56,Gochujang Hot Pepper Pas t          ,600.000,g,1800.0,g,P-11
I-57,Soy Sauce Tamari G/F Yam        ,350.000,ml,1050.0,ml,P-11
I-58,SPICE SUMAC ground            ,30.000,g,90.0,g,P-12
I-59,Olive Oil Extra virgin         ,400.000,ml,1200.0,ml,P-12
I-60,SALT COARSE KOSHER            ,10.000,g,30.0,g,P-12
I-61,GARLIC WHOLE PEELED            ,30.000,g,90.0,g,P-12
I-62,Juice - Lemon Fresh Sque e         ,100.000,g,300.0,g,P-12
I-63,Potato Patty            ,120.000,g,360.0,g,P-13
I-64,Sabutdana              ,15.000,g,45.0,g,P-13
I-65,Flour - Fried Chicken Blend          ,200.000,g,600.0,g,P-14
I-66,Marinated Chicken T         ,10.000,LBS,30.0,LBS,P-14
I-67,Cooked Sushi Rice           ,1350.000,g,4050.0,g,P-15
I-68,SHICHIMI TOGARASHI             ,15.000,g,45.0,g,P-15
I-69,PFO OIL CANOLA JIB  AN T      ,100.000,ml,300.0,ml,P-15
I-70,PATTY PATTY 2022.3 Rice Patty Cake         ,2.000,PATTY,6.0,PATTY,P-16
I-71,PORT PORT 2022.3 Smoked Tofu Block         ,0.250,PORT,0.75,PORT,P-16
I-72,EGGPLANT            ,0.100,ea,0.3,ea,P-16
I-73,Lettuce - Butter          ,0.050,ea,0.15,ea,P-16
I-74,TOMATO - 6 X 7 MED         ,30.000,g,90.0,g,P-16
I-75,Yaki Nori half Cut         ,1.000,ea,3.0,ea,P-16
I-76,CUCUMBER LONG ENGLI S           ,15.000,g,45.0,g,P-16
I-77,G21- Sweet Soy Sesame S a       ,45.000,ml,135.0,ml,P-16
I-78,CREAM SOUR 4L            ,2.000,L,6.0,L,P-17
I-79,FLOUR ALL PURPOSE            ,1082.000,g,3246.0,g,P-17
I-80,HERB OREGANO LEAVES            ,5.000,g,15.0,g,P-17
I-81,BUTTER REG SALTED            ,941.000,g,2823.0,g,P-17
I-82,ONIONS              ,320.000,g,960.0,g,P-17
I-83,SPICE NUTMEG GROUN D           ,4.000,g,12.0,g,P-17
I-84,SPICE PEPPER BLACK W           ,16.000,g,48.0,g,P-17
I-85,SALT KOSHER COARSE            ,73.000,g,219.0,g,P-17
I-86,Milk 2% P/S 20L           ,16.000,L,48.0,L,P-17
I-87,Spice Bay Leaf Whl           ,3.000,g,9.0,g,P-17
I-88,HEAD HEAD Romaine Hearts           ,3.000,HEAD,9.0,HEAD,P-18
I-89,ONION RED JUMBO            ,100.000,g,300.0,g,P-18
I-90,Fried Chickpea            ,200.000,g,600.0,g,P-18
I-91,CUCUMBER LONG ENGLI S           ,200.000,g,600.0,g,P-18
I-92,Sumac Dressing            ,300.000,g,900.0,g,P-18
I-93,TOMATO - 6 X 7 MED         ,300.000,g,900.0,g,P-18
I-94,H BUNC H BUNC H PARSLEY         ,0.500,BUNC,1.0,BUNC,P-18
I-95,PEPPER GREEN 5LB            ,500.000,g,1500.0,g,P-18
I-96,H BUNC H BUNC H Radish Bunches        ,0.500,BUNC,1.0,BUNC,P-18
I-97,MINT LEAVES             ,100.000,g,300.0,g,P-19
I-98,H BUNC H BUNC H CILANTRO         ,3.000,BUNC,6.0,BUNC,P-19
I-99,Chaat Masala             ,10.000,g,30.0,g,P-19
I-100,LEMONS 5lb bag          ,2.000,ea,6.0,ea,P-19
I-101,GARLIC WHOLE PEELED            ,30.000,g,90.0,g,P-19
I-102,Ginger Fresh             ,5.000,g,15.0,g,P-19
I-103,JALAPENO PEPPER - FR E          ,30.000,g,90.0,g,P-19
I-104,PFO OIL CANOLA JIB  AN T      ,30.000,ml,90.0,ml,P-19
I-105,SALT COARSE KOSHER            ,5.000,g,15.0,g,P-19
I-106,Oat Milk Barista Blend         ,60.000,ml,180.0,ml,P-19
I-107,SUGAR GRANULATED FI N           ,15.000,g,45.0,g,P-19
I-108,PFO OIL CANOLA JIB  AN T      ,3000.000,ml,9000.0,ml,P-20
I-109,THYME              ,50.000,g,150.0,g,P-20
