ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom,Category
I-0,1.0,1000.0,g,1000.0,g,38
I-2,1.0,1.0,g,1.0,g,40
I-6,1.0,30.0,g,30.0,g,40
I-7,1.0,45.0,g,45.0,g,58
I-8,1.0,15.0,g,15.0,g,40
I-9,453.592,36.0,lb,16329.312,g,20
I-10,1.0,1000.0,g,1000.0,g,54
I-11,1.0,250.0,g,250.0,g,56
I-12,1.0,2724.0,g,2724.0,g,58
I-13,1000.0,12.0,L,12000.0,g,8
I-15,1.0,250.0,g,250.0,g,58
I-16,1.0,50.0,g,50.0,g,58
I-17,1.0,600.0,g,600.0,g,58
I-18,1.0,100.0,g,100.0,g,54
I-19,1.0,750.0,g,750.0,g,39
I-20,1.0,250.0,g,250.0,g,39
I-21,1.0,1500.0,g,1500.0,g,48
I-22,1.0,2.84,ml,2.84,ml,58
I-24,1.0,120.0,g,120.0,g,39
I-25,1.0,12.0,g,12.0,g,40
I-26,1.0,2.1,g,2.1,g,39
I-27,1.0,18.0,g,18.0,g,58
I-28,1.0,60.0,g,60.0,g,40
I-30,1000.0,1.8,L,1800.0,g,51
I-31,1.0,600.0,ml,600.0,ml,48
I-33,1.0,150.0,g,150.0,g,41
I-34,1.0,50.0,g,50.0,g,6
I-36,1.0,30.0,g,30.0,g,8
I-37,1.0,5.0,g,5.0,g,39
I-38,1.0,1.0,g,1.0,g,58
I-43,1.0,5.0,g,5.0,g,8
I-44,453.592,20.0,lb,9071.84,g,40
I-45,453.592,5.0,lb,2267.96,g,40
I-46,453.592,5.0,lb,2267.96,g,40
I-47,453.592,5.0,lb,2267.96,g,40
I-48,1.0,150.0,g,150.0,g,56
I-49,1.0,30.0,g,30.0,g,43
I-51,1.0,50.0,g,50.0,g,40
I-52,453.592,10.0,lb,4535.92,g,40
I-53,453.592,5.0,lb,2267.96,g,39
I-54,1000.0,4.0,Kg,4000.0,g,48
I-55,1.0,3250.0,g,3250.0,g,41
I-56,1.0,60.0,g,60.0,g,48
I-57,1.0,10.0,g,10.0,g,58
I-58,1.0,175.0,g,175.0,g,39
