ItemId,Description,Qty,UOM,PrepId,OriginId
I-1,2022.3 Basic Pickling Liqui d          ,1000.000,g,P-0,
I-3,PORT PORT 2022.3 Double Down Chick e        ,2.000,PORT,P-1,P-20
I-4,PATTY PATTY 2022.3 Rice Patty Cake         ,1.000,PATTY,P-1,P-21
I-13,2022.3 Mint Chutney            ,20.000,g,P-3,P-25
I-19,PATTY PATTY 2022.3 Aloo Tikki          ,1.000,PATTY,P-3,P-18
I-47,2022.3 Cooked Penne          ,10.000,oz,P-9,
I-48,2022.3 Marinara           ,6.000,oz,P-9,
I-58,2022.3 Thyme Oil            ,1000.000,g,P-10,P-27
I-81,2022.3 Smoked Paprika Ru           ,30.000,g,P-15,P-5
I-96,2022.3 Potato Patty            ,120.000,g,P-18,P-12
I-107,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-20,P-28
I-111,PATTY PATTY 2022.3 Rice Patty Cake         ,2.000,PATTY,P-22,P-21
I-112,PORT PORT 2022.3 Smoked Tofu Block         ,0.250,PORT,P-22,P-2
I-131,2022.3 Fried Chickpea            ,200.000,g,P-24,P-15
I-133,2022.3 Sumac Dressing            ,300.000,g,P-24,P-17
I-149,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-26,P-28
