ItemId,Description,Qty,UOM,PrepId,OriginId
I-1,2022.3 Basic Pickling Liqui d          ,1000.000,g,P-0,
I-3,PORT PORT 2022.3 Double Down Chick e        ,2.000,PORT,P-1,
I-4,PATTY PATTY 2022.3 Rice Patty Cake         ,1.000,PATTY,P-1,
I-39,2022.3 Cooked Penne          ,10.000,oz,P-8,
I-40,2022.3 Marinara           ,6.000,oz,P-8,
I-50,2022.3 Thyme Oil            ,1000.000,g,P-9,
I-73,2022.3 Smoked Paprika Ru           ,30.000,g,P-14,
I-88,2022.3 Potato Patty            ,120.000,g,P-17,
I-99,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-19,
I-103,PATTY PATTY 2022.3 Rice Patty Cake         ,2.000,PATTY,P-21,
I-104,PORT PORT 2022.3 Smoked Tofu Block         ,0.250,PORT,P-21,
I-123,2022.3 Fried Chickpea            ,200.000,g,P-23,
I-125,2022.3 Sumac Dressing            ,300.000,g,P-23,
I-141,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-25,
