ItemId,Description,Qty,UOM,PrepId
I-0,Radish - Daikon            ,1000.000,g,P-0
I-2,NORI KIZAMI BTL            ,1.000,g,P-1
I-5, Lettuce - Butter          ,0.050,ea,P-1
I-6,TOMATO - 6 X 7 MED         ,30.000,g,P-1
I-7,2022 KFC Sauce            ,45.000,g,P-1
I-8,CUCUMBER LONG ENGLI S           ,15.000,g,P-1
I-9, Tofu MED Firm Sunrise         ,36.000,lb,P-2
I-10,Hickory Wood Chips            ,1000.000,g,P-2
I-11,SALT COARSE KOSHER            ,250.000,g,P-2
I-12,Sauce pesto gfs nut free          ,2724.000,g,P-3
I-13,CREAM WHIPPING 33%            ,12.000,L,P-3
I-14, Misc Exp           ,35.000,ea,P-3
I-15,SPICE SMOKED PAPRIKA            ,250.000,g,P-4
I-16,SPICE CHILI POWDER            ,50.000,g,P-4
I-17,Spice-Seasoning Salt Lawr y           ,600.000,g,P-4
I-18,SUGAR GRANULATED FI N           ,100.000,g,P-4
I-19,ONIONS              ,750.000,g,P-5
I-20,GARLIC WHOLE PEELED            ,250.000,g,P-5
I-21,PFO OIL CANOLA JIB  AN T        ,1500.000,g,P-5
I-22, TOMATO PASTE           ,2.840,ml,P-6
I-23,H BUNC H BUNC H PARSLEY         ,3.000,BUNC,P-6
I-24,GARLIC WHOLE PEELED            ,120.000,g,P-6
I-25,HERB OREGANO LEAVES            ,12.000,g,P-6
I-26,Onion White Peeled            ,2.100,g,P-6
I-27,SPICE CHILI RED PEPPE R          ,18.000,g,P-6
I-28,BASIL Fresh             ,60.000,g,P-6
I-29, TOMATO - WHOLE PLUM     ,2.840,fl,P-6
I-30,Sawmill Creek - White 16L          ,1.800,L,P-6
I-31, OIL CANOLA HI LO BOX        ,600.000,ml,P-6
I-32,3 LTR 3 LTRIngredients Amount Double Triple Half------------------Batch Sizing------------------   ,3,,P-6
I-33,POTATO RUSSET BAKER            ,150.000,g,P-7
I-34,Cheese 3 Blend Shred           ,50.000,g,P-7
I-35, Bacon Raw 14-22ct econo         ,2.000,slice,P-7
I-36,CREAM SOUR 4L            ,30.000,g,P-7
I-37,ONIONS GREEN             ,5.000,g,P-7
I-38,SPICE CHILI POWDER            ,1.000,g,P-7
I-41,BUNC H BUNC H PARSLEY          ,0.010,BUNC,P-8
I-42, Misc Exp           ,1.000,ea,P-8
