ProdId,Weight (g),Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g
P-0,1000.0,306.20000000000005,7.9,9900.0,30.620000000000005,0.79,0.9900000000000001
P-17,15.0,4.593,0.11850000000000001,148.5,30.619999999999997,0.79,0.9899999999999999
P-23,28610.559999999994,1177.804032,7.920492,103817.154,4.116675912670008,0.02768380625894775,0.3628630617506264
P-1,467.5,24.39065,0.6869000000000001,4853.175,5.2172513368983955,0.14693048128342245,1.0381122994652408
P-6,32017.799999999996,4871.589038,21.982096,61356.159,15.215252259680556,0.06865586017777611,0.19163140190768888
P-9,165133.12,10405.400756000001,161.64695600000005,1663834.332,6.301219740776412,0.09788887656213366,1.0075715471251314
P-22,204440.0,62220.3951,482.9257,4618589.691,30.434550528272354,0.23621879279984345,2.259141895421639
P-25,6100.0,9745.445,0.995,8265.0,159.76139344262293,0.016311475409836063,0.13549180327868854
P-8,19.68,44.563924,0.151574,210.82799999999997,226.44270325203252,0.7701930894308943,1.071280487804878
P-11,33705.0,1843.9167000000002,20.7357,89812.1,5.470751223854029,0.061521139296840235,0.2664652128764278
P-18,7972.800000000001,1017.8571400000001,3.73464,39120.579999999994,12.766620760585992,0.046842263696568326,0.4906755468593216
P-21,1674.6,122.35338999999999,2.07514,18646.455,7.3064248178669535,0.12391854771288668,1.1134871013973489
P-3,44277.0,84116.7605,355.58324999999996,392924.4,189.97845495403936,0.8030879463378277,0.8874232671590216
P-4,4000.0,937.03,6.749999999999999,20692.5,23.425749999999997,0.16874999999999998,0.5173125
P-7,1752.0,1266.6135,13.74045,180603.925,72.2952910958904,0.7842722602739726,10.308443207762556
P-12,9912.0,20984.6812,86.292,90407.1,211.70985875706214,0.8705811138014528,0.9120974576271186
P-13,28520.0,213.149,13.506,54987.0,0.747366760168303,0.0473562412342216,0.1928015427769986
P-15,42750.0,797.1949999999999,30.057499999999997,76783.75,1.8647836257309942,0.07030994152046782,0.17961111111111108
P-16,2850.0,2268.7650000000003,0.5195,127923.74999999999,79.60578947368421,0.018228070175438597,4.488552631578947
P-20,4395.0,3745.585,7.27625,2126558.375,85.22377701934016,0.1655574516496018,48.38585608646189
P-2,52737.935999999994,38125.1791104,103.09294080000001,132673.45919999998,72.29175428936013,0.19548156150820925,0.25157120142130707
P-5,7500.0,5161.65,8.200000000000001,4000.0,68.82199999999999,0.10933333333333335,0.05333333333333334
P-10,12535.92,13644.18994,18.716884000000004,9909.124,108.84075472721588,0.1493060262031028,0.07904584585734434
P-14,5880.0,5088.394,16.776000000000003,140.0,86.53731292517007,0.2853061224489797,0.002380952380952381
P-19,200.0,304.5,2.96,83840.0,152.25,1.48,41.92
P-26,49559.2,109020.32816,2894.2572800000003,9175885.879999999,219.98000000000002,5.840000000000001,18.515
