ProdId,PrepId,Weight (g),Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Total Land Use (m^2),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g,Land Use (m^2) / g
P-0,P-0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.001,0.0
P-9,P-9,907.184,431.6211375,5.34388075,122281.315825,1.3862905499999998,47.578125,0.5890625,13.47921875,0.15281249999999996,0.47578125,0.005890625000000001,0.1347921875,0.0015281249999999998
P-17,P-24,300.0,0.0,2.025,6067.5,0.0,0.0,0.675,2.0225,0.0,0.0,0.00675,0.020225,0.0
P-2,P-22,17579.3,30837.60806,103.71787,116023.37999999999,72.77830200000001,175.42,0.5900000000000001,0.66,0.41400000000000003,1.7542,0.005900000000000001,0.0066,0.0041400000000000005
P-5,P-15,30.0,281.10900000000004,0.20249999999999999,747.0,0.9299999999999999,937.0300000000002,0.675,2.4899999999999998,3.0999999999999996,9.370300000000002,0.00675,0.0249,0.030999999999999996
P-25,P-3,20.0,10.058,0.15800000000000003,1626.0,0.0238,50.29,0.79,8.129999999999999,0.11900000000000001,0.5029,0.0079,0.0813,0.00119
P-18,P-3,135.0,53.595000000000006,0.675,351.0,0.0702,39.7,0.5,0.26,0.052,0.397,0.005,0.0026,0.00052
P-12,P-18,120.0,47.64,0.6,312.0,0.0624,39.7,0.5,0.26,0.052,0.397,0.005,0.0026,0.00052
P-21,P-22,3470.0,4397.3575,9.1955,2732451.5,3.7649500000000002,126.725,0.26499999999999996,78.745,0.1085,1.26725,0.0026499999999999996,0.78745,0.001085
P-20,P-1,4735.92,20836.153632,553.155456,1753711.176,54.5104392,439.96000000000004,11.679999999999998,37.03,1.151,4.3996,0.11679999999999999,0.3703,0.01151
P-28,P-26,18143.68,39912.467264000006,1059.5909120000001,3359302.352,104.4168784,219.98000000000002,5.840000000000001,18.515,0.5755,2.1998,0.05840000000000001,0.18515,0.005755
P-27,P-10,1000.0,3150.9,0.2,67500.0,13.139999999999999,315.09000000000003,0.02,6.75,1.3139999999999998,3.1509,0.0002,0.0675,0.013139999999999999
P-15,P-24,200.0,139.9,1.1800000000000002,0.0,1.382,69.95,0.5900000000000001,0.0,0.691,0.6995,0.005900000000000001,0.0,0.0069099999999999995
