ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-0,1000.0,g,38,0.3062,0.0079,9.9,P-0,306.20000000000005,7.9,9900.0,1000.0,30.620000000000005,0.79,0.9900000000000001,0.3062,0.0079,0.0099
I-2,1.0,g,55,0.0,0.0,1.0,P-1,0.0,0.0,1.0,106.0,0.0,0.0,0.0009433962264150943,0.0,0.0,9.433962264150944e-06
I-77,5000.0,g,55,0.0,0.0,1.0,P-14,0.0,0.0,5000.0,7130.0,0.0,0.0,0.07012622720897616,0.0,0.0,0.0007012622720897616
I-95,100.0,g,55,0.0,0.0,1.0,P-17,0.0,0.0,100.0,570.0,0.0,0.0,0.01754385964912281,0.0,0.0,0.00017543859649122808
I-6,30.0,g,37,0.6932,0.0079,77.0,P-1,20.796,0.23700000000000002,2310.0,106.0,19.618867924528303,0.22358490566037736,2.1792452830188678,0.19618867924528302,0.0022358490566037736,0.02179245283018868
I-17,30.0,g,37,0.6932,0.0079,77.0,P-3,20.796,0.23700000000000002,2310.0,430.0,4.836279069767442,0.055116279069767446,0.5372093023255814,0.048362790697674414,0.0005511627906976744,0.0053720930232558145
I-134,300.0,g,37,0.6932,0.0079,77.0,P-24,207.96,2.37,23100.0,1955.0,10.637340153452685,0.12122762148337597,1.1815856777493607,0.10637340153452686,0.0012122762148337597,0.011815856777493607
I-37,80.51265,g,37,0.6932,0.0079,77.0,P-7,55.81136898,0.6360499350000001,6199.47405,2860.45265,1.9511376627751553,0.02223598894391767,0.21673052514957725,0.019511376627751553,0.0002223598894391767,0.0021673052514957726
I-7,45.0,g,58,0.0,0.00675,20.225,P-1,0.0,0.30375,910.1250000000001,106.0,0.0,0.28655660377358494,0.8586084905660377,0.0,0.002865566037735849,0.008586084905660377
I-14,20.0,ml,58,0.0,0.00675,20.225,P-3,0.0,0.135,404.5,430.0,0.0,0.031395348837209305,0.09406976744186048,0.0,0.00031395348837209304,0.0009406976744186047
I-20,2724.0,g,58,0.0,0.00675,20.225,P-4,0.0,18.387,55092.9,14759.0,0.0,0.12458161122027238,0.37328342028592726,0.0,0.0012458161122027237,0.0037328342028592723
I-30,2.84,ml,58,0.0,0.00675,20.225,P-7,0.0,0.01917,57.439,2860.45265,0.0,0.0006701736524112713,0.0020080388325952533,0.0,6.701736524112713e-06,2.0080388325952534e-05
I-68,5.0,g,58,0.0,0.00675,20.225,P-12,0.0,0.03375,101.125,3764.5,0.0,0.0008965334041705407,0.0026862797184221015,0.0,8.965334041705407e-06,2.6862797184221014e-05
I-69,17.0,g,58,0.0,0.00675,20.225,P-12,0.0,0.11475,343.82500000000005,3764.5,0.0,0.003048213574179838,0.009133351042635145,0.0,3.048213574179838e-05,9.133351042635146e-05
I-72,300.0,g,58,0.0,0.00675,20.225,P-13,0.0,2.025,6067.5,3301.0,0.0,0.06134504695546804,0.18380793698879128,0.0,0.0006134504695546804,0.0018380793698879127
I-83,750.0,ml,58,0.0,0.00675,20.225,P-16,0.0,5.0625,15168.750000000002,4750.0,0.0,0.10657894736842105,0.3193421052631579,0.0,0.0010657894736842105,0.0031934210526315793
I-89,600.0,g,58,0.0,0.00675,20.225,P-16,0.0,4.05,12135.0,4750.0,0.0,0.08526315789473685,0.25547368421052635,0.0,0.0008526315789473684,0.0025547368421052633
I-90,350.0,ml,58,0.0,0.00675,20.225,P-16,0.0,2.3625,7078.750000000001,4750.0,0.0,0.049736842105263156,0.1490263157894737,0.0,0.0004973684210526315,0.0014902631578947371
I-118,45.0,ml,58,0.0,0.00675,20.225,P-22,0.0,0.30375,910.1250000000001,164.60000000000002,0.0,0.18453827460510325,0.5529313487241798,0.0,0.0018453827460510326,0.005529313487241798
I-140,10.0,g,58,0.0,0.00675,20.225,P-25,0.0,0.0675,202.25,2632.3387000000002,0.0,0.002564259682844005,0.007683281790447407,0.0,2.564259682844005e-05,7.683281790447407e-05
I-8,15.0,g,31,0.4306,0.0027,3.5,P-1,6.459,0.0405,52.5,106.0,6.093396226415094,0.038207547169811326,0.04952830188679245,0.06093396226415094,0.00038207547169811324,0.0004952830188679245
I-18,15.0,g,31,0.4306,0.0027,3.5,P-3,6.459,0.0405,52.5,430.0,1.5020930232558138,0.009418604651162791,0.012209302325581395,0.01502093023255814,9.41860465116279e-05,0.00012209302325581395
I-98,200.0,g,31,0.4306,0.0027,3.5,P-19,86.11999999999999,0.54,700.0,985.8,8.736051937512679,0.054777845404747415,0.07100831811726517,0.08736051937512679,0.0005477784540474742,0.0007100831811726517
I-99,200.0,g,31,0.4306,0.0027,3.5,P-19,86.11999999999999,0.54,700.0,985.8,8.736051937512679,0.054777845404747415,0.07100831811726517,0.08736051937512679,0.0005477784540474742,0.0007100831811726517
I-100,200.0,g,31,0.4306,0.0027,3.5,P-19,86.11999999999999,0.54,700.0,985.8,8.736051937512679,0.054777845404747415,0.07100831811726517,0.08736051937512679,0.0005477784540474742,0.0007100831811726517
I-117,15.0,g,31,0.4306,0.0027,3.5,P-22,6.459,0.0405,52.5,164.60000000000002,3.9240583232077757,0.024605103280680437,0.031895504252733894,0.039240583232077755,0.00024605103280680437,0.00031895504252733896
I-132,200.0,g,31,0.4306,0.0027,3.5,P-24,86.11999999999999,0.54,700.0,1955.0,4.405115089514066,0.027621483375959082,0.03580562659846547,0.04405115089514066,0.0002762148337595908,0.0003580562659846547
I-136,500.0,g,31,0.4306,0.0027,3.5,P-24,215.29999999999998,1.35,1750.0,1955.0,11.012787723785165,0.0690537084398977,0.08951406649616368,0.11012787723785165,0.000690537084398977,0.0008951406649616369
I-144,30.0,g,31,0.4306,0.0027,3.5,P-25,12.918,0.081,105.0,2632.3387000000002,0.49074231974783483,0.0030771116194128058,0.003988848395535117,0.004907423197478348,3.077111619412806e-05,3.988848395535118e-05
