ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-108,1.0,1350.0,g,1350.0,g
I-109,1.0,15.0,g,15.0,g
I-110,1.0,100.0,ml,100.0,ml
I-138,1.0,100.0,g,100.0,g
I-140,1.0,10.0,g,10.0,g
I-142,1.0,30.0,g,30.0,g
I-143,1.0,5.0,g,5.0,g
I-144,1.0,30.0,g,30.0,g
I-145,1.0,30.0,ml,30.0,ml
I-146,1.0,5.0,g,5.0,g
I-147,1.0,60.0,ml,60.0,ml
I-148,1.0,15.0,g,15.0,g
I-150,1.0,3000.0,ml,3000.0,ml
I-151,1.0,50.0,g,50.0,g
I-23,1.0,250.0,g,250.0,g
I-24,1.0,50.0,g,50.0,g
I-25,1.0,600.0,g,600.0,g
I-26,1.0,100.0,g,100.0,g
I-63,1.0,3250.0,g,3250.0,g
I-64,1.0,60.0,g,60.0,g
I-65,1.0,10.0,g,10.0,g
I-66,1.0,175.0,g,175.0,g
I-68,1.0,5.0,g,5.0,g
I-69,1.0,17.0,g,17.0,g
I-70,1.0,30.0,g,30.0,g
I-71,1.0,190.0,g,190.0,g
I-152,453.592,50.0,lb,22679.6,g
I-153,1.0,2100.0,g,2100.0,g
I-9,453.592,36.0,lb,16329.312,g
I-10,1.0,1000.0,g,1000.0,g
I-11,1.0,250.0,g,250.0,g
I-91,1.0,30.0,g,30.0,g
I-92,1.0,400.0,ml,400.0,ml
I-93,1.0,10.0,g,10.0,g
I-94,1.0,30.0,g,30.0,g
I-95,1.0,100.0,g,100.0,g
I-59,79.3787,0.5,BUNC,39.68935,g
