ItemId,Description,Qty,UOM,PrepId
I-108,2022.2 Cooked Sushi Rice           ,1350.000,g,P-21
I-109,SHICHIMI TOGARASHI             ,15.000,g,P-21
I-110, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-21
I-138,MINT LEAVES             ,100.000,g,P-25
I-139,H BUNC H BUNC H CILANTRO         ,3.000,BUNC,P-25
I-140,Chaat Masala             ,10.000,g,P-25
I-141, LEMONS 5lb bag          ,2.000,ea,P-25
I-142,GARLIC WHOLE PEELED            ,30.000,g,P-25
I-143,Ginger Fresh             ,5.000,g,P-25
I-144,JALAPENO PEPPER - FR E          ,30.000,g,P-25
I-145, PFO OIL CANOLA JIB  AN T      ,30.000,ml,P-25
I-146,SALT COARSE KOSHER            ,5.000,g,P-25
I-147, Oat Milk Barista Blend         ,60.000,ml,P-25
I-148,SUGAR GRANULATED FI N           ,15.000,g,P-25
I-150, PFO OIL CANOLA JIB  AN T      ,3000.000,ml,P-27
I-151,THYME              ,50.000,g,P-27
I-23,SPICE SMOKED PAPRIKA            ,250.000,g,P-5
I-24,SPICE CHILI POWDER            ,50.000,g,P-5
I-25,Spice-Seasoning Salt Lawr y           ,600.000,g,P-5
I-26,SUGAR GRANULATED FI N           ,100.000,g,P-5
I-63,POTATO RUSSET BAKER            ,3250.000,g,P-12
I-64,PFO OIL CANOLA JIB  AN T        ,60.000,g,P-12
I-65,SPICE CUMIN SEED WH O          ,10.000,g,P-12
I-66,ONION RED JUMBO            ,175.000,g,P-12
I-67,H BUNC H BUNC H CILANTRO         ,0.500,BUNC,P-12
I-68,Garam Masala             ,5.000,g,P-12
I-69,Chaat Masala             ,17.000,g,P-12
I-70,SALT COARSE KOSHER            ,30.000,g,P-12
I-71,Chana (Chickpea) Flour            ,190.000,g,P-12
I-152, Chicken Flat Thigh s/onknu c        ,50.000,lb,P-28
I-153,2022 Chicken Marinate            ,2100.000,g,P-28
I-9, Tofu MED Firm Sunrise         ,36.000,lb,P-2
I-10,Hickory Wood Chips            ,1000.000,g,P-2
I-11,SALT COARSE KOSHER            ,250.000,g,P-2
I-91,SPICE SUMAC ground            ,30.000,g,P-17
I-92, Olive Oil Extra virgin         ,400.000,ml,P-17
I-93,SALT COARSE KOSHER            ,10.000,g,P-17
I-94,GARLIC WHOLE PEELED            ,30.000,g,P-17
I-95,Juice - Lemon Fresh Sque e         ,100.000,g,P-17
