ConversionId,PrepId,Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL)
I-0,P-0,1000.0,30.620000000000005,0.79,0.99,306.20000000000005,7.9,9900.0
I-2,P-1,1.0,0.0,0.0,0.000943396226415,0.0,0.0,1.0
I-77,P-14,5000.0,0.0,0.0,0.0701262272089761,0.0,0.0,5000.0
I-95,P-17,100.0,0.0,0.0,0.0175438596491228,0.0,0.0,100.0
I-6,P-1,30.0,19.618867924528303,0.2235849056603773,2.179245283018868,20.796,0.237,2310.0
I-17,P-3,30.0,4.836279069767442,0.0551162790697674,0.5372093023255814,20.796,0.237,2310.0
I-134,P-24,300.0,10.637340153452683,0.1212276214833759,1.1815856777493607,207.96,2.37,23100.0
I-37,P-7,80.51265,1.9511376627751555,0.0222359889439176,0.2167305251495772,55.81136898,0.6360499350000001,6199.47405
I-7,P-1,45.0,0.0,0.2865566037735849,0.8586084905660377,0.0,0.30375,910.125
I-14,P-3,20.0,0.0,0.0313953488372093,0.0940697674418604,0.0,0.135,404.5
I-20,P-4,2724.0,0.0,0.1245816112202723,0.3732834202859272,0.0,18.387,55092.9
I-30,P-7,2.84,0.0,0.0006701736524112,0.0020080388325952,0.0,0.01917,57.439
I-68,P-12,5.0,0.0,0.0008965334041705,0.0026862797184221,0.0,0.03375,101.125
I-69,P-12,17.0,0.0,0.0030482135741798,0.0091333510426351,0.0,0.11475,343.82500000000005
I-72,P-13,300.0,0.0,0.061345046955468,0.1838079369887912,0.0,2.025,6067.5
I-83,P-16,750.0,0.0,0.106578947368421,0.3193421052631579,0.0,5.0625,15168.750000000002
I-89,P-16,600.0,0.0,0.0852631578947368,0.2554736842105263,0.0,4.05,12135.0
I-90,P-16,350.0,0.0,0.0497368421052631,0.1490263157894737,0.0,2.3625,7078.750000000001
I-118,P-22,45.0,0.0,0.1845382746051032,0.5529313487241798,0.0,0.30375,910.125
I-140,P-25,10.0,0.0,0.002564259682844,0.0076832817904474,0.0,0.0675,202.25
I-8,P-1,15.0,6.093396226415094,0.0382075471698113,0.0495283018867924,6.459,0.0405,52.5
I-18,P-3,15.0,1.5020930232558138,0.0094186046511627,0.0122093023255813,6.459,0.0405,52.5
I-98,P-19,200.0,8.736051937512679,0.0547778454047474,0.0710083181172651,86.11999999999999,0.54,700.0
I-99,P-19,200.0,8.736051937512679,0.0547778454047474,0.0710083181172651,86.11999999999999,0.54,700.0
I-100,P-19,200.0,8.736051937512679,0.0547778454047474,0.0710083181172651,86.11999999999999,0.54,700.0
I-117,P-22,15.0,3.924058323207776,0.0246051032806804,0.0318955042527338,6.459,0.0405,52.5
I-132,P-24,200.0,4.405115089514066,0.027621483375959,0.0358056265984654,86.11999999999999,0.54,700.0
I-136,P-24,500.0,11.012787723785165,0.0690537084398977,0.0895140664961636,215.3,1.35,1750.0
I-144,P-25,30.0,0.4907423197478348,0.0030771116194128,0.0039888483955351,12.918,0.081,105.0
I-9,P-2,16329.312,162.94653118620343,0.5480472773906055,0.6130698357250841,28644.8791104,96.3429408,107773.4592
I-10,P-2,1000.0,24.37751830105752,0.0693997580792695,10.37185072999444,4285.400000000001,12.2,1823300.0
I-97,P-18,15.0,428.54,1.22,182.33,64.281,0.183,27349.5
I-11,P-2,250.0,0.6257355236655451,0.0,0.0,110.0,0.0,0.0
I-56,P-10,150.0,0.3197420360010154,0.0,0.0,66.0,0.0,0.0
I-70,P-12,30.0,0.350644175853367,0.0,0.0,13.2,0.0,0.0
I-78,P-14,100.0,0.6171107994389902,0.0,0.0,44.0,0.0,0.0
I-93,P-17,10.0,0.7719298245614036,0.0,0.0,4.4,0.0,0.0
I-104,P-19,30.0,1.3390139987827143,0.0,0.0,13.2,0.0,0.0
I-126,P-23,73.0,0.1571121111328507,0.0,0.0,32.12,0.0,0.0
I-146,P-25,5.0,0.0835758711445453,0.0,0.0,2.2,0.0,0.0
I-16,P-3,10.0,0.7011627906976743,0.0183720930232558,0.0044186046511627,3.015,0.079,19.0
I-27,P-6,750.0,9.045,0.237,0.0569999999999999,226.125,5.925000000000001,1425.0
I-28,P-6,250.0,3.015,0.079,0.019,75.375,1.975,475.0
I-32,P-7,120.0,1.264834780607188,0.0331416078500722,0.007970766444954,36.18,0.948,228.0
I-34,P-7,2.1,0.0221346086606257,0.0005799781373762,0.0001394884127866,0.63315,0.01659,3.99
I-45,P-8,5.0,0.5798076923076922,0.0151923076923076,0.0036538461538461,1.5074999999999998,0.0395,9.5
I-61,P-11,2267.96,10.909290103957268,0.285848729092081,0.0687484285158169,683.78994,17.916884000000003,4309.124
I-66,P-12,175.0,1.4015805551866116,0.0367246646300969,0.0088325142781245,52.7625,1.3825,332.5
I-82,P-16,450.0,2.856315789473684,0.0748421052631579,0.018,135.67499999999998,3.555,855.0
I-86,P-16,100.0,0.6347368421052632,0.0166315789473684,0.004,30.15,0.79,190.0
I-94,P-17,30.0,1.586842105263158,0.041578947368421,0.01,9.045,0.237,57.0
I-101,P-19,200.0,6.116859403530127,0.1602759180361128,0.0385473726922296,60.3,1.58,380.0
I-123,P-23,320.0,0.471923302680493,0.0123654862062218,0.0029739776951672,96.48,2.5280000000000005,608.0
I-130,P-24,100.0,1.5421994884910484,0.0404092071611253,0.0097186700767263,30.15,0.79,190.0
I-142,P-25,30.0,0.3436107975010966,0.0090034006642078,0.0021653748432904,9.045,0.237,57.0
I-143,P-25,5.0,0.0572684662501827,0.0015005667773679,0.000360895807215,1.5074999999999998,0.0395,9.5
I-21,P-4,12000.0,567.7132597059422,2.28308150958737,2.28308150958737,83788.8,336.96,336960.0
I-44,P-8,30.0,80.56615384615385,0.3239999999999999,0.3239999999999999,209.472,0.8423999999999999,842.4
I-51,P-9,5.0,533.0076335877862,2.14351145038168,2.143511450381679,34.912,0.1404,140.39999999999998
I-73,P-13,3000.0,634.5713420175705,2.5519539533474704,2.5519539533474704,20947.2,84.24,84240.0
I-119,P-23,2000.0,68.30757190373704,0.2747016239483467,0.2747016239483467,13964.8,56.16,56160.0
I-23,P-5,250.0,234.2575,0.16875,0.6224999999999999,2342.5750000000003,1.6875,6225.0
I-24,P-5,50.0,46.8515,0.03375,0.1245,468.515,0.3375,1245.0
I-25,P-5,600.0,562.2180000000001,0.4049999999999999,1.494,5622.18,4.05,14940.0
I-35,P-7,18.0,5.89645838045947,0.0042475794871136,0.015668848774686,168.6654,0.1215,448.2
I-46,P-8,1.0,3.6039615384615376,0.0025961538461538,0.009576923076923,9.3703,0.00675,24.9
I-57,P-10,30.0,1.3618539999728707,0.0009810267013667,0.0036188984983751,281.10900000000004,0.2024999999999999,747.0
I-84,P-16,150.0,29.590421052631584,0.0213157894736842,0.0786315789473684,1405.545,1.0125,3735.0
I-87,P-16,50.0,9.863473684210526,0.0071052631578947,0.0262105263157894,468.515,0.3375,1245.0
