ItemId,Description,Qty,UOM,PrepId
I-0, BUN Multigrain Vegan 4.5         ,1.000,ea,P-0
I-2, Tamarind Chutney 1L          ,20.000,ml,P-0
I-3, Lettuce - Butter          ,0.050,ea,P-0
I-4,ONION RED JUMBO            ,10.000,g,P-0
I-5,TOMATO - 6 X 7 MED         ,30.000,g,P-0
I-6,CUCUMBER LONG ENGLI S           ,15.000,g,P-0
I-9,Sabutdana              ,15.000,g,P-1
I-10, GARLIC WHOLE PEELED          ,5.000,lb,P-2
I-11,Kg Kg PFO OIL CANOLA JIB  AN T      ,4.000,Kg,P-2
I-12,PASTA FARFALLE BOWTI E           ,2000.000,g,P-3
I-13, Olive Oil Extra virgin         ,30.000,ml,P-3
I-14,Kg Kg Boiling Water           ,5.000,Kg,P-3
I-15,SALT KOSHER COARSE            ,100.000,g,P-3
I-16,Flour - Fried Chicken Blend          ,200.000,g,P-4
I-18,HEAD HEAD Romaine Hearts           ,3.000,HEAD,P-5
I-19,ONION RED JUMBO            ,100.000,g,P-5
I-21,CUCUMBER LONG ENGLI S           ,200.000,g,P-5
I-23,TOMATO - 6 X 7 MED         ,300.000,g,P-5
I-24,H BUNC H BUNC H PARSLEY         ,0.500,BUNC,P-5
I-25,PEPPER GREEN 5LB            ,500.000,g,P-5
I-26,H BUNC H BUNC H Radish Bunches        ,0.500,BUNC,P-5
I-27,BEAN GARBANZO CHICK            ,2.840,L,P-6
I-28, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-6
I-30,NORI KIZAMI BTL            ,1.000,g,P-7
I-33, Lettuce - Butter          ,0.050,ea,P-7
I-34,TOMATO - 6 X 7 MED         ,30.000,g,P-7
I-35,2022 KFC Sauce            ,45.000,g,P-7
I-36,CUCUMBER LONG ENGLI S           ,15.000,g,P-7
I-39, EGGPLANT            ,0.100,ea,P-8
I-40, Lettuce - Butter          ,0.050,ea,P-8
I-41,TOMATO - 6 X 7 MED         ,30.000,g,P-8
I-42, Yaki Nori half Cut         ,1.000,ea,P-8
I-43,CUCUMBER LONG ENGLI S           ,15.000,g,P-8
I-44, G21- Sweet Soy Sesame S a       ,45.000,ml,P-8
I-45,Gochujang Hot Pepper Pas t          ,300.000,g,P-9
I-46,ITEM SOUR CREAM ALF R          ,3000.000,g,P-9
I-47, Misc Exp           ,4.000,ea,P-9
I-48,GARLIC WHOLE PEELED            ,450.000,g,P-10
I-49, KETCHUP VOL PAK          ,750.000,ml,P-10
I-50,Spice Paprika Shk 540g           ,150.000,g,P-10
I-51, SYRUP CORN GOLDEN          ,2000.000,ml,P-10
I-52,Ginger Fresh             ,100.000,g,P-10
I-53,SPICE CHILI RED PEPPE R          ,50.000,g,P-10
I-54,Brown Sugar 1KG Bags           ,300.000,g,P-10
I-55,Gochujang Hot Pepper Pas t          ,600.000,g,P-10
I-56, Soy Sauce Tamari G/F Yam        ,350.000,ml,P-10
I-57, TOMATO PASTE           ,2.840,ml,P-11
I-58,H BUNC H BUNC H PARSLEY         ,3.000,BUNC,P-11
I-59,GARLIC WHOLE PEELED            ,120.000,g,P-11
I-60,HERB OREGANO LEAVES            ,12.000,g,P-11
I-61,Onion White Peeled            ,2.100,g,P-11
I-62,SPICE CHILI RED PEPPE R          ,18.000,g,P-11
I-63,BASIL Fresh             ,60.000,g,P-11
I-64, TOMATO - WHOLE PLUM     ,2.840,fl,P-11
I-65,Sawmill Creek - White 16L          ,1.800,L,P-11
I-66, OIL CANOLA HI LO BOX        ,600.000,ml,P-11
I-67,3 LTR 3 LTRIngredients Amount Double Triple Half------------------Batch Sizing------------------   ,3,,P-11
I-68, Chicken Flat Thigh s/onknu c        ,50.000,lb,P-12
I-69,2022 Chicken Marinate            ,2100.000,g,P-12
I-70,MINT LEAVES             ,100.000,g,P-13
I-71,H BUNC H BUNC H CILANTRO         ,3.000,BUNC,P-13
I-72,Chaat Masala             ,10.000,g,P-13
I-73, LEMONS 5lb bag          ,2.000,ea,P-13
I-74,GARLIC WHOLE PEELED            ,30.000,g,P-13
I-75,Ginger Fresh             ,5.000,g,P-13
I-76,JALAPENO PEPPER - FR E          ,30.000,g,P-13
I-77, PFO OIL CANOLA JIB  AN T      ,30.000,ml,P-13
I-78,SALT COARSE KOSHER            ,5.000,g,P-13
I-79, Oat Milk Barista Blend         ,60.000,ml,P-13
I-80,SUGAR GRANULATED FI N           ,15.000,g,P-13
I-81, MUSHROOM            ,20.000,lb,P-14
I-82," MUSHROOM ""PORTABEL L          ",5.000,lb,P-14
I-83, Mushroom Cremini           ,5.000,lb,P-14
I-84, Mushrooms Oyster           ,5.000,lb,P-14
I-85,SALT COARSE KOSHER            ,150.000,g,P-14
I-86,Black Pepper Fine            ,30.000,g,P-14
I-88,THYME              ,50.000,g,P-14
I-89, MUSHROOMS WHT SLCD          ,10.000,lb,P-14
I-90,ONIONS              ,750.000,g,P-15
I-91,GARLIC WHOLE PEELED            ,250.000,g,P-15
I-92,PFO OIL CANOLA JIB  AN T        ,1500.000,g,P-15
I-95,BUNC H BUNC H PARSLEY          ,0.010,BUNC,P-16
I-96, Misc Exp           ,1.000,ea,P-16
I-97,CHEESE PARMESAN PU R           ,5.000,g,P-16
I-98,Sauce pesto gfs nut free          ,2724.000,g,P-17
I-99,CREAM WHIPPING 33%            ,12.000,L,P-17
I-100, Misc Exp           ,35.000,ea,P-17
I-101,Radish - Daikon            ,1000.000,g,P-18
I-103,POTATO RUSSET BAKER            ,3250.000,g,P-19
I-104,PFO OIL CANOLA JIB  AN T        ,60.000,g,P-19
I-105,SPICE CUMIN SEED WH O          ,10.000,g,P-19
I-106,ONION RED JUMBO            ,175.000,g,P-19
I-107,H BUNC H BUNC H CILANTRO         ,0.500,BUNC,P-19
I-108,Garam Masala             ,5.000,g,P-19
I-109,Chaat Masala             ,17.000,g,P-19
I-110,SALT COARSE KOSHER            ,30.000,g,P-19
I-111,Chana (Chickpea) Flour            ,190.000,g,P-19
I-112,POTATO RUSSET BAKER            ,150.000,g,P-20
I-113,Cheese 3 Blend Shred           ,50.000,g,P-20
I-114, Bacon Raw 14-22ct econo         ,2.000,slice,P-20
I-115,CREAM SOUR 4L            ,30.000,g,P-20
I-116,ONIONS GREEN             ,5.000,g,P-20
I-117,SPICE CHILI POWDER            ,1.000,g,P-20
I-118,2022.2 Cooked Sushi Rice           ,1350.000,g,P-21
I-119,SHICHIMI TOGARASHI             ,15.000,g,P-21
I-120, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-21
I-122,PEPPER GREEN 5LB            ,200.000,g,P-23
I-123,PEPPER RED 5LB BAG           ,200.000,g,P-23
I-124,PEPPERS YELLOW 5LB            ,200.000,g,P-23
I-125,ONION RED JUMBO            ,200.000,g,P-23
I-126, EGGPLANT            ,0.100,ea,P-23
I-127, Olive Oil Extra virgin         ,100.000,ml,P-23
I-128,SALT COARSE KOSHER            ,30.000,g,P-23
I-129,Black Pepper Fine            ,10.000,g,P-23
I-130,SPICE SMOKED PAPRIKA            ,250.000,g,P-24
I-131,SPICE CHILI POWDER            ,50.000,g,P-24
I-132,Spice-Seasoning Salt Lawr y           ,600.000,g,P-24
I-133,SUGAR GRANULATED FI N           ,100.000,g,P-24
I-134, Tofu MED Firm Sunrise         ,36.000,lb,P-25
I-135,Hickory Wood Chips            ,1000.000,g,P-25
I-136,SALT COARSE KOSHER            ,250.000,g,P-25
I-137,CREAM SOUR 4L            ,2.000,L,P-26
I-138,FLOUR ALL PURPOSE            ,1082.000,g,P-26
I-139,HERB OREGANO LEAVES            ,5.000,g,P-26
I-140,BUTTER REG SALTED            ,941.000,g,P-26
I-141,ONIONS              ,320.000,g,P-26
I-142,SPICE NUTMEG GROUN D           ,4.000,g,P-26
I-143,SPICE PEPPER BLACK W           ,16.000,g,P-26
I-144,SALT KOSHER COARSE            ,73.000,g,P-26
I-145,Milk 2% P/S 20L           ,16.000,L,P-26
I-146,Spice Bay Leaf Whl           ,3.000,g,P-26
I-147,SPICE SUMAC ground            ,30.000,g,P-27
I-148, Olive Oil Extra virgin         ,400.000,ml,P-27
I-149,SALT COARSE KOSHER            ,10.000,g,P-27
I-150,GARLIC WHOLE PEELED            ,30.000,g,P-27
I-151,Juice - Lemon Fresh Sque e         ,100.000,g,P-27
I-152, PFO OIL CANOLA JIB  AN T      ,3000.000,ml,P-28
I-153,THYME              ,50.000,g,P-28
