ItemId,Description,Qty,UOM,PrepId
I-0,Radish - Daikon            ,1000.000,g,P-0
I-1,2022.3 Basic Pickling Liqui d          ,1000.000,g,P-0
I-2,NORI KIZAMI BTL            ,1.000,g,P-1
I-3,PORT PORT 2022.3 Double Down Chick e        ,2.000,PORT,P-1
I-4,PATTY PATTY 2022.3 Rice Patty Cake         ,1.000,PATTY,P-1
I-5, Lettuce - Butter          ,0.050,ea,P-1
I-6,TOMATO - 6 X 7 MED         ,30.000,g,P-1
I-7,2022 KFC Sauce            ,45.000,g,P-1
I-8,CUCUMBER LONG ENGLI S           ,15.000,g,P-1
I-9, Tofu MED Firm Sunrise         ,36.000,lb,P-2
I-10,Hickory Wood Chips            ,1000.000,g,P-2
I-11,SALT COARSE KOSHER            ,250.000,g,P-2
I-12, BUN Multigrain Vegan 4.5         ,1.000,ea,P-3
I-13,2022.3 Mint Chutney            ,20.000,g,P-3
I-14, Tamarind Chutney 1L          ,20.000,ml,P-3
I-15, Lettuce - Butter          ,0.050,ea,P-3
I-16,ONION RED JUMBO            ,10.000,g,P-3
I-17,TOMATO - 6 X 7 MED         ,30.000,g,P-3
I-18,CUCUMBER LONG ENGLI S           ,15.000,g,P-3
I-19,PATTY PATTY 2022.3 Aloo Tikki          ,1.000,PATTY,P-3
I-20,Sauce pesto gfs nut free          ,2724.000,g,P-4
I-21,CREAM WHIPPING 33%            ,12.000,L,P-4
I-22, Misc Exp           ,35.000,ea,P-4
I-23,SPICE SMOKED PAPRIKA            ,250.000,g,P-5
I-24,SPICE CHILI POWDER            ,50.000,g,P-5
I-25,Spice-Seasoning Salt Lawr y           ,600.000,g,P-5
I-26,SUGAR GRANULATED FI N           ,100.000,g,P-5
I-27,ONIONS              ,750.000,g,P-6
I-28,GARLIC WHOLE PEELED            ,250.000,g,P-6
I-29,PFO OIL CANOLA JIB  AN T        ,1500.000,g,P-6
I-30, TOMATO PASTE           ,2.840,ml,P-7
I-31,H BUNC H BUNC H PARSLEY         ,3.000,BUNC,P-7
I-32,GARLIC WHOLE PEELED            ,120.000,g,P-7
I-33,HERB OREGANO LEAVES            ,12.000,g,P-7
I-34,Onion White Peeled            ,2.100,g,P-7
I-35,SPICE CHILI RED PEPPE R          ,18.000,g,P-7
I-36,BASIL Fresh             ,60.000,g,P-7
I-37, TOMATO - WHOLE PLUM     ,2.840,fl,P-7
I-38,Sawmill Creek - White 16L          ,1.800,L,P-7
I-39, OIL CANOLA HI LO BOX        ,600.000,ml,P-7
I-40,3 LTR 3 LTRIngredients Amount Double Triple Half------------------Batch Sizing------------------   ,3,,P-7
I-41,POTATO RUSSET BAKER            ,150.000,g,P-8
I-42,Cheese 3 Blend Shred           ,50.000,g,P-8
I-43, Bacon Raw 14-22ct econo         ,2.000,slice,P-8
I-44,CREAM SOUR 4L            ,30.000,g,P-8
I-45,ONIONS GREEN             ,5.000,g,P-8
I-46,SPICE CHILI POWDER            ,1.000,g,P-8
I-47,2022.3 Cooked Penne          ,10.000,oz,P-9
I-48,2022.3 Marinara           ,6.000,oz,P-9
I-49,BUNC H BUNC H PARSLEY          ,0.010,BUNC,P-9
I-50, Misc Exp           ,1.000,ea,P-9
I-51,CHEESE PARMESAN PU R           ,5.000,g,P-9
I-52, MUSHROOM            ,20.000,lb,P-10
I-53," MUSHROOM ""PORTABEL L          ",5.000,lb,P-10
I-54, Mushroom Cremini           ,5.000,lb,P-10
I-55, Mushrooms Oyster           ,5.000,lb,P-10
I-56,SALT COARSE KOSHER            ,150.000,g,P-10
I-57,Black Pepper Fine            ,30.000,g,P-10
I-58,2022.3 Thyme Oil            ,1000.000,g,P-10
I-59,THYME              ,50.000,g,P-10
I-60, MUSHROOMS WHT SLCD          ,10.000,lb,P-10
I-61, GARLIC WHOLE PEELED          ,5.000,lb,P-11
I-62,Kg Kg PFO OIL CANOLA JIB  AN T      ,4.000,Kg,P-11
I-63,POTATO RUSSET BAKER            ,3250.000,g,P-12
I-64,PFO OIL CANOLA JIB  AN T        ,60.000,g,P-12
I-65,SPICE CUMIN SEED WH O          ,10.000,g,P-12
I-66,ONION RED JUMBO            ,175.000,g,P-12
I-67,H BUNC H BUNC H CILANTRO         ,0.500,BUNC,P-12
I-68,Garam Masala             ,5.000,g,P-12
I-69,Chaat Masala             ,17.000,g,P-12
I-70,SALT COARSE KOSHER            ,30.000,g,P-12
I-71,Chana (Chickpea) Flour            ,190.000,g,P-12
I-72,Gochujang Hot Pepper Pas t          ,300.000,g,P-13
I-73,ITEM SOUR CREAM ALF R          ,3000.000,g,P-13
I-74, Misc Exp           ,4.000,ea,P-13
I-75,PASTA FARFALLE BOWTI E           ,2000.000,g,P-14
I-76, Olive Oil Extra virgin         ,30.000,ml,P-14
I-77,Kg Kg Boiling Water           ,5.000,Kg,P-14
I-78,SALT KOSHER COARSE            ,100.000,g,P-14
I-79,BEAN GARBANZO CHICK            ,2.840,L,P-15
I-80, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-15
I-81,2022.3 Smoked Paprika Ru           ,30.000,g,P-15
I-82,GARLIC WHOLE PEELED            ,450.000,g,P-16
I-83, KETCHUP VOL PAK          ,750.000,ml,P-16
I-84,Spice Paprika Shk 540g           ,150.000,g,P-16
I-85, SYRUP CORN GOLDEN          ,2000.000,ml,P-16
I-86,Ginger Fresh             ,100.000,g,P-16
I-87,SPICE CHILI RED PEPPE R          ,50.000,g,P-16
I-88,Brown Sugar 1KG Bags           ,300.000,g,P-16
I-89,Gochujang Hot Pepper Pas t          ,600.000,g,P-16
I-90, Soy Sauce Tamari G/F Yam        ,350.000,ml,P-16
I-91,SPICE SUMAC ground            ,30.000,g,P-17
I-92, Olive Oil Extra virgin         ,400.000,ml,P-17
I-93,SALT COARSE KOSHER            ,10.000,g,P-17
I-94,GARLIC WHOLE PEELED            ,30.000,g,P-17
I-95,Juice - Lemon Fresh Sque e         ,100.000,g,P-17
I-96,2022.3 Potato Patty            ,120.000,g,P-18
I-97,Sabutdana              ,15.000,g,P-18
I-98,PEPPER GREEN 5LB            ,200.000,g,P-19
I-99,PEPPER RED 5LB BAG           ,200.000,g,P-19
I-100,PEPPERS YELLOW 5LB            ,200.000,g,P-19
I-101,ONION RED JUMBO            ,200.000,g,P-19
I-102, EGGPLANT            ,0.100,ea,P-19
I-103, Olive Oil Extra virgin         ,100.000,ml,P-19
I-104,SALT COARSE KOSHER            ,30.000,g,P-19
I-105,Black Pepper Fine            ,10.000,g,P-19
I-106,Flour - Fried Chicken Blend          ,200.000,g,P-20
I-107,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-20
I-108,2022.2 Cooked Sushi Rice           ,1350.000,g,P-21
I-109,SHICHIMI TOGARASHI             ,15.000,g,P-21
I-110, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-21
I-111,PATTY PATTY 2022.3 Rice Patty Cake         ,2.000,PATTY,P-22
I-112,PORT PORT 2022.3 Smoked Tofu Block         ,0.250,PORT,P-22
I-113, EGGPLANT            ,0.100,ea,P-22
I-114, Lettuce - Butter          ,0.050,ea,P-22
I-115,TOMATO - 6 X 7 MED         ,30.000,g,P-22
I-116, Yaki Nori half Cut         ,1.000,ea,P-22
I-117,CUCUMBER LONG ENGLI S           ,15.000,g,P-22
I-118, G21- Sweet Soy Sesame S a       ,45.000,ml,P-22
I-119,CREAM SOUR 4L            ,2.000,L,P-23
I-120,FLOUR ALL PURPOSE            ,1082.000,g,P-23
I-121,HERB OREGANO LEAVES            ,5.000,g,P-23
I-122,BUTTER REG SALTED            ,941.000,g,P-23
I-123,ONIONS              ,320.000,g,P-23
I-124,SPICE NUTMEG GROUN D           ,4.000,g,P-23
I-125,SPICE PEPPER BLACK W           ,16.000,g,P-23
I-126,SALT KOSHER COARSE            ,73.000,g,P-23
I-127,Milk 2% P/S 20L           ,16.000,L,P-23
I-128,Spice Bay Leaf Whl           ,3.000,g,P-23
I-129,HEAD HEAD Romaine Hearts           ,3.000,HEAD,P-24
I-130,ONION RED JUMBO            ,100.000,g,P-24
I-131,2022.3 Fried Chickpea            ,200.000,g,P-24
I-132,CUCUMBER LONG ENGLI S           ,200.000,g,P-24
I-133,2022.3 Sumac Dressing            ,300.000,g,P-24
I-134,TOMATO - 6 X 7 MED         ,300.000,g,P-24
I-135,H BUNC H BUNC H PARSLEY         ,0.500,BUNC,P-24
I-136,PEPPER GREEN 5LB            ,500.000,g,P-24
I-137,H BUNC H BUNC H Radish Bunches        ,0.500,BUNC,P-24
I-138,MINT LEAVES             ,100.000,g,P-25
I-139,H BUNC H BUNC H CILANTRO         ,3.000,BUNC,P-25
I-140,Chaat Masala             ,10.000,g,P-25
I-141, LEMONS 5lb bag          ,2.000,ea,P-25
I-142,GARLIC WHOLE PEELED            ,30.000,g,P-25
I-143,Ginger Fresh             ,5.000,g,P-25
I-144,JALAPENO PEPPER - FR E          ,30.000,g,P-25
I-145, PFO OIL CANOLA JIB  AN T      ,30.000,ml,P-25
I-146,SALT COARSE KOSHER            ,5.000,g,P-25
I-147, Oat Milk Barista Blend         ,60.000,ml,P-25
I-148,SUGAR GRANULATED FI N           ,15.000,g,P-25
I-149,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-26
I-150, PFO OIL CANOLA JIB  AN T      ,3000.000,ml,P-27
I-151,THYME              ,50.000,g,P-27
I-152, Chicken Flat Thigh s/onknu c        ,50.000,lb,P-28
I-153,2022 Chicken Marinate            ,2100.000,g,P-28
