invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount
252033,M123033004,-172.0000,69025,-59.0000,-123.9000,-123.9000,each,2.1000,CANDIED CINNAMON ALMOND,2023-04-02,K & K FOOD SERVICE,78,C,N,-59.000,each,34,21,CANDIES SNACKS,KK051094,N,1.000,1.000,each,7,Candy ,N,0
252099,0252099,153.3000,69025,15.0000,31.5000,31.5000,each,2.1000,CANDIED CINNAMON ALMOND,2023-04-19,STORE: Hero  CC00553,81,T,N,15.000,each,232,21,CANDIES SNACKS,KK051094,N,1.000,1.000,each,7,Candy ,N,0
252100,0252099,-153.3000,69025,-15.0000,-31.5000,-31.5000,each,2.1000,CANDIED CINNAMON ALMOND,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-15.000,each,231,21,CANDIES SNACKS,KK051094,N,1.000,1.000,each,7,Candy ,N,0
252099,0252099,153.3000,68933,14.0000,29.4000,29.4000,each,2.1000,CANDIED COCONUT ALMO,2023-04-19,STORE: Hero  CC00553,81,T,N,14.000,each,232,21,CANDIES SNACKS,KK051093,N,1.000,1.000,each,7,Candy ,N,0
252100,0252099,-153.3000,68933,-14.0000,-29.4000,-29.4000,each,2.1000,CANDIED COCONUT ALMO,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-14.000,each,231,21,CANDIES SNACKS,KK051093,N,1.000,1.000,each,7,Candy ,N,0
252099,0252099,153.3000,68932,12.0000,25.2000,25.2000,each,2.1000,CANDIED COCONUT CASH,2023-04-19,STORE: Hero  CC00553,81,T,N,12.000,each,232,21,CANDIES SNACKS,KK052116,N,1.000,1.000,each,7,Candy ,N,0
252100,0252099,-153.3000,68932,-12.0000,-25.2000,-25.2000,each,2.1000,CANDIED COCONUT CASH,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-12.000,each,231,21,CANDIES SNACKS,KK052116,N,1.000,1.000,each,7,Candy ,N,0
252099,0252099,153.3000,68934,14.0000,29.4000,29.4000,each,2.1000,CANDIED IRISH CREAM,2023-04-19,STORE: Hero  CC00553,81,T,N,14.000,each,232,21,CANDIES SNACKS,KK051095,N,1.000,1.000,each,7,Candy ,N,0
252100,0252099,-153.3000,68934,-14.0000,-29.4000,-29.4000,each,2.1000,CANDIED IRISH CREAM,2023-04-19,STORE: Orchard Commons Dining Room,82,F,N,-14.000,each,231,21,CANDIES SNACKS,KK051095,N,1.000,1.000,each,7,Candy ,N,0
252099,0252099,153.3000,68931,18.0000,37.8000,37.8000,each,2.1000,CANDIED SALT CARAMEL,2023-04-19,STORE: Hero  CC00553,81,T,N,18.000,each,232,21,CANDIES SNACKS,KK052117,N,1.000,1.000,each,7,Candy ,N,0
