invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount
253580,098448,382.7700,2937,2.0000,143.1800,143.1800,cs,71.5900,SAVIOARDI (LADY FINGERS) ,2023-05-12,CIOFFI'S MEAT MARKET AND DELI,17,B,Y,12000.000,pak,13,21,CANDIES SNACKS,WS1354,N,400.000,15.000,cs,7,Candy ,N,0
253818,098592,561.9400,2937,1.0000,71.5900,71.5900,cs,71.5900,SAVIOARDI (LADY FINGERS) ,2023-05-15,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000.000,pak,13,21,CANDIES SNACKS,WS1354,N,400.000,15.000,cs,7,Candy ,N,0
253879,098448CR,-143.1800,2937,-2.0000,-143.1800,-143.1800,cs,71.5900,SAVIOARDI (LADY FINGERS) ,2023-05-15,CIOFFI'S MEAT MARKET AND DELI,17,B,N,-12000.000,pak,13,21,CANDIES SNACKS,WS1354,N,400.000,15.000,cs,7,Candy ,N,0
255409,100030,491.3600,2937,1.0000,71.5900,71.5900,cs,71.5900,SAVIOARDI (LADY FINGERS) ,2023-05-31,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000.000,pak,13,21,CANDIES SNACKS,WS1354,N,400.000,15.000,cs,7,Candy ,N,0
255410,101072,732.6500,2937,1.0000,62.9900,62.9900,cs,62.9900,SAVIOARDI (LADY FINGERS) ,2023-06-12,CIOFFI'S MEAT MARKET AND DELI,5,B,Y,6000.000,pak,13,21,CANDIES SNACKS,WS1354,N,400.000,15.000,cs,7,Candy ,N,0
254881,9001986310,1036.9900,62911,1.0000,72.1800,72.1800,cs,72.1800,BAR BROWNIE TRIPLE CHOC CHUCK ,2023-05-31,GORDON FOOD SERVICE (GFS),89,B,N,2.000,SHEET,26,19,BAKED GOODS,6999005,N,1.000,2.000,cs,2,Food,N,0
254883,9002017833,6536.4700,62911,1.0000,72.1800,72.1800,cs,72.1800,BAR BROWNIE TRIPLE CHOC CHUCK ,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,2.000,SHEET,26,19,BAKED GOODS,6999005,N,1.000,2.000,cs,2,Food,N,0
254595,0254595,418.5800,62911,1.0000,72.1800,72.1800,cs,72.1800,BAR BROWNIE TRIPLE CHOC CHUCK ,2023-06-02,STORE: Orchard Commons Dining Room,89,T,N,2.000,SHEET,231,19,BAKED GOODS,6999005,N,1.000,2.000,cs,2,Food,N,0
254596,0254595,-418.5800,62911,-1.0000,-72.1800,-72.1800,cs,72.1800,BAR BROWNIE TRIPLE CHOC CHUCK ,2023-06-02,STORE: SUMCONF CC00534,81,F,N,-2.000,SHEET,262,19,BAKED GOODS,6999005,N,1.000,2.000,cs,2,Food,N,0
255354,9002187866,2599.9200,62911,1.0000,72.1800,72.1800,cs,72.1800,BAR BROWNIE TRIPLE CHOC CHUCK ,2023-06-16,GORDON FOOD SERVICE (GFS),89,B,N,2.000,SHEET,26,19,BAKED GOODS,6999005,N,1.000,2.000,cs,2,Food,N,0
254461,26611,127.2700,13791,1.0000,30.9000,30.9000,cs,30.9000,BAR GF NANAIMO 3X3 WRAPPED,2023-05-25,WENDEL'S TRUE FOODS,88,B,N,12.000,CT,60,19,BAKED GOODS,2720RTC,N,1.000,12.000,cs,2,Food,N,0
254618,26625,256.7300,13791,1.0000,30.9000,30.9000,cs,30.9000,BAR GF NANAIMO 3X3 WRAPPED,2023-05-30,WENDEL'S TRUE FOODS,89,B,Y,12.000,CT,60,19,BAKED GOODS,2720RTC,N,1.000,12.000,cs,2,Food,N,0
254595,0254595,418.5800,16095,1.0000,56.1000,56.1000,cs,56.1000,BAR LEMON BURST MACAROON,2023-06-02,STORE: Orchard Commons Dining Room,89,T,N,2.000,SHEET,231,19,BAKED GOODS,5693005,N,1.000,2.000,cs,2,Food,N,0
254596,0254595,-418.5800,16095,-1.0000,-56.1000,-56.1000,cs,56.1000,BAR LEMON BURST MACAROON,2023-06-02,STORE: SUMCONF CC00534,81,F,N,-2.000,SHEET,262,19,BAKED GOODS,5693005,N,1.000,2.000,cs,2,Food,N,0
254318,9001905295,2710.7400,1020,1.0000,57.1800,57.1800,cs,57.1800,BAR NANAIMO SCORED 12X16IN ,2023-05-24,GORDON FOOD SERVICE (GFS),89,B,Y,2.000,SHEET,26,19,BAKED GOODS,1174120,N,1.000,2.000,cs,2,Food,N,0
254037,9001905306,451.0200,1020,1.0000,57.1800,57.1800,cs,57.1800,BAR NANAIMO SCORED 12X16IN ,2023-05-24,GORDON FOOD SERVICE (GFS),88,B,N,2.000,SHEET,26,19,BAKED GOODS,1174120,N,1.000,2.000,cs,2,Food,N,0
254605,9001973218,3404.8000,1020,1.0000,57.1800,57.1800,cs,57.1800,BAR NANAIMO SCORED 12X16IN ,2023-05-30,GORDON FOOD SERVICE (GFS),89,B,N,2.000,SHEET,26,19,BAKED GOODS,1174120,N,1.000,2.000,cs,2,Food,N,0
254883,9002017833,6536.4700,1020,1.0000,57.1800,57.1800,cs,57.1800,BAR NANAIMO SCORED 12X16IN ,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,2.000,SHEET,26,19,BAKED GOODS,1174120,N,1.000,2.000,cs,2,Food,N,0
