invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount,Food Category,Category ID
253580,098448,382.77,2937,2.0,143.18,143.18,cs,71.59,savioardi (lady fingers) ,2023-05-12,CIOFFI'S MEAT MARKET AND DELI,17,B,Y,12000.0,pak,13,21,CANDIES SNACKS,WS1354,N,400.0,15.0,cs,7,Candy ,N,0,sugars and sweeteners,43.0
253818,098592,561.94,2937,1.0,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-05-15,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000.0,pak,13,21,CANDIES SNACKS,WS1354,N,400.0,15.0,cs,7,Candy ,N,0,sugars and sweeteners,43.0
253879,098448CR,-143.18,2937,-2.0,-143.18,-143.18,cs,71.59,savioardi (lady fingers) ,2023-05-15,CIOFFI'S MEAT MARKET AND DELI,17,B,N,-12000.0,pak,13,21,CANDIES SNACKS,WS1354,N,400.0,15.0,cs,7,Candy ,N,0,sugars and sweeteners,43.0
255409,100030,491.36,2937,1.0,71.59,71.59,cs,71.59,savioardi (lady fingers) ,2023-05-31,CIOFFI'S MEAT MARKET AND DELI,5,B,N,6000.0,pak,13,21,CANDIES SNACKS,WS1354,N,400.0,15.0,cs,7,Candy ,N,0,sugars and sweeteners,43.0
255410,101072,732.65,2937,1.0,62.99,62.99,cs,62.99,savioardi (lady fingers) ,2023-06-12,CIOFFI'S MEAT MARKET AND DELI,5,B,Y,6000.0,pak,13,21,CANDIES SNACKS,WS1354,N,400.0,15.0,cs,7,Candy ,N,0,sugars and sweeteners,43.0
254881,9001986310,1036.99,62911,1.0,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-05-31,GORDON FOOD SERVICE (GFS),89,B,N,2.0,SHEET,26,19,BAKED GOODS,6999005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254883,9002017833,6536.47,62911,1.0,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,2.0,SHEET,26,19,BAKED GOODS,6999005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254595,0254595,418.58,62911,1.0,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-06-02,STORE: Orchard Commons Dining Room,89,T,N,2.0,SHEET,231,19,BAKED GOODS,6999005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254596,0254595,-418.58,62911,-1.0,-72.18,-72.18,cs,72.18,bar brownie triple choc chuck ,2023-06-02,STORE: SUMCONF CC00534,81,F,N,-2.0,SHEET,262,19,BAKED GOODS,6999005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
255354,9002187866,2599.92,62911,1.0,72.18,72.18,cs,72.18,bar brownie triple choc chuck ,2023-06-16,GORDON FOOD SERVICE (GFS),89,B,N,2.0,SHEET,26,19,BAKED GOODS,6999005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254461,26611,127.27,13791,1.0,30.9,30.9,cs,30.9,bar gf nanaimo 3x3 wrapped,2023-05-25,WENDEL'S TRUE FOODS,88,B,N,12.0,CT,60,19,BAKED GOODS,2720RTC,N,1.0,12.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254618,26625,256.73,13791,1.0,30.9,30.9,cs,30.9,bar gf nanaimo 3x3 wrapped,2023-05-30,WENDEL'S TRUE FOODS,89,B,Y,12.0,CT,60,19,BAKED GOODS,2720RTC,N,1.0,12.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254595,0254595,418.58,16095,1.0,56.1,56.1,cs,56.1,bar lemon burst macaroon,2023-06-02,STORE: Orchard Commons Dining Room,89,T,N,2.0,SHEET,231,19,BAKED GOODS,5693005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254596,0254595,-418.58,16095,-1.0,-56.1,-56.1,cs,56.1,bar lemon burst macaroon,2023-06-02,STORE: SUMCONF CC00534,81,F,N,-2.0,SHEET,262,19,BAKED GOODS,5693005,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254318,9001905295,2710.74,1020,1.0,57.18,57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-05-24,GORDON FOOD SERVICE (GFS),89,B,Y,2.0,SHEET,26,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254037,9001905306,451.02,1020,1.0,57.18,57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-05-24,GORDON FOOD SERVICE (GFS),88,B,N,2.0,SHEET,26,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254605,9001973218,3404.8,1020,1.0,57.18,57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-05-30,GORDON FOOD SERVICE (GFS),89,B,N,2.0,SHEET,26,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254883,9002017833,6536.47,1020,1.0,57.18,57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,2.0,SHEET,26,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254595,0254595,418.58,1020,1.0,57.18,57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-06-02,STORE: Orchard Commons Dining Room,89,T,N,2.0,SHEET,231,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254596,0254595,-418.58,1020,-1.0,-57.18,-57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-06-02,STORE: SUMCONF CC00534,81,F,N,-2.0,SHEET,262,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
254886,9002084454,1077.21,1020,1.0,57.18,57.18,cs,57.18,bar nanaimo scored 12x16in ,2023-06-08,GORDON FOOD SERVICE (GFS),89,B,N,2.0,SHEET,26,19,BAKED GOODS,1174120,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
