Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
Caliente , Black bean soup,R-54947,CAL|Black bean soup|AAD,GV - CALIENTE,405,642.8720622,3.699892932,3.714369495,53.6,1723.18,158.73,0.91,13.23,425.48,0.92,Green,Green,,,TRUE
Caliente , Guacamole bowl,R-55154,CAL|Bowl|Guacamole|AAD,GV - CALIENTE,345,577.3123119,3.412345671,1.652956116,115.97,3039.52,167.34,0.99,33.61,881.02,0.48,Green,Green,,,TRUE
Caliente , Havana Add Chicken Bowl,R-62018,CAL|Bowl|Havana|Add Chicken,GV - CALIENTE,430,1036.107243,15.53235955,3.66340582,125.84,764.43,240.96,3.61,29.27,177.77,0.85,Yellow,Yellow,,TRUE,
Caliente , Havana Add Scallop Bowl,R-64909,CAL|Bowl|Havana|Add Scallop,GV - CALIENTE,390,658.3337766,6.220996639,2.299315122,83.4,677.48,168.8,1.6,21.38,173.71,0.59,Green,Green,,,TRUE
Caliente , Havana Plant-based Bowl,R-35896,CAL|Bowl|Havana|Plant based,GV - CALIENTE,415,685.1786876,2.802185663,2.710240713,83.81,673.23,165.1,0.68,20.2,162.22,0.65,Green,Green,,,TRUE
Caliente , Latino bowl,R-35900,CAL|Bowl|Latino|AAD,GV - CALIENTE,390,684.3171286,3.143742074,3.079188779,71.62,1748.27,175.47,0.81,18.36,448.27,0.79,Green,Green,,,TRUE
Caliente , Pozole tater tot bowl,R-68790,CAL|Bowl|Pozole-tots|AAD,GV - CALIENTE,382,1690.857387,19.36132172,4.031083784,238.8,7197.14,442.63,5.07,62.51,1884.07,1.06,Red,Red,TRUE,,
Caliente , Roja tots bowl,R-17487,CAL|Bowl|Roja-tots|AAD,GV - CALIENTE,442,709.5539759,8.636349162,1.192574138,87.61,2568.93,160.53,1.95,19.82,581.21,0.27,Green,Green,,,TRUE
Caliente , Siesta bowl,R-44634,CAL|Bowl|Siesta|AAD,GV - CALIENTE BRUNCH,487,999.057417,8.992916527,3.025993286,117.13,3082.07,205.15,1.85,24.05,632.87,0.62,Yellow,Yellow,,TRUE,
Caliente , Jelepeno enchilada,R-46511,CAL|Enchilada|Jalepeno ricotta,GV - CALIENTE,617,1015.712134,10.2656127,2.466896683,163.42,5883.83,164.62,1.66,26.49,953.62,0.4,Green,Yellow,,TRUE,
Caliente , Quesadilla bowl,R-56647,CAL|quesadillia|bowl,SPECIALS,248,511.893736,4.713411747,1.481542869,96.15,3598.1,206.41,1.9,38.77,1450.85,0.6,Yellow,Yellow,,TRUE,
Caliente , Fire roasted prepper quesadilla,R-69619,CAL|Rst pepper quesadilla|AAD,SPECIALS,213,552.0112407,5.284607836,1.446695415,102.67,4162.45,259.16,2.48,48.2,1954.2,0.68,Yellow,Yellow,,TRUE,
Caliente , Salsa & chips,R-44889,CAL|Side|Chips & Salsa,GV - CALIENTE,230.5,56.273559,1.307595,0.07370844,2.16,111.79,24.41,0.57,0.94,48.5,0.03,Green,Green,,,TRUE
Caliente , Guacamole,R-44791,CAL|Side|Guacamole,GV - CALIENTE,45,20.24054582,0.119628755,0.037047001,0.19,1.73,44.98,0.27,0.42,3.84,0.08,Green,Green,,,TRUE
Caliente , Pico + chip,R-47363,CAL|Side|Pico de Gallo,GV - CALIENTE,120,79.1909549,1.046849301,0.04077218,8.02,450.71,65.99,0.87,6.68,375.59,0.03,Green,Green,,,TRUE
