Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
,,R-30406,G&G|Croissant|Multigrain|OK ,OK - GRAB & GO,120,182.7,1.776,0.5868,50.3,1538.6,152.25,1.48,41.92,1282.17,0.49,Green,Green,,,TRUE
,,R-30041,GRL|Bacon,OK - GRILL KITCHEN BREAKFAST,20,560.3955,7.5696,1.19814,103.19,3091.83,2801.98,37.85,515.95,15459.15,5.99,Red,Red,TRUE,,
,,R-28280,GRL|Breakfast Entree,OK - GRILL KITCHEN BREAKFAST,925.0000188,2929.114216,40.83257465,3.477005749,347.08,14440.18,316.66,4.41,37.52,1561.1,0.38,Yellow,Yellow,,TRUE,
,,R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST,314.2500003,1123.854658,14.21082424,2.116875534,203.28,7154.14,357.63,4.52,64.69,2276.58,0.67,Yellow,Yellow,,TRUE,
,,R-49805,GRL|Burrito|Lumberjack,OK - GRILL BRUNCH,398,1709.909643,24.20909619,3.569488549,307.72,9242.77,429.63,6.08,77.32,2322.3,0.9,Red,Red,TRUE,,
,,R-50498,GRL|Crepe|Apple Cinnamon,OK - GRILL KITCHEN BREAKFAST,520,619.4690181,5.629725,1.876684516,162.86,4727.1,119.13,1.08,31.32,909.06,0.36,Green,Green,,,TRUE
Grill AM , Ham and swiss crepe,R-51146,GRL|Crepe|Ham and Swiss,OK - GRILL BRUNCH,497.0000008,1574.285141,17.61267615,3.698816658,329.11,11397.1,316.76,3.54,66.22,2293.18,0.74,Yellow,Yellow,,TRUE,
Grill AM , Banana Nutella Crepe,R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,570,1286.843412,5.882538462,6.190156824,152.6,4633.9,225.76,1.03,26.77,812.96,1.09,Yellow,Green,,,TRUE
Grill AM , Peach crepe,R-50570,GRL|Crepe|Rosemary Peach,OK - GRILL BRUNCH,520,600.7777581,5.583181818,1.84515088,151.39,4618.4,115.53,1.07,29.11,888.15,0.35,Green,Green,,,TRUE
,,R-37340,GRL|Egg Any Style,OK - GRILL KITCHEN BREAKFAST,50,223.1900885,3.67235424,0.426941653,37.99,1117.29,446.38,7.34,75.98,2234.58,0.85,Red,Red,TRUE,,
,,R-28291,GRL|Grilled Tomato,OK - GRILL KITCHEN BREAKFAST,450,1645.903148,17.78309949,0.769984694,173.3,10082.02,365.76,3.95,38.51,2240.45,0.17,Yellow,Yellow,,TRUE,
,,R-50311,GRL|Pancake|CarrotCake,OK - GRILL KITCHEN BREAKFAST,330,589.0237153,4.97745437,1.146294953,94.81,3998.84,178.49,1.51,28.73,1211.77,0.35,Green,Green,,,TRUE
,,R-50320,GRL|Pancake|LemonPoppyseed,OK - GRILL KITCHEN BREAKFAST,300,357.5032182,2.129272727,0.861912727,61.03,3138.05,119.17,0.71,20.34,1046.02,0.29,Green,Green,,,TRUE
,,R-50348,GRL|Pancakes|AppleOat,OK - GRILL KITCHEN BREAKFAST,375,209.5837781,1.349475,0.551661901,45.83,1285.75,55.89,0.36,12.22,342.87,0.15,Green,Green,,,TRUE
,,R-50351,GRL|Pancakes|Oatmeal Raisin ,OK - GRILL KITCHEN BREAKFAST,315,412.02354,2.128575,0.821376,165.1,2456.66,130.8,0.68,52.41,779.89,0.26,Green,Green,,,TRUE
,,R-35772,GRL|PotatoWedges,OK - GRILL KITCHEN BREAKFAST,250,113.9865995,1.420512372,0.151174923,0.74,22.25,45.59,0.57,0.3,8.9,0.06,Green,Green,,,TRUE
,,R-28281,GRL|Sandwich|Breakfast,OK - GRILL KITCHEN BREAKFAST,247.5000003,1097.628054,14.27702846,2.399118254,210.77,6802.2,443.49,5.77,85.16,2748.36,0.97,Red,Red,TRUE,,
,,R-28286,GRL|Scrambled Eggs,OK - GRILL KITCHEN BREAKFAST,125,539.9854847,9.000911615,1.010069028,93.08,2738.41,431.99,7.2,74.46,2190.73,0.81,Red,Red,TRUE,,
,,R-28288,GRL|TurkeyBreakfastSausage(2),OK - GRILL KITCHEN BREAKFAST,150.0000375,659.940165,17.52000438,1.726500432,55.55,50.03,439.96,11.68,37.03,33.35,1.15,Red,Red,TRUE,,
,,R-35270,GRL|Burger|Bacon Mush Swiss,OK - GRILL KITCHEN DAY,427.0000003,1055.132398,12.14842858,2.534151306,187.25,6297.14,247.1,2.85,43.85,1474.74,0.59,Yellow,Yellow,,TRUE,
,,R-50323,GRL|Burger|Blue Cheese,OK - GRILL KITCHEN DAY,388,638.9478897,6.63135927,1.141766303,105.46,4517.6,164.68,1.71,27.18,1164.33,0.29,Green,Green,,,TRUE
,,R-50889,GRL|Burger|Canadian,OK - GRILL KITCHEN DAY,414.0000003,1081.193365,13.26230169,2.065759928,197.73,7054.24,261.16,3.2,47.76,1703.92,0.5,Yellow,Yellow,,TRUE,
,,R-28250,GRL|Burger|Cheeseburger,OK - GRILL KITCHEN DAY,367.0000003,523.714854,5.667257657,0.87458301,94.75,3965.78,142.7,1.54,25.82,1080.59,0.24,Green,Green,,,TRUE
,,R-50822,GRL|Burger|ChickenStacker,OK - GRILL KITCHEN DAY,441,1786.889406,30.20566325,4.078987247,271.43,7734.78,405.19,6.85,61.55,1753.92,0.92,Red,Red,TRUE,,
,,R-28249,GRL|Burger|Classic Beef ,OK - GRILL KITCHEN DAY,353,398.9692515,4.361057631,0.728143007,72.92,2839.29,113.02,1.24,20.66,804.33,0.21,Green,Green,,,TRUE
,,R-28252,GRL|Burger|Shacks,OK - GRILL KITCHEN DAY,412.0000003,1124.849512,13.8129595,2.164809928,199.41,7135.35,273.02,3.35,48.4,1731.88,0.53,Yellow,Yellow,,TRUE,
,,R-35714,GRL|Chicken Burger|Blackened,OK - GRILL KITCHEN DAY,377.0000003,1112.082346,20.29243048,2.437688189,140.51,3994.3,294.98,5.38,37.27,1059.5,0.65,Yellow,Yellow,,TRUE,
,,R-50466,GRL|Chicken Burger|Buffalo,OK - GRILL KITCHEN DAY,299,930.3985935,19.42712454,2.575568054,109.43,2001.15,311.17,6.5,36.6,669.28,0.86,Yellow,Yellow,,TRUE,
Grill PM ," Guac, bacon + chicken burger",R-28251,GRL|Chicken Burger|California,OK - GRILL KITCHEN DAY,424,1676.357956,27.6589485,3.696214265,242.94,7049.12,395.37,6.52,57.3,1662.53,0.87,Red,Red,TRUE,,
,,R-35015,GRL|French Fries,OK - GRILL KITCHEN DAY,230,150.49935,1.4398,0.30061,1.52,79.3,65.43,0.63,0.66,34.48,0.13,Green,Green,,,TRUE
,,R-28254,GRL|GrilledCheese|3 Cheese Tom,OK - GRILL KITCHEN DAY,295.0000006,1332.375407,12.59715806,1.791016295,183.07,9036.45,451.65,4.27,62.06,3063.2,0.61,Red,Red,TRUE,,
,,R-50415,GRL|GrilledCheese|Ched Mushro,OK - GRILL KITCHEN DAY,283.0000006,810.6695383,7.141571246,1.649572616,103.14,4622.4,286.46,2.52,36.45,1633.36,0.58,Yellow,Yellow,,TRUE,
,,R-50546,GRL|GrilledCheese|Spicy Havart,OK - GRILL KITCHEN DAY,215,876.6610667,8.717127778,1.216883333,136.16,6492.28,407.75,4.05,63.33,3019.67,0.57,Red,Red,TRUE,,
,,R-50798,GRL|GrilledCheese|Swiss Apple,OK - GRILL BRUNCH,216.0000008,684.9815519,6.42853982,0.989688771,108.49,4888.57,317.12,2.98,50.23,2263.23,0.46,Yellow,Yellow,,TRUE,
,,R-47390,GRL|MeatballSub,OK - GRILL KITCHEN DAY,278,6552.18426,53.04374561,19.47011012,312.99,12127.76,2356.9,19.08,112.59,4362.5,7,Red,Red,TRUE,,
,,R-50504,GRL|Philly Cheese Steak,OK - GRILL KITCHEN DAY,228.0000003,4118.01654,33.75387911,12.10438772,214.54,8448.72,1806.15,14.8,94.1,3705.58,5.31,Red,Red,TRUE,,
,,R-35313,GRL|Salad|Caesar,OK - GRILL KITCHEN DAY,280.5,563.5307519,4.431244622,1.505545149,66.56,3015.57,200.9,1.58,23.73,1075.07,0.54,Yellow,Green,,,TRUE
Delish , Chef's,R-34864,GRL|Salad|Chef,OK - GRILL KITCHEN DAY,319.0000054,1260.047919,18.74070645,2.357299681,179.85,6262.26,395,5.87,56.38,1963.09,0.74,Red,Red,TRUE,,
,,R-50574,GRL|Salad|Cobb,OK - GRILL BRUNCH,335,1397.480786,23.42920249,2.947776153,188.63,5444.15,417.16,6.99,56.31,1625.12,0.88,Red,Red,TRUE,,
,,R-43677,GRL|Salad|SantaFe,OK - GRILL KITCHEN DAY,255,583.0951173,4.867489634,2.005129619,106.91,3509.65,228.66,1.91,41.93,1376.33,0.79,Yellow,Yellow,,TRUE,
,,R-50496,GRL|SALAD|ShrimpLouis,OK - GRILL BRUNCH,376.0000034,1423.050614,8.977863426,0.933247655,112.5,4220.29,378.47,2.39,29.92,1122.42,0.25,Yellow,Yellow,,TRUE,
,,R-43746,GRL|Salad|Signature,OK - GRILL KITCHEN DAY,320,322.8210259,2.431041807,0.658280312,56.07,3354.99,100.88,0.76,17.52,1048.43,0.21,Green,Green,,,TRUE
,,R-50894,GRL|Salad|Signature|SIDE,OK - GRILL KITCHEN DAY,160,162.1106595,1.21136035,0.32851344,27.99,1675.95,101.32,0.76,17.49,1047.47,0.21,Green,Green,,,TRUE
Grill PM , Rueben,R-50491,GRL|Sandwich|Reuben,OK - GRILL KITCHEN DAY,318.0000006,4526.464927,37.29491875,12.32726924,275.29,11057.06,1423.42,11.73,86.57,3477.06,3.88,Red,Red,TRUE,,
,,R-35014,GRL|Yam Fries,OK - GRILL KITCHEN DAY,171,86.53625918,1.063739796,0.116193878,0.56,16.68,50.61,0.62,0.33,9.75,0.07,Green,Green,,,TRUE
,,R-50481,ALF|BakedChorizoPeppersPenne,OK - AL FORNO,502,1274.024096,14.991584,2.500427693,215.94,8157.55,253.79,2.99,43.02,1625.01,0.5,Yellow,Yellow,,TRUE,
,,R-50533,ALF|Flatbread|ArtichokePesto,OK - AL FORNO,248,460.7719244,5.0973772,0.809831633,79.7,3577.02,185.8,2.06,32.14,1442.35,0.33,Green,Yellow,,TRUE,
,,R-50562,ALF|Flatbread|Italian,OK - AL FORNO,141,593.3472374,7.096076752,1.146967791,110.04,3880.49,420.81,5.03,78.04,2752.12,0.81,Red,Red,TRUE,,
,,R-50590,ALF|Flatbread|OK,OK - AL FORNO,165,375.9012938,3.808565625,0.6584,58.6,2586.57,227.82,2.31,35.52,1567.62,0.4,Yellow,Yellow,,TRUE,
,,R-50494,ALF|Flatbread|Proscuitto,OK - AL FORNO,210,784.8455618,9.070598264,1.528977778,137.58,5212.08,373.74,4.32,65.51,2481.94,0.73,Yellow,Red,TRUE,,
,,R-50540,ALF|Moussaka,OK - AL FORNO,420,2739.363566,23.10628382,7.176526824,160.8,6697.52,652.23,5.5,38.29,1594.65,1.71,Red,Red,TRUE,,
,,R-50541,ALF|Pasta|Bolognese Penne,OK - AL FORNO,450,2232.068488,19.57032974,5.560039978,228.42,9763.61,496.02,4.35,50.76,2169.69,1.24,Red,Red,TRUE,,
,,R-50819,ALF|Pasta|Penne Alfredo,OK - AL FORNO,1000,0,0,0,1,1,0,0,0.1,0.1,0,Green,Green,,,TRUE
,,R-50825,ALF|Sweet Potato,OK - AL FORNO,115,45.655,0.575,0.0598,0.3,9,39.7,0.5,0.26,7.83,0.05,Green,Green,,,TRUE
,,R-50454,GLB|Baby Shrimp Scampi,OK - GLOBAL KITCHEN ,437,2282.006334,8.66471797,1.611458179,173.42,6665.03,522.2,1.98,39.68,1525.18,0.37,Red,Yellow,,TRUE,
,,R-36078,GLB|Beef Vindaloo,OK - GLOBAL KITCHEN ,662,5755.088909,45.54740242,16.8678301,382.54,10144.51,869.35,6.88,57.79,1532.4,2.55,Red,Red,TRUE,,
,,R-32750,GLB|Chicken Adobo,OK - GLOBAL KITCHEN ,608,2560.374063,60.84480157,6.355239077,302.09,656.16,421.11,10.01,49.69,107.92,1.05,Red,Yellow,,TRUE,
,,R-29391,GLB|Chicken Kung Pao,OK - GLOBAL KITCHEN ,462,946.7763844,17.06552901,2.551754516,140.69,4254.39,204.93,3.69,30.45,920.86,0.55,Yellow,Yellow,,TRUE,
,,R-50422,GLB|Lamb Biryani,OK - GLOBAL KITCHEN ,385,5578.304461,30.42511433,18.41674103,221.9,782.55,1448.91,7.9,57.64,203.26,4.78,Red,Red,TRUE,,
,,R-51193,GLB|MonggoGuisado,OK - GLOBAL KITCHEN ,388,481.7012373,1.87419188,1.612033802,144.99,562.57,124.15,0.48,37.37,144.99,0.42,Green,Green,,,TRUE
,,R-50007,GLB|Pasta|Beef Stroganoff,OK - GLOBAL KITCHEN ,516,7903.681068,62.80283006,23.6777897,369.37,14135.17,1531.72,12.17,71.58,2739.37,4.59,Red,Red,TRUE,,
,,R-50501,GLB|Pasta|WestCoastSpaghetti,OK - GLOBAL KITCHEN ,425.5,1605.177559,7.705652507,1.047399656,146.95,5584.52,377.25,1.81,34.54,1312.46,0.25,Yellow,Yellow,,TRUE,
,,R-28260,GLB|Soup|Beef pho,OK - GLOBAL KITCHEN ,591.5920018,13344.62954,105.3781557,40.24706233,677.66,20010.22,2255.72,17.81,114.55,3382.44,6.8,Red,Red,TRUE,,
,,R-35819,GLB|Soup|ChickenDumpling ,OK - GLOBAL KITCHEN ,715,1050.836873,22.14132751,2.580515013,168.76,526.54,146.97,3.1,23.6,73.64,0.36,Green,Green,,,TRUE
,,R-37093,GLB|Spaghetti & Meatballs,OK - GLOBAL KITCHEN ,592,6650.010883,53.68386461,19.90608007,335.6,12421.68,1123.31,9.07,56.69,2098.26,3.36,Red,Red,TRUE,,
Fresh Fare PM , Spagetti Puttanesca,R-50694,GLB|Spaghetti Puttanesca,OK - GLOBAL KITCHEN ,396.5,488.7626485,3.728240379,1.431829715,77.75,3018.63,123.27,0.94,19.61,761.32,0.36,Green,Green,,,TRUE
,,R-51195,GLB|Sweet & Sour Pork,OK - GLOBAL KITCHEN ,500,2042.244877,24.23398623,4.227072071,443.99,10376.81,408.45,4.85,88.8,2075.36,0.85,Red,Yellow,,TRUE,
,,R-33532,GLB|Sweet Chili Chicken,OK - GLOBAL KITCHEN ,420.5,852.7615258,14.91638837,1.909747721,205.76,1220.87,202.8,3.55,48.93,290.34,0.45,Yellow,Green,,,TRUE
,,R-50700,GLB|Teriyaki Tofu Bowl,OK - GLOBAL KITCHEN ,549,620.5044209,3.300599958,1.212671883,146.66,1524.62,113.02,0.6,26.71,277.71,0.22,Green,Green,,,TRUE
,,R-50681,GLB|ThaiStirFry,OK - GLOBAL KITCHEN ,405,454.2810851,2.729628047,0.929310567,180.95,2856.46,112.17,0.67,44.68,705.3,0.23,Green,Green,,,TRUE
,,R-51285,SQR|3BeanChili 300g,OK - SQUARE MEAL,300,516.6641334,3.688039945,2.470328467,42.3,1727.13,172.22,1.23,14.1,575.71,0.82,Green,Green,,,TRUE
,,R-51201,SQR|BEEF|Skewer,OK - SQUARE MEAL,41,183.2120955,0.7168,0.563873182,4.04,138.13,446.86,1.75,9.85,336.9,1.38,Red,Green,,,TRUE
,,R-51307,SQR|BEEF|Skewer+1,OK - SQUARE MEAL,161,340.588932,2.422930666,0.948020744,11.75,590.53,211.55,1.5,7.3,366.79,0.59,Yellow,Green,,,TRUE
,,R-51308,SQR|BEEF|Skewer+2,OK - SQUARE MEAL,281,497.9657686,4.129061333,1.332168306,19.45,1042.93,177.21,1.47,6.92,371.15,0.47,Green,Green,,,TRUE
,,R-47340,SQR|Brown Rice 170g,OK - SQUARE MEAL,170,214.672597,0.461989558,0.183799383,133.52,394.08,126.28,0.27,78.54,231.81,0.11,Green,Green,,,TRUE
,,R-40743,SQR|Grill Farmer Sausage+1,OK - SQUARE MEAL,371.147,2198.688445,25.77949661,4.324887383,311.8,11101.53,592.4,6.95,84.01,2991.14,1.17,Red,Red,TRUE,,
,,R-41128,SQR|Grill Farmer Sausage+2,OK - SQUARE MEAL,509.147,2295.456062,27.24863556,4.524054148,316.43,11244.79,450.84,5.35,62.15,2208.55,0.89,Red,Red,TRUE,,
,,R-28309,SQR|Grilled Farmer Sausage,OK - SQUARE MEAL,175,1690.077144,22.67082612,3.666462094,305.56,9155.42,965.76,12.95,174.61,5231.67,2.1,Red,Red,TRUE,,
,,R-28313,SQR|Perogies,OK - SQUARE MEAL,220,260.8612603,1.15626634,0.446460763,0.94,917.49,118.57,0.53,0.43,417.04,0.2,Green,Green,,,TRUE
,,R-45152,SQR|Salad|RoastedPineapple ,OK - SQUARE MEAL,160,135.5880095,1.258640071,0.439018384,9.06,350.29,84.74,0.79,5.66,218.93,0.27,Green,Green,,,TRUE
,,R-28318,SQR|Seasonal Vegetable,OK - SQUARE MEAL,140,160.2061617,2.984269945,0.292330623,7.48,179.21,114.43,2.13,5.34,128.01,0.21,Green,Green,,,TRUE
,,R-45151,SQR|Shoyu Chicken +1,OK - SQUARE MEAL,510,1902.995853,45.45216087,4.768685795,214.16,654.54,373.14,8.91,41.99,128.34,0.94,Yellow,Yellow,,TRUE,
,,R-45153,SQR|Shoyu Chicken +2,OK - SQUARE MEAL,675,2078.135578,46.31272255,5.080111241,285.45,1026.72,307.87,6.86,42.29,152.11,0.75,Yellow,Yellow,,TRUE,
Grill PM , Shoyu chicken burger,R-45150,SQR|Shoyu Chicken 340g (2 pc) ,OK - SQUARE MEAL,345,1727.86555,44.59184605,4.457276912,142.87,282.35,500.83,12.93,41.41,81.84,1.29,Red,Red,TRUE,,
,,R-50390,SQR|Shoyu Tofu 150g,OK - SQUARE MEAL,155,286.087138,1.049957612,0.659035047,2.28,77.48,184.57,0.68,1.47,49.99,0.43,Green,Green,,,TRUE
,,R-51305,SQR|Shoyu Tofu+1,OK - SQUARE MEAL,320,461.5973928,1.904527648,0.97076924,73.81,449.28,144.25,0.6,23.07,140.4,0.3,Green,Green,,,TRUE
,,R-51306,SQR|Shoyu Tofu+2,OK - SQUARE MEAL,485,637.1076475,2.759097683,1.282503432,145.34,821.08,131.36,0.57,29.97,169.29,0.26,Green,Green,,,TRUE
,,R-45200,SQR|STEW|Bo Kho Beef +2,OK - SQUARE MEAL,655,5281.638618,43.03415812,15.34000859,346.43,7776.09,806.36,6.57,52.89,1187.19,2.34,Red,Red,TRUE,,
,,R-45019,SQR|STEW|BoKhoBeef 350g,OK - SQUARE MEAL,350,4910.492402,39.89263139,14.88369911,197.87,7199.63,1403,11.4,56.53,2057.04,4.25,Red,Red,TRUE,,
,,R-45199,SQR|STEW|BoKhoBeef+1,OK - SQUARE MEAL,502.5,5096.06551,41.46339475,15.11185385,272.15,7487.86,1014.14,8.25,54.16,1490.12,3.01,Red,Red,TRUE,,
,,R-45202,SQR|Vegan Pad Thai +2,OK - SQUARE MEAL,675,790.6909354,3.620893853,1.255394893,330.22,1940.43,117.14,0.54,48.92,287.47,0.19,Green,Green,,,TRUE
,,R-44350,SQR|Vegan Pad Thai 350g,OK - SQUARE MEAL,385,494.3184154,2.551823331,0.804306163,195.53,1545.48,128.39,0.66,50.79,401.42,0.21,Green,Green,,,TRUE
,,R-45201,SQR|Vegan Pad Thai+1,OK - SQUARE MEAL,530,642.1247239,3.092103371,1.02952522,262.64,1743.34,121.16,0.58,49.55,328.93,0.19,Green,Green,,,TRUE
,,R-56901,SALAD|Green Papaya,OK - SQUARE MEAL,207,165.3780659,1.189303155,0.387173387,23.1,1520.17,79.89,0.57,11.16,734.38,0.19,Green,Green,,,TRUE
,,R-51263,SQR|BeefCaldereta 350g,OK - SQUARE MEAL,360,6295.072563,50.47315122,19.20096697,265.76,9954.67,1748.63,14.02,73.82,2765.19,5.33,Red,Red,TRUE,,
,,R-51583,SQR|BeefCaldereta+1,OK - SQUARE MEAL,495,6471.555833,50.87268201,19.36117799,333.16,10154.21,1307.39,10.28,67.31,2051.36,3.91,Red,Red,TRUE,,
,,R-51315,SQR|BeefCaldereta+2,OK - SQUARE MEAL,630,6648.039103,51.27221281,19.52138901,400.57,10353.74,1055.24,8.14,63.58,1643.45,3.1,Red,Red,TRUE,,
,,R-51313,SQR|Chayote Salad Tostadas,OK - SQUARE MEAL,149,373.5706279,3.361352395,1.13387703,61.34,2425.7,250.72,2.26,41.17,1627.99,0.76,Yellow,Yellow,,TRUE,
,,R-45021,SQR|CoconutKale 100g,OK - SQUARE MEAL,100,51.37368127,0.750299343,0.170788262,3.13,140.89,51.37,0.75,3.13,140.89,0.17,Green,Green,,,TRUE
,,R-44975,SQR|Elotes 120g,OK - SQUARE MEAL,120,152.0474305,0.631178779,0.299660924,2.43,339.14,126.71,0.53,2.03,282.62,0.25,Green,Green,,,TRUE
,,R-28363,SQR|Mashed Potato 170g,OK - SQUARE MEAL,170,208.1533219,1.576444714,0.250634249,3.64,619.94,122.44,0.93,2.14,364.67,0.15,Green,Green,,,TRUE
,,R-50560,SQR|Pulled Pork Tostada,OK - SQUARE MEAL,234,1767.566425,20.57999305,3.867191677,285.66,9892.58,755.37,8.79,122.08,4227.6,1.65,Red,Red,TRUE,,
,,R-51311,SQR|Pulled Pork Tostada+1,OK - SQUARE MEAL,379,1976.615203,21.34169926,4.662353906,312.86,10188.25,521.53,5.63,82.55,2688.19,1.23,Red,Red,TRUE,,
,,R-51312,SQR|Pulled Pork Tostada+2,OK - SQUARE MEAL,524,2185.663981,22.10340548,5.457516134,340.07,10483.92,417.11,4.22,64.9,2000.75,1.04,Red,Yellow,,TRUE,
,,R-45744,SQR|Rice And Beans 170g,OK - SQUARE MEAL,170,266.0501259,0.892233649,1.290663533,51.99,252.2,156.5,0.52,30.58,148.35,0.76,Green,Green,,,TRUE
,,R-34024,SQR|Roast|Cauliflower|Wedge,OK - SQUARE MEAL,280,258.5398278,1.567051726,0.953736348,18.27,985.39,92.34,0.56,6.52,351.92,0.34,Green,Green,,,TRUE
,,R-51309,SQR|Roast|Cauliflower|Wedge+1,OK - SQUARE MEAL,435,450.3233768,3.730010904,1.232577855,24.74,1508.54,103.52,0.86,5.69,346.79,0.28,Green,Green,,,TRUE
,,R-51310,SQR|Roast|Cauliflower|Wedge+2,OK - SQUARE MEAL,590,642.1069258,5.892970082,1.511419362,31.21,2031.7,108.83,1,5.29,344.36,0.26,Green,Green,,,TRUE
,,R-45190,SQR|Thai Chicken Thigh +1,OK - SQUARE MEAL,195.5,197.8225797,1.012428377,0.304830822,79.15,957.57,101.19,0.52,40.49,489.81,0.16,Green,Green,,,TRUE
,,R-45191,SQR|Thai Chicken Thigh +2,OK - SQUARE MEAL,384,388.2278626,1.832329954,0.590642515,157.7,1914.31,101.1,0.48,41.07,498.52,0.15,Green,Green,,,TRUE
,,R-45020,SQR|Thai Chicken Thighs,OK - SQUARE MEAL,505,1816.78743,47.14815,4.688797,149.73,200.78,359.76,9.34,29.65,39.76,0.93,Yellow,Yellow,,TRUE,
,,R-49260,SQR|TOFU|Thai Green Curry ,OK - SQUARE MEAL,364,373.3751395,1.564774655,0.880952089,3.4,82.57,102.58,0.43,0.93,22.68,0.24,Green,Green,,,TRUE
,,R-49262,SQR|TOFU|Thai Green Curry+1,OK - SQUARE MEAL,519,604.5996958,2.209501373,1.909553944,70.16,279.65,116.49,0.43,13.52,53.88,0.37,Green,Green,,,TRUE
,,R-49263,SQR|TOFU|Thai Green Curry+2,OK - SQUARE MEAL,664,823.1964522,2.827052235,2.92734407,129.07,453.54,123.98,0.43,19.44,68.3,0.44,Green,Green,,,TRUE
,,R-50450,SQR|VeganMenudo 325g,OK - SQUARE MEAL,343,410.5008407,2.72166542,1.406520596,9.73,314.19,119.68,0.79,2.84,91.6,0.41,Green,Green,,,TRUE
,,R-51584,SQR|VeganMenudo+1,OK - SQUARE MEAL,483,593.3203609,3.134446216,1.572156615,81.07,525.29,122.84,0.65,16.78,108.76,0.33,Green,Green,,,TRUE
,,R-51316,SQR|VeganMenudo+2,OK - SQUARE MEAL,623,776.1398811,3.547227012,1.737792635,152.42,736.39,124.58,0.57,24.47,118.2,0.28,Green,Green,,,TRUE
,,R-51314,SQU|Chayote Salad Tostadas+1,OK - SQUARE MEAL,294,582.6194061,4.123058609,1.929039259,88.55,2721.37,198.17,1.4,30.12,925.64,0.66,Yellow,Green,,,TRUE
