PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-14356,[PREP KAPPA MAKI,6.0,PORT,N,,
P-14560,2022 Caesar Wrap prep,1.0,ea,N,,
P-9003,2022 Gallery Burger prep,1.0,ea,N,,
P-17358,2022 Poutine Prep,1.0,PORT,N,,
P-15006,2022 Power Punch Salad prep,1.0,PORT,N,,
P-16795,2022 Pulled Pork Sandwich prep,1.0,PORT,N,,
P-14552,2022 Vegan Pulled Pork Prep,1.0,ea,N,,
P-18327,2023 Appi Platter prep,1.0,PORT,N,,
P-18453,2023 GM Tempeh curry prep ,1.0,PORT,N,,
P-18451,2023 Gm truffle Fries prep,1.0,PORT,N,,
P-18452,2023 Gm Yam fries prep,1.0,PORT,N,,
P-18540,2023 Home made burger prep,1.0,ea,N,,
P-18397,2023 Mixed Green salad prep,1.0,ea,N,,
P-18275,Beets salad prep 2023 ,1.0,PORT,N,,
P-15019,Butter Chicken Prep 2023 ,1.0,PORT,N,,
P-17366,Chicken Teriyaki Prep 2023,1.0,PORT,Y,,
P-18316,Crispy EggPlant prep 2023,3.0,PORT,Y,,
P-18266,KFC Gallery prep 2022,1.0,PORT,N,,
P-18324,Nachos prep 2023,1.0,PORT,N,,
P-18295,Pesto chicken prep 2022,1.0,PORT,N,,
P-18335,Poboy Prep 2023,22.0,PORT,Y,,
P-14553,Porch Prep Vegan Cole Slaw,1.0,PORT,N,,
P-4326,PREP AVOCADO ,1.0,ea,N,,
P-14352,PREP CALIFORNIA ROLL,1.0,PORT,N,,
P-8267,PREP CARMALIZED ONION,10.0,2 KG,N,,
P-14411,PREP CATERPILLAR ROLL,1.0,PORT,N,,
P-14383,PREP CHICKEN TERI ROLL,1.0,PORT,N,,
P-14372,PREP CONDIMEMT MAKI,1.0,PORT,N,,
P-14376,PREP CONDIMENT COMBO,1.0,PORT,N,,
P-8099,PREP CONDIMENT ROLL,1.0,srvg,N,,
P-15606,PREP CONTAINER MAKI,1.0,PORT,N,,
P-14403,PREP CREAM CHEESE,12.0,PORT,N,,
P-14353,PREP DYNAMITE ROLL,1.0,PORT,N,,
P-14396,PREP HOUSE ROLL,1.0,PORT,N,,
P-14430,PREP MANGO&AVO ROLL,1.0,PORT,N,,
P-14413,PREP PHILADELPHIA ROLL,1.0,PORT,N,,
P-14360,PREP SALMON MAKI,1.0,PORT,N,,
P-3173,PREP SUSHI RICE COOKED,58.0,PORT,N,,
P-14354,PREP TEMPURA YAM,1.0,PORT,N,,
P-14357,PREP TUNA MAKI,1.0,PORT,N,,
P-14369,PREP VEGGIE ROLL,1.0,PORT,N,,
P-14355,PREP YAM ROLL,1.0,PORT,N,,
P-18358,Sub Onion Rings prep 2023,1.0,ea,N,,
P-18361,Sub Truffle fries 2023 Prep,1.0,ea,N,,
P-18296,Teriyaki Tempeh Prep 2023,1.0,PORT,N,,
P-18330,Tuscan Prep 2023,1.0,PORT,N,,
P-15013,Wings Prep 2023,1.0,PORT,Y,,
P-18313,Yam Fries prep 2023,1.0,PORT,N,,
P-18049,Yellow Curry Prep Gall.2023,1.0,PORT,Y,,
