PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-17305,2022 Hummus prep,1600.0,g,N,1600.0,g
P-16793,2022 Pulled Pork Prep,6.0,Kg,Y,6000.0,g
P-18380,2023 Babaganoush Prep,750.0,g,N,750.0,g
P-18458,2023 Fresh burger Patty prep,2.6,Kg,Y,2600.0,g
P-18575,2023 Wings Hot sauce prep,1650.0,g,Y,1650.0,g
P-18531,2023.7 Chili Garlic Prep,1000.0,g,N,1000.0,g
P-18530,2023.7 Sambal Chili Prep,2000.0,g,N,2000.0,g
P-18052,Beets prep 2023,2.0,Kg,N,2000.0,g
P-18336,Cooked Penne pasta prep 2023,4.0,Kg,N,4000.0,g
P-18381,Eggplant Prep 2023,500.0,g,N,500.0,g
P-14551,Porch Prep Pulled Pork,4.7,Kg,N,4700.0,g
P-18321,Prep Alfredo (Gall)2023,2250.0,g,N,2250.0,g
P-6150,PREP BURGER SAUCE,8.0,L,N,8000.0,ml
P-3249,PREP CRAB MIX,5.85,Kg,N,5850.0,g
P-8018,PREP GARLIC MAYO,4.0,L,N,4000.0,ml
P-18444,Prep hummus Gallery 2023,1408.0,g,N,1408.0,g
P-6068,PREP KANSAS CITY BBQ,1.0,L,N,1000.0,ml
P-6053,PREP- MANGO VINAIGRETTE,1.0,L,N,1000.0,ml
P-5814,PREP PULLED PORK RUB,880.0,g,N,880.0,g
P-6476,PREP SRIRACHA MAYONAISE,650.0,ml,N,650.0,ml
P-3237,PREP TERIYAKI SAUCE,76.0,L,N,76000.0,ml
P-6811,PREP VEGAN MAYO,2.0,L,N,2000.0,ml
P-15419,Spicy mayo prep 2023,1.25,L,N,1250.0,ml
P-18329,Truffle Cream prep 2023 ,310.0,g,Y,310.0,g
