IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description
I-11842,2.0,LOAF,1.0,0.8818,P-13648,SOURDOUGH LOAFCOUNTRY 
I-1020,0.042,SHEET,1.0,0.042,P-22029,BAR NANAIMO SCORED 12X16IN 
I-1048,1.0,slice,1.0,1.0,P-22030,CAKE BLACK*FOREST 12X16IN 
I-1016,0.042,SHEET,1.0,0.042,P-22032,BROWNIE ROCKY ROAD 12X16IN TFC
I-11824,0.042,SHEET,1.0,0.042,P-22037,CAKE SHEET*BRNIE DBL CHOC FUDG
I-56580,0.033,SHEET,1.0,0.033,P-22042,CAKE SHEET*STRAWB SHORTCAKE 
I-1065,0.033,SHEET,1.0,0.033,P-22049,TIRAMISU LAYER*SUPER 12X16I
I-1028,0.5,CT,1.0,0.5,P-26170,BREAD NAAN*ORIGINAL TEARDROP
I-64492,1.0,LOAF,1.0,0.0625,P-26234,LOAF GARLIC BREAD
I-19735,1.0,CT,1.0,0.1,P-26318,PASTRY PUFF 10X15 IN
I-15358,50.0,ea,1.0,55.1268,P-26393,TORTILLA CORN*WHTE 6IN EX THN
I-1035,0.2,CT,1.0,0.2,P-28369,PITA THK 5IN T/S FZN
I-1152,0.4,CT,1.0,0.4,P-28369,TORTILLA FLOUR*W/ WHEAT 12IN
I-1254,0.5,CT,1.0,0.5,P-28369,"CIABATTA BUN 5""X 5"" PLAIN "
I-17686,0.1,ea,1.0,0.1,P-28369,TORTILLA RICE BROWN GF
I-17615,0.25,slice,1.0,0.25,P-28372,CHEESE HAVARTI*SLCD 
I-17617,0.25,slice,1.0,0.25,P-28372,CHEESE PROVOLONE SLCD 14G
I-19633,1.0,pak,1.0,0.1818,P-31170,YOGURT FROZEN MIX 
I-18089,1.0,ea,1.0,0.25,P-32729,BAGUETTE WHITE
I-30178,4.0,SHEET,1.0,0.0267,P-35733,NORI SHEETS
I-24227,1.0,LOAF,1.0,0.0011,P-38282,LOAF ORGANIC MULTIGRAIN PAN
I-1141,90.0,CT,1.0,40.0,P-42353,TORTILLA CORN TRICOLOUR 6IN
I-1187,1.0,LOAF,1.0,0.0714,P-45430,LOAF COUNTRY WHOLE WHEAT
I-9341,12.0,CT,1.0,0.03,P-45790,"TORTILLA FLOUR*6"""
I-1047,12.0,CT,1.0,1.0,P-46861,HOT DOG BUN SLIDER SLCD FZN
I-8238,1.0,ea,1.0,1.0,P-47243,SPRING ROLL VEG 30g SIZE
I-31492,1.0,ea,1.0,1.0,P-48485,BAR SWEET SALTY CARAMEL 12X16
I-16216,1.0,slice,1.0,1.0,P-50510,CAKE SHEET*TRIPLE CHOC FUDGE
I-25290,0.15,LOAF,1.0,0.15,P-50511,SOURDOUGH CHEEKY RND FRZ 
I-9641,1.0,LOAF,1.0,0.0625,P-50725,FOCACCIA HERB FULL SHEET
I-24229,1.0,LOAF,1.0,0.0556,P-50799,LOAF ORGANIC  PAN SLD CHEEKY
I-13004,1.0,CT,1.0,0.0556,P-50809,LOAF COUNTRY FRENCH.
I-11519,1.0,bag,1.0,0.0333,P-50853,CHIP HARDBITE JALAPENO
I-15032,1.0,LOAF,1.0,0.0278,P-51992,LOAF SOURDOUGH 5/8 COUNTRY CLU
I-4766,10.0,CT,1.0,8.0,P-53753,ORANGES SUNKISTUS 88
I-3344,12.0,PTN,1.0,0.2667,P-53798,MARGARINE NONHYDROG PORT TFC
I-14190,1.0,LOAF,1.0,0.0455,P-54581,LOAF MULTIGRAIN 5/8 SANDWICH
I-2586,1.0,CT,1.0,1.0,P-54960,CREPE 7IN*
I-3103,1.0,CT,1.0,1.0,P-55079,SPRING ROLL WRAP 8.5 FROZEN
I-2672,1.0,CT,1.0,1.0,P-55173,PIE TOP U/SWT 5IN TFC
I-3688,16.0,CT,1.0,32.0,P-55548,TORTILLA WHT*CORN TAQ 4.5IN FZ
I-4504,4.0,ea,1.0,0.16,P-55583,BANANA LEAVES FROZEN 454G
I-36765,2.0,ea,1.0,0.8,P-56195,LA COSTENA Jalapeno Slices
I-11518,5.0,bag,1.0,2.1739,P-57001,CHIP HARDBITE SALT&VIN
I-1034,1.0,CT,1.0,0.1667,P-57968,PITA PCKT BREAD WW 7IN
I-11855,1.0,CT,1.0,0.1667,P-57968,CIABATTA MG
I-1186,0.025,LOAF,1.0,0.0042,P-57968,LOAF COUNTRY MULTIGRAIN
I-55414,1.0,each,1.0,0.1667,P-57968,CIABATTA WHL WHT SLCD 3 X 5.5
I-25119,1.0,ea,1.0,1.0,P-58285,CONT PLAS CLR W/LID TEAR 16OZ
I-57682,0.1,each,1.0,0.1,P-58286,BS|Rice Krispies (6ea)
I-2661,0.056,PIE,1.0,0.056,P-58297,PIE APPLE*U/BKD 10IN
I-2662,0.056,PIE,1.0,0.056,P-58297,PIE BLUEBERRY*U/BKD 10IN
I-2667,0.056,PIE,1.0,0.056,P-58297,PIE LEMON*MERINGUE CKD10I
I-1275,1.0,LOAF,1.0,0.0556,P-58309,LOAF WHOLE WHEAT SANDWICH 
I-1273,1.0,LOAF,1.0,0.1351,P-58370,SOURDOUGH BREAD COUNTRY 
I-1126,30.0,CT,1.0,3.75,P-59557,PIE SHELL*U/SWT 4IN 
I-50577,1.0,Dollar,1.0,2.0,P-59674,GHOST ITEM
I-37651,10.0,each,1.0,0.7143,P-59830,TEA BLACK EARL GREY
I-1127,1.0,CT,1.0,1.0,P-60503,PIE SHELL*U/SWT DEEP DISH 5IN 
I-13302,0.25,CT,1.0,0.25,P-60855,SAMOSA BREAKFAST
I-2771,0.25,CT,1.0,0.25,P-60855,SAMOSA VEGGIE 
I-60871,0.033,SHEET,1.0,0.033,P-60927,CAKE SHEET CHOC LAYER 12X16IN
I-9835,1.0,CT,1.0,1.1765,P-61076,TURNIP WHITE
I-53518,0.033,SHEET,1.0,0.033,P-61132,BROWNIE TIGER
I-18639,0.033,SHEET,1.0,0.033,P-61133,CAKE SHEET TRIPLEBERRY CRUMBLE
I-62225,4.0,CT,1.0,0.4444,P-64456,EGG LRG 15 DOZEN LOOSE
I-62736,1.0,ea,1.0,1.0,R-12347,HAMBURGER BUN WW VEGAN 100gr
I-1054p,1.0,CT,1.0,1.0,R-22863,LID DOME CLR F/ CUP PET 9-20Z
I-1079p,1.0,CT,1.0,1.0,R-22863,CUP PLAS CLR 12Z PET
I-1004p,1.0,CT,1.0,1.0,R-23628,LID DOME WHT F/CUP 10Z SQT-24Z
I-1012p,1.0,CT,1.0,1.0,R-23628,CUP PPR HOT WHT 12Z
I-52016,1.0,ea,1.0,1.0,R-28251,KAISER WW VEGAN SLICED
I-8374,3.0,ea,1.0,1.0,R-29282,POTSTICKER VEG 50PC
I-28904,1.0,each,1.0,1.0,R-29283,SIU MAI PORK & SHRIMP O/W
I-28899,1.0,each,1.0,1.0,R-29284,HA GOW OCEANWISE SHRIMP 
I-1165p,1.0,CT,1.0,1.0,R-29667,LID DOME W/H FIT TP9/TP12/TN20
I-1227,1.0,CT,1.0,1.0,R-29668,CROISSANT PLAIN LARGE
I-1177,1.0,ea,1.0,1.0,R-29669,CROISSANT CHOCOLATE 
I-28412,1.0,ea,1.0,1.0,R-29670,CAKE|Ponderosa 6ea
I-29232,1.0,ea,1.0,1.0,R-29671,BUN|Cinnamon |LG 6ea|Unbake
I-1160,0.5,CT,1.0,1.0,R-29801,LOAF BANANA (8 PORTION SLICED)
I-1230,0.5,CT,1.0,1.0,R-29801,LOAF LEMON (8 PORTION SLICED)
I-1229,0.16,CT,1.0,1.0,R-29802,BAR LEMON COCONUT (6 PACK)
I-1239,0.16,CT,1.0,1.0,R-29802,BAR NANAIMO (6 PACK)
I-1241,0.16,CT,1.0,1.0,R-29802,BAR OAT FUDGE(6 PACK)
I-1263,0.16,CT,1.0,1.0,R-29802,SQUARE RICE CRISPY (6 PACK)
I-1266,0.16,CT,1.0,1.0,R-29802,BAR ROCKY ROAD (6 PACK)
I-1283,0.16,CT,1.0,1.0,R-29802,BROWNIE CHOCOLATE (6 PACK)
I-7173,1.0,CT,1.0,1.0,R-29803,DANISH FRESH FRUIT
I-2773,1.0,CT,1.0,1.0,R-29805,WRAP BUTTER CHICKEN WRAP
I-1212,1.0,ea,1.0,1.0,R-29807,CROISSANT HAM & CHEESE 
I-1389,1.0,CT,1.0,1.0,R-29808,COOKIE GF CHOCOLATE CHIP 
I-1174,1.0,CT,1.0,1.0,R-29823,CROISSANT CHEESE. 
I-2353,1.0,CT,1.0,1.0,R-29827,"9""X6"" 2-COMPARTMENT CLAMSHELL"
I-1159,1.0,CT,1.0,1.0,R-29829,TURNOVER  APPLE 
I-28676,1.0,ea,1.0,1.0,R-30008,G&G- Salad Strawberry Kale
I-28282,1.0,each,1.0,1.0,R-30023,BAR|Granola|6ea
I-28679,1.0,ea,1.0,1.0,R-30123,G&G- Salad Kale& Romain Ceaser
I-28682,1.0,ea,1.0,1.0,R-30125,G&G|Pot|Blueberry Chia 
I-28683,1.0,ea,1.0,1.0,R-30155,G&G|Pot|Salted Caramel 
I-1085,0.24,CT,1.0,1.0,R-30168,COOKIE DOUGH CHOC CHIP DBL TFC
I-1089,0.24,CT,1.0,1.0,R-30168,COOKIE DOUGH CHOC CHIP LG
I-1096,0.04,CT,1.0,1.0,R-30168,COOKIE DOUGH*OATMEAL RAISIN LG
I-28407,1.0,ea,1.0,1.0,R-30170,COOKIES|Chocolate Chip 6ea
I-29688,1.0,ea,1.0,1.0,R-30406,CROISSANT BUTTER MULTIGRAIN
I-29690,1.0,ea,1.0,1.0,R-30520,CROISSANT BUTTER LARGE
I-2281,0.076,650G,1.0,1.0,R-30524,YOGURT VANILLA STIRRED 650G 
I-7172,1.0,CT,1.0,1.0,R-30672,CROISSANT ALMOND EACH
