IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description
I-13327,0.75,pak,1,0.0125,P-12392,COFFEE LUSH 42 X 110G
I-2501,0.25,pak,1,0.0042,P-12392,COFFEE SUPER DARK 110g
I-17680,0.2,bag,1,0.0333,P-14076,CEREAL CORNPUFF GORILA MNCH GF
I-19633,1,pak,1,0.3333,P-23837,YOGURT FROZEN MIX 
I-17151,5,CT,1,0.5,P-28369,CIABATTA TUSCANO SLICED
I-29427,0.333,ea,1,0.333,P-33780,BS|Muffin| 1 |6ea
I-29442,0.333,ea,1,0.333,P-33780,BS|Muffin| 3 |6ea
I-29443,0.333,ea,1,0.333,P-33780,BS|Muffin| 2 |6ea
I-29436,0.333,ea,1,0.333,P-38127,BS|Scone| 3 |6ea
I-29437,0.333,ea,1,0.333,P-38127,BS|Scone| 2 |6ea
I-29438,0.333,ea,1,0.333,P-38127,BS|Scone| 1 |6ea
I-1263,0.09,CT,1,0.09,P-38170,SQUARE RICE CRISPY (6 PACK)
I-25119,1,ea,1,1,P-38172,CONT PLAS CLR W/LID TEAR 16OZ
I-25121,1,ea,1,1,P-42552,CONT PLAS CLR W/LID TEAR 24OZ
I-4947,1,CT,1,0.008,P-45048,WATERCRESS(24 CT) US
I-1852,1,CT,1,0.0011,P-46066,ALMOND BEV - ORIGINAL
I-32323,30,ea,1,1,P-46075,PUDDING YORKSHIRE*MINI 
I-1047,12,CT,1,1,P-46861,HOT DOG SLIDER SLCD FZN
I-17571,1,DOZ,1,0.0833,P-46877,OYSTER N/SHELL CHEF CREEK OW
I-11854,1,CT,1,0.5,P-47362,CIABATTA TUSCANO 
I-47759,1,ea,1,1,P-47805,BURGER VEG BEYOND BEET 4 OZ
I-1079p,1,CT,1,1,P-47859,CUP PLAS CLR 12Z PET
I-1165p,1,CT,1,1,P-47859,LID DOME W/H FIT TP9/TP12/TN20
I-43547,1,each,1,1,P-47859,"STRAW PPR GIANT NOWRAP WHT 10"""
I-31492,1,ea,1,1,P-48485,BAR SWEET SALTY CARAMEL 12X16
I-16216,1,slice,1,1,P-50510,CAKE SHEET*TRIPLE CHOC FUDGE
I-7055,1,SHEET,1,0.0313,P-50725,FOCACCIA
I-7619,2,ea,1,1,P-51225,"SKEWER BAMBOO 8"""
I-9834,2,CT,1,0.25,P-53318,TURNIP YELLOW
I-11362,4,CT,1,0.1818,P-56119,MILK CHOC 1% 473ml
I-19178,30,CT,1,1.3636,P-56119,BAGEL PLAIN G/FREE FZN (S0)
I-64876,1,each,1,0.0083,P-64878,TMRW BURGER PATTIES VEGAN
I-28914,3,each,1,3,P-65742,GYOZA VEGETABLE
