IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-67659,1.0,each,1,1.0,R-36098,BURGER 50/50 4oz,MEAT,1.0,41.3463
I-28697,1.0,ea,1,1.0,R-54038,BURGER QUINOA YAM,MEAT,1.0,41.3463
I-47441,1.0,ea,1,1.0,R-54464,JAMAICAN PATTY SPICY,MEAT,1.0,41.3463
I-1905,1.0,CT,1,1.0,R-56331,BEEF JERKY PEPPERED 80G,MM Snack Jerky,1.0,41.3463
I-47440,1.0,ea,1,1.0,R-54465,JAMAICAN PATTY MILD,MEAT,1.0,41.3463
I-13327,0.75,pak,1,0.0125,P-12392,COFFEE LUSH 42 X 110G,FAIR TRADE,53.0,16.6995
I-54484,1.0,each,1,1.0,R-56036,MORIYAMA COFFEE LATTE,FOOD - GROCERY,53.0,16.6995
I-2501,0.25,pak,1,0.0042,P-12392,COFFEE SUPER DARK 110g,FAIR TRADE,53.0,16.6995
I-52609,1.0,ea,1,1.0,R-52932,COFFEE COLD BREW FLASH BLACK ,BEVERAGE,53.0,16.6995
I-52636,1.0,ea,1,1.0,R-53769,COFFEE COLD BREW FLASH MOCHA,BEVERAGE,53.0,16.6995
I-2772,1.0,CT,1,1.0,R-30678,WRAP BEEF ,FOOD - GROCERY,59.0,15.614364
I-20347,0.8,PTN,1,1.0,R-13828,BUTTER PORT WHIPPED,DAIRY,5.0,11.4316
I-54756,1.0,each,1,1.0,R-56010,LAMON CHOC ALMOND,CANDIES SNACKS,52.0,10.456
I-41251,1.0,ea,1,1.0,R-56041,HUNTS PUDDING CHOCOLATE ,MM Snack Popcorn & Other,52.0,10.456
I-2833,0.1,CT,1,1.0,R-22974,VITA SOY CHOCOLATE SOYA DRINK,BEVERAGE,52.0,10.456
I-54761,1.0,each,1,1.0,R-56001,LAMON CHOC CRANBERRY,CANDIES SNACKS,52.0,10.456
I-54755,1.0,each,1,1.0,R-56002,LAMON CHOC RAISINS,CANDIES SNACKS,52.0,10.456
I-54759,1.0,each,1,1.0,R-56003,LAMON CHOC PISTACHIO,CANDIES SNACKS,52.0,10.456
I-63749,1.0,414ML,1,1.0,R-62981,CORE POWER CHOC ELITE,BEVERAGE,52.0,10.456
I-54758,1.0,each,1,1.0,R-56011,LAMON CHOC COCON ALMOND,CANDIES SNACKS,52.0,10.456
I-53847,1.0,414ML,1,1.0,R-37761,CORE POWER CHOCO 414ML,BEVERAGE,52.0,10.456
I-34313,0.01,cs,1,1.0,R-34899,CAKE SHEET TRUFFLE CHOCO SLAB,BAKED GOODS,52.0,10.456
I-19639,1.0,ea,1,1.0,R-47594,BAR CHOCOLATE DARK 80%,CANDIES SNACKS,52.0,10.456
I-63683,1.0,ea,1,1.0,R-64334,BISCUITS HAM&CHEESE EA,BAKED GOODS,3.0,9.8315
I-19700,1.0,pak,1,1.0,R-48639,DUMPLING PORK JAPANESE 5PC,SUSHI,3.0,9.8315
I-3902,1.0,CT,1,1.0,R-50118,PORK CUTLET 4Z BRD FZN,MEAT,3.0,9.8315
I-63690,1.0,ea,1,1.0,R-64335,SAUSAGE ROLL EACH,BAKED GOODS,3.0,9.8315
I-48660,0.78,ea,1,1.0,R-56091,"PIZZA 6"" Pepperoni",MEAT,3.0,9.8315
I-2546,0.25,CT,1,1.0,R-54867,CALZONE PEPPERONI,FOOD - GROCERY,3.0,9.8315
I-1727,1.0,710ml,1,1.0,R-47495,POWERADE ZERO MIX BERRY,BEVERAGE,54.0,9.3703
I-2118,0.75,PTN,1,1.0,R-13165,CHEESE CREAM*PORT TFC,DAIRY,6.0,8.9104
I-2778,1.0,CT,1,1.0,R-38791,CHEESECAKE CHOCOLATE TRUFFLE,BAKED GOODS,6.0,8.9104
I-63698,3.0,ea,1,1.0,R-64336,GOUDA BOMBS EACH,BAKED GOODS,6.0,8.9104
I-2116,0.25,PTN,1,1.0,R-13165,CHEESE CREAM LT PORT TFC,DAIRY,6.0,8.9104
I-2120,1.0,PTN,1,1.0,R-44777,CHEESE CURD POUTINE PTN,DAIRY,6.0,8.9104
I-32271,1.0,slice,1,1.0,R-55975,CHEESE PROVLNE SLICE NON-DAIRY,DAIRY,6.0,8.9104
I-38717,1.0,CT,1,1.0,R-38790,"CHEESECAKE VERY BERRY 3""",BAKED GOODS,6.0,8.9104
I-31549,1.0,slice,1,1.0,R-32314,CHEESECAKE RASP GREEK YOG ,BAKED GOODS,6.0,8.9104
I-53226,0.22,ea,1,1.0,R-56091,"PIZZA 6"" Three Cheese",MEAT,6.0,8.9104
I-32265,0.5,ea,1,1.0,R-49029,CORN/SHRIMP PORK BALL OW,FOOD - GROCERY,59.0,8.500975
I-41807,1.0,ea,1,1.0,R-49770,BAR KIND HNY RSTD NUTS SALT,FOOD - GROCERY,26.0,4.2854
I-41805,1.0,each,1,1.0,R-42266,BAR KIND CARAMEL ALMOND,FOOD - GROCERY,26.0,4.2854
I-63977,1.0,ea,1,1.0,R-67343,CK|G&G|Pot|Chia Seasonal ,PRODUCTION FOOD,26.0,4.2854
I-43988,1.0,ea,1,1.0,R-56012,NATURE VALLEY Trail Fruit Nut,FOOD - GROCERY,26.0,4.2854
I-42899,1.0,ea,1,1.0,R-56007,SNACK MAPLE PRALINE ALMONDS,"MM Snack Nuts, Fruit, Mixes",26.0,4.2854
I-13970,0.5,ea,1,1.0,R-13574,ALMOND ORIG TETRA 250ML,BEVERAGE,26.0,4.2854
I-54757,1.0,each,1,1.0,R-55996,LAMON CAFE ALMOND,CANDIES SNACKS,26.0,4.2854
I-51331,1.0,ea,1,1.0,R-56311,BEAR NAKED Fruit & Nut,FOOD - GROCERY,26.0,4.2854
I-38957,1.0,ea,1,1.0,R-38960,"TART PUMPKIN 4"" AUNTIE AUDREY'",BAKED GOODS,26.0,4.2854
I-41804,1.0,ea,1,1.0,R-41889,BAR KIND ALMOND MOCHA DK CHOC,FOOD - GROCERY,26.0,4.2854
I-41800,1.0,ea,1,1.0,R-41599,BAR KIND ALMOND & COCONUT,FOOD - GROCERY,26.0,4.2854
I-55664,1.0,each,1,1.0,R-66134,EASTER|Pot|Chia Pudding Lemon,PRODUCTION FOOD,26.0,4.2854
I-41803,1.0,ea,1,1.0,R-52238,BAR KIND ALMOND MINT DARK CHOC,FOOD - GROCERY,26.0,4.2854
I-54483,1.0,each,1,1.0,R-56035,MORIYAMMA TEA LATTE,FOOD - GROCERY,7.0,4.0163
I-54482,1.0,each,1,1.0,R-56034,MORIYAMA MATCHA LATTE,FOOD - GROCERY,7.0,4.0163
I-42194,0.5,each,1,1.0,R-42304,GELATO SANDWICH VANILLA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42203,0.2,ea,1,1.0,R-42303,GELATO BLISS BAR VANILLA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42202,0.2,ea,1,1.0,R-42303,GELATO BLISS BAR ESPRESSO,ICECREAM/NOVELTY/GELATO,7.0,4.0163
