IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-2768,0.25,CT,1,0.25,P-60855,SAMOSA BEEF ,FOOD - GROCERY,1.0,41.3463
I-20879,2.0,CT,1,1.0,R-51201,SOUVLAKI BEEF 75G SKEWERS,MEAT,1.0,41.3463
I-28641,1.0,ea,1,1.0,R-30115,G&G- Wrap Roast Beef & Blue Ch,PRODUCTION FOOD,1.0,41.3463
I-47441,1.0,ea,1,1.0,R-47443,JAMAICAN PATTY SPICY,MEAT,1.0,41.3463
I-47440,1.0,ea,1,1.0,R-47442,JAMAICAN PATTY MILD,MEAT,1.0,41.3463
I-2501,0.3,pak,1,0.15,P-26479,COFFEE SUPER DARK 110g,FAIR TRADE,53.0,16.6995
I-13327,0.7,pak,1,0.35,P-26479,COFFEE LUSH 42 X 110G,FAIR TRADE,53.0,16.6995
I-49783,1.0,ea,1,1.0,R-61592,PROBAR Base Coffee Crunch,FOOD - GROCERY,53.0,16.6995
I-2772,1.0,CT,1,1.0,R-30169,WRAP BEEF ,FOOD - GROCERY,59.0,15.614364
I-47430,1.0,ea,1,1.0,R-47458,G&G|Sand|Nut Butter Banana,PRODUCTION FOOD,5.0,11.4316
I-28685,1.0,ea,1,1.0,R-30012,G&G-Pot Hazelnut & Coco,PRODUCTION FOOD,52.0,10.456
I-19910,0.5,piece,1,1.0,R-60455,CUPCAKE CHOCOLATE MINI ,BAKED GOODS,52.0,10.456
I-63683,1.0,ea,1,1.0,R-64181,BISCUITS HAM&CHEESE EA,BAKED GOODS,3.0,9.8315
I-45537,1.0,ea,1,1.0,R-52270,G&G|Cheese & Fruit,PRODUCTION FOOD,6.0,8.9104
I-41375,1.0,ea,1,1.0,R-41722,"QUICHE 4.25"" BROC & CHEDDAR",FOOD - GROCERY,6.0,8.9104
I-2118,1.0,PTN,1,1.0,R-29804,CHEESE CREAM*PORT TFC,DAIRY,6.0,8.9104
I-67541,1.0,ea,1,1.0,R-67608,CHEESECAKE GF MATCHA GREEN TEA,BAKED GOODS,6.0,8.9104
I-68966,1.0,slice,1,1.0,R-69075,CHEESE SLCD VEGAN VIOLIFE,DAIRY,6.0,8.9104
I-2769,0.25,CT,1,0.25,P-60855,SAMOSA CHICKEN ,FOOD - GROCERY,4.0,4.3996
I-63691,1.0,ea,1,1.0,R-64355,CHICKEN ROLL EACH,BAKED GOODS,4.0,4.3996
I-47530,7.0,ea,1,1.0,R-50482,WONTON CHICKEN,FOOD - GROCERY,4.0,4.3996
I-43647,1.0,CT,1,1.0,R-43640,TURKEY BREAKFAST PATTY 48G,MEAT,4.0,4.3996
I-41803,1.0,ea,1,1.0,R-52238,BAR KIND ALMOND MINT DARK CHOC,FOOD - GROCERY,26.0,4.2854
I-41805,1.0,each,1,1.0,R-42257,BAR KIND CARAMEL ALMOND,FOOD - GROCERY,26.0,4.2854
I-63977,1.0,ea,1,1.0,R-65811,CK|G&G|Pot|Chia Seasonal ,PRODUCTION FOOD,26.0,4.2854
I-53017,1.0,pak,1,1.0,R-58220,SPREAD ALMOND ,FOOD - GROCERY,26.0,4.2854
I-41807,1.0,ea,1,1.0,R-57330,BAR KIND HNY RSTD NUTS SALT,FOOD - GROCERY,26.0,4.2854
I-41804,1.0,ea,1,1.0,R-41818,BAR KIND ALMOND MOCHA DK CHOC,FOOD - GROCERY,26.0,4.2854
I-41800,1.0,ea,1,1.0,R-41599,BAR KIND ALMOND & COCONUT,FOOD - GROCERY,26.0,4.2854
I-49669,1.0,BAR,1,1.0,R-49772,MAGNUM STRAWBERRIES & CREAM,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3828,1.0,BAR,1,1.0,R-37538,MAGNUM ALMOND.,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3815,1.0,BAR,1,1.0,R-29997,CREAMSICLE SUPERSICLE CREAM,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-14933,1.0,BAR,1,1.0,R-29998,KLONDIKE KANDY BAR,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-34478,1.0,BAR,1,1.0,R-37624,MAGNUM DOUBLE RASPBERRY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-14932,1.0,BAR,1,1.0,R-37601,MAGNUM INFINITY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-14934,1.0,BAR,1,1.0,R-30128,KLONDIKE VANILLA SANDWICH,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3830,1.0,BAR,1,1.0,R-37619,MAGNUM DOUBLE CARAMEL,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-34477,1.0,BAR,1,1.0,R-37622,MAGNUM DOUBLE CHOCO/VANILLA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3834,1.0,BAR,1,1.0,R-30171,REESE® ICE CREAM CUP,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-16171,1.0,BAR,1,1.0,R-37787,KLONDIKE CONE STR/VAN KING,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3821,1.0,BAR,1,1.0,R-37792,FUDGSICLE SUPERSICLE FUDGE,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-34479,1.0,BAR,1,1.0,R-37795,MAGNUM DOUBLE COOKIES & CREAM,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3825,1.0,BAR,1,1.0,R-37341,KLONDIKE GIANT COOKIE SANDWICH,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42797,1.0,BAR,1,1.0,R-43025,KLONDIKE COOKIES & CREAM SANDW,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-51573,1.0,BAR,1,1.0,R-52267,COCONUT BLISS COOKIE SAND VAN,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-48881,0.125,ea,1,1.0,R-64983,MELONA Strawberry,MM Ice Cream,7.0,4.0163
I-34483,1.0,BAR,1,1.0,R-55096,CREAMSICLE CREAM,ICECREAM/NOVELTY/GELATO,7.0,4.0163
