IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-63692,1.0,ea,1,1.0,R-64352,PIE BEEF EACH,BAKED GOODS,1.0,41.3463
I-47441,1.0,ea,1,1.0,R-64290,JAMAICAN PATTY SPICY,MEAT,1.0,41.3463
I-20879,9000.0,g,1,1.0,P-71464,SOUVLAKI BEEF 75G SKEWERS,MEAT,1.0,41.3463
I-2564,4560.0,g,1,1.0,P-71427,BEEF SAUSAGE ROLL U/BKD BEEF,MEAT,1.0,41.3463
I-28697,1.0,ea,1,1.0,R-54281,BURGER QUINOA YAM,MEAT,1.0,41.3463
I-10503,192.0,g,1,0.0667,P-70682,HOT DOG*PLANT BASED WIENER FZN,MEAT,1.0,41.3463
I-2768,1.0,CT,1,1.0,R-41669,SAMOSA BEEF ,FOOD - GROCERY,1.0,41.3463
I-33072,1.0,ea,1,1.0,R-33355,LIL PEPS HONEY GARLIC,MM Snack Jerky,1.0,41.3463
I-70004,2210.0,g,1,1.087,P-62014,BEEF STEAK STRIPLOIN PRIME 170,MEAT,1.0,41.3463
I-67659,1.0,each,1,1.0,R-26776,BURGER 50/50 4oz,MEAT,1.0,41.3463
I-49371,1.0,CT,1,1.0,R-47663,SUSHI Shrimp Temp Cali Crunch,SUSHI,13.0,21.1274
I-52609,1.0,ea,1,1.0,R-52932,COFFEE COLD BREW FLASH BLACK ,BEVERAGE,53.0,16.6995
I-52636,1.0,ea,1,1.0,R-52930,COFFEE COLD BREW FLASH MOCHA,BEVERAGE,53.0,16.6995
I-2501,27.5,g,1,0.0042,P-12392,COFFEE SUPER DARK 110g,FAIR TRADE,53.0,16.6995
I-2772,1.0,CT,1,1.0,R-30678,WRAP BEEF ,FOOD - GROCERY,59.0,15.614364
I-61409,1.0,pak,1,1.0,R-53935,WF Popcorn Microwave Butter,FOOD - GROCERY,5.0,11.4316
I-53847,1.0,414ML,1,1.0,R-52790,CORE POWER CHOCO 414ML,BEVERAGE,52.0,10.456
I-64361,1.0,each,1,1.0,R-64369,SLIM COCOA GF,BAKED GOODS,52.0,10.456
I-63003,0.5,ea,1,1.0,R-52808,BISCOTTI CHOCO CARAM,FOOD - GROCERY,52.0,10.456
I-63749,1.0,414ML,1,1.0,R-63859,CORE POWER CHOC ELITE,BEVERAGE,52.0,10.456
I-63002,0.5,ea,1,1.0,R-52808,BISCOTTI APRICOT WTE CHOCO,FOOD - GROCERY,52.0,10.456
I-2833,0.07,CT,1,1.0,R-22974,VITA SOY CHOCOLATE SOYA DRINK,BEVERAGE,52.0,10.456
I-3745,1.25,CT,1,1.0,R-24172,BAR CHOC ALMOND GF ,CANDIES SNACKS,52.0,10.456
I-1384,0.5,CT,1,1.0,R-24464,BISCOTTI GF CHOCO HAZELNUT ,BAKED GOODS,52.0,10.456
I-64914,1.0,each,1,1.0,R-64979,SNACK ENERGII BITE COCOA ,CANDIES SNACKS,52.0,10.456
I-45901,1.0,each,1,1.0,R-45957,SNACK BITES CHOCOLATE COCONUT ,CANDIES SNACKS,52.0,10.456
I-19700,1.0,pak,1,1.0,R-63589,DUMPLING PORK JAPANESE 5PC,SUSHI,3.0,9.8315
I-64296,1.0,ea,1,1.0,R-64356,SANDWICH TURKEY BACON LET,FOOD - GROCERY,3.0,9.8315
I-63683,1.0,ea,1,1.0,R-65464,BISCUITS HAM&CHEESE EA,BAKED GOODS,3.0,9.8315
I-3906,1.0,CT,1,1.0,R-54283,PORK RIB PATTY CKD BNLS FZN,MEAT,3.0,9.8315
I-61648,1150.0,g,1,1.0,P-68139,BEYOND MEAT SAUSAGE VEG ORIG,MEAT,3.0,9.8315
I-16436,1.0,pak,1,1.0,R-64288,MOUNTAIN MIX - SIERRA ,FOOD - GROCERY,54.0,9.3703
I-39932,1.0,bag,1,1.0,R-39303,ENERGY MIX 170g,"MM Snack Nuts, Fruit, Mixes",54.0,9.3703
I-1727,1.0,710ml,1,1.0,R-47461,POWERADE ZERO MIX BERRY,BEVERAGE,54.0,9.3703
I-2778,1.0,CT,1,1.0,R-42345,CHEESECAKE CHOCOLATE TRUFFLE,BAKED GOODS,6.0,8.9104
I-30152,1.0,slice,1,1.0,R-57054,CHEESE CHED SLICED 24 CASE ,DAIRY,6.0,8.9104
I-2118,0.33,PTN,1,1.0,R-20388,CHEESE CREAM*PORT TFC,DAIRY,6.0,8.9104
I-24218,1.0,ea,1,1.0,R-24556,VALENTINES CHEESECAKE RASP,BAKED GOODS,6.0,8.9104
I-64321,0.2,CT,1,1.0,R-20398,SCONE CHEESE (4 PACK),BAKED GOODS,6.0,8.9104
I-64348,1.0,each,1,1.0,R-64349,CHEESECAKE PUMPKIN,FOOD - GROCERY,6.0,8.9104
I-2786,1.0,CT,1,1.0,R-61988,SPANAKOPITA KRONOS,FOOD - GROCERY,6.0,8.9104
I-2781,1.0,CT,1,1.0,R-38924,CHEESECAKE NEW YORK STYLE,BAKED GOODS,6.0,8.9104
I-2116,0.33,PTN,1,1.0,R-20388,CHEESE CREAM LT PORT TFC,DAIRY,6.0,8.9104
I-55065,1.0,each,1,1.0,R-55359,BLK DIAMOND CHEESESTRING CHED,FOOD - GROCERY,6.0,8.9104
I-44008,1.0,each,1,1.0,R-44178,BLACK DIAMOND Cheddar Slices,MM Dairy,6.0,8.9104
I-41375,0.5,ea,1,1.0,R-71574,"QUICHE 4.25"" BROC & CHEDDAR",FOOD - GROCERY,6.0,8.9104
I-35929,1.0,ea,1,1.0,R-35930,ITALISSIMA Monterey Jack Chees,MM Dairy,6.0,8.9104
I-68966,1.0,slice,1,1.0,R-69075,CHEESE SLCD VEGAN VIOLIFE,DAIRY,6.0,8.9104
I-63698,1.0,ea,1,1.0,R-64341,GOUDA BOMBS EACH,BAKED GOODS,6.0,8.9104
I-38717,1.0,CT,1,1.0,R-40013,"CHEESECAKE VERY BERRY 3""",BAKED GOODS,6.0,8.9104
I-32265,3.0,ea,1,1.0,R-53045,CORN/SHRIMP PORK BALL OW,FOOD - GROCERY,59.0,8.500975
I-37123,1.0,ea,1,1.0,R-55729,G&G|HMR|Salmon,PRODUCTION FOOD,12.0,4.9798
I-37138,1.0,ea,1,1.0,R-38748,G&G-Salad Berries w/Salmon,PRODUCTION FOOD,12.0,4.9798
I-25229,1.0,ea,1,1.0,R-24443,MCS TURKEY PEPPERONI & CHEDDAR,"JERKY, PEPPERONI",4.0,4.3996
I-2769,1.0,CT,1,1.0,R-64149,SAMOSA CHICKEN ,FOOD - GROCERY,4.0,4.3996
I-41804,1.0,ea,1,1.0,R-63651,BAR KIND ALMOND MOCHA DK CHOC,FOOD - GROCERY,26.0,4.2854
I-41803,1.0,ea,1,1.0,R-54977,BAR KIND ALMOND MINT DARK CHOC,FOOD - GROCERY,26.0,4.2854
I-63867,1.0,each,1,1.0,R-64759,CHIP PITA SIMPLY NAKED TFC,"CHIPS, PRETZELS, NUTS",26.0,4.2854
I-41805,1.0,each,1,1.0,R-49316,BAR KIND CARAMEL ALMOND,FOOD - GROCERY,26.0,4.2854
I-53017,1.0,pak,1,1.0,R-53020,SPREAD ALMOND ,FOOD - GROCERY,26.0,4.2854
I-41800,1.0,ea,1,1.0,R-47459,BAR KIND ALMOND & COCONUT,FOOD - GROCERY,26.0,4.2854
I-41807,1.0,ea,1,1.0,R-52937,BAR KIND HNY RSTD NUTS SALT,FOOD - GROCERY,26.0,4.2854
I-54075,1.0,each,1,1.0,R-54243,INNO COCO SUPER SEED,FOOD - GROCERY,26.0,4.2854
I-34860,1.0,ea,1,1.0,R-37859,CHIA CUP ORIGINAL,FOOD - GROCERY,26.0,4.2854
I-34863,1.0,ea,1,1.0,R-37858,CHIA CUP MANGO,FOOD - GROCERY,26.0,4.2854
I-17679,1.25,ea,1,1.0,R-24172,BAR EXTREME TRAIL GF,CANDIES SNACKS,26.0,4.2854
I-17678,1.25,ea,1,1.0,R-24172,BAR CRAN MAPLE NUT GF,CANDIES SNACKS,26.0,4.2854
I-54077,1.0,each,1,1.0,R-54244,INNO COCO CRAN & NUT,FOOD - GROCERY,26.0,4.2854
I-42899,1.0,ea,1,1.0,R-55022,MAPLE PRALINE ALMONDS,"MM Snack Nuts, Fruit, Mixes",26.0,4.2854
I-42797,1.0,BAR,1,1.0,R-43013,KLONDIKE COOKIES & CREAM SANDW,ICECREAM/NOVELTY/GELATO,7.0,4.0163
