ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-1971,0.003731343,0.25,ea,16.75,g
I-15803,0.004,1,can,250,ml
I-5505,0.001262626,0.25,HEAD,49.5,g
I-11706,0.008547009,1,ea,117,g
I-13308,0.024539877,1,ea,40.75,g
I-15514,0.025,0.5,slice,20,g
I-4082,0.025,3,ea,120,g
I-1789,0.004975124,1,HEAD,201,g
I-2919,0.769230769,6,ea,7.8,g
I-13956,0.011494253,6,PORT,522,g
I-1752,0.071428571,3,BUNCH,42,g
I-5899,0,24,ea,0,g
I-4014,0.04,16,ea,400,g
I-7647,0.021276596,2,ea,94,g
I-10942,0.020746888,2,ea,96.4,g
I-13719,0,1,ea,0,g
I-9665,0.01175779,1,ea,85.05,g
I-2087,0.066666667,0.2,BUNCH,3,g
I-13414,0.006097561,1,PORT,164,g
I-17486,0.011904762,1,PORT,84,g
I-16570,0.013333333,2,PORT,150,g
I-1541,0.005813953,2,ea,344,g
I-12354,0.027027027,4,piece,148,g
I-17316,0.004444444,1,PORT,225,g
I-1549,0.025,40,ea,1600,g
I-13577,0.001470588,0.5,cs,340,g
I-2992,0.085689803,1,slice,11.67,g
I-14905,0.003571429,1,PORT,280,g
I-1963,0.011904762,0.25,ea,21,g
I-5265,0.086956522,2,slice,23,g
I-5126,0.0486618,1,slice,20.55,g
I-14948,0.014285714,1,ea,70,g
I-2121,0.090909091,1,slice,11,g
I-3498,0.047619048,1,slice,21,g
I-14218,0.005878895,1,ea,170.1,g
I-16223,0.001,0.02,1 KG,20,g
I-3337,0.058823529,4,ea,68,g
I-8151,0.00625,0.5,LBS,80,g
I-15477,0.006329114,1,PORT,158,g
I-3354,0,1,ea,0,g
I-2133,0.001111111,1,ea,900,g
I-16638,0.005878895,1,ea,170.1,g
I-9017,0.2,1,ea,5,g
I-13813,0.003533569,0.2,LBS,56.6,g
I-14126,0.017649135,0.5,ea,28.33,g
I-14127,0.017686594,0.5,ea,28.27,g
I-3700,0.024539877,1,ea,40.75,g
I-13598,0.02,6,ea,300,g
I-1695,0.047619048,1,slice,21,g
I-12060,0.02,1,ea,50,g
I-15051,0.02,1,ea,50,g
I-16221,0.0002,0.2,5L,1000,ml
I-16794,0.013333333,1,PORT,75,g
I-16784,0.015384615,1,PORT,65,g
I-16785,0.006666667,1,PORT,150,g
I-4697,0.000625,1,ea,1600,ml
I-16789,0.004405286,1,PORT,227,g
I-15673,0,1,ea,0,g
I-4041,0,1,ea,0,g
I-4098,0,2,ea,0,g
I-4130,0,2,ea,0,g
I-7789,0,1,ea,0,g
I-9599,0,1,ea,0,g
I-9600,0,1,ea,0,g
I-9601,0,1,ea,0,g
I-16242,0,1,ea,0,g
I-14978,0.02,1,ea,50,g
I-15486,0.014285714,1,ea,70,g
I-7804,0.004366812,0.5,HEAD,114.5,g
I-4022,0.013333333,2,ea,150,g
I-14442,0.05,4,ea,80,g
I-16637,0.027027027,10,piece,370,g
I-15736,0.025062657,10,slice,399,g
I-13816,0.001102255,0.065,LBS,58.97,g
I-2071,0.007142857,0.5,ea,70,g
I-17990,0.000440917,0.025,LBS,56.7,g
I-17991,0.004065041,0.25,ea,61.5,g
I-1626,0.007843137,1,ea,127.5,g
I-14517,0.125,0.5,ea,4,g
I-13109,0,1,ea,0,g
I-12921,0.001766784,1,ea,566,g
I-15369,0.000333333,0.08,3 LTR,240,ml
I-18257,0.014684288,1,ea,68.1,g
I-8091,0.102040816,4,slice,39.2,g
I-5103,0,15,ea,0,g
I-7335,0.285714286,3,ea,10.5,g
I-2319,0.015625,2,slice,128,g
I-14841,0.05,2,slice,40,g
I-12306,0.066666667,2,ea,30,g
I-14638,0.03,6,ea,200,g
I-1553,0.004975124,6,ea,1206,g
I-15495,0.015625,1,slice,64,g
I-1835,0.114285714,2,ea,17.5,g
I-15475,0.01200048,1,ea,83.33,g
I-1787,0.02,1,ea,50,g
I-15409,0.02,2,ea,100,g
I-1833,0.02,10,ea,500,g
I-13385,0.007692308,0.25,BUNCH,32.5,g
I-15066,0.035377358,3,ea,84.8,g
I-14146,0.014151277,2,ea,141.33,g
I-9034,0.00308642,0.083,ea,26.892,g
I-11631,0.011627907,1,ea,86,g
I-14339,0.006329114,12,PORT,1896,g
I-14340,0.01,4,PORT,400,g
I-14341,0.035714286,4,PORT,112,g
I-14342,0.166666667,4,PORT,24,g
I-14586,0.003215434,1,PORT,311,g
I-2676,0.002941176,34,can,11560,ml
I-4296,0.769230769,12,ea,15.6,g
I-8250,0.125,8,ea,64,ml
I-13957,0.004444444,1,PORT,225,g
I-14390,0.002777778,4,PORT,1440,g
I-8298,0.033333333,2,ea,60,g
I-3181,0.007142857,0.15,PKG,21,g
I-16224,0.000440925,0.25,ea,566.99,g
I-12034,0.005,1,ea,200,g
I-1471,0.003030303,1,bottle,330,ml
I-14208,0.00025,1,ea,4000,ml
I-12353,0.019230769,1,piece,52,g
I-16226,0.107526882,10,ea,93,g
I-8990,0.003164557,1,ea,316,g
I-15017,0.005050505,2,PORT,396,g
I-17134,0.033333333,1,piece,30,g
I-2032,0,2,ea,0,g
I-11233,0,1,ea,0,g
I-15596,0,1,ea,0,g
I-15597,0,1,ea,0,g
I-14400,0.001763668,0.5,PORT,283.5,g
I-2375,0.001,2.9,1 KG,2900,g
I-12339,0.066666667,1,PORT,15,g
I-2586,0,0.005,tank,0,g
I-9186,0,1,ea,0,g
I-15425,0.010989011,1,PORT,91,g
I-2432,0.008818498,1,ea,113.398,g
