PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-14356,[PREP KAPPA MAKI,6,PORT,N,1511.82,g
P-14560,2022 Caesar Wrap prep,1,ea,N,433.59,g
P-9003,2022 Gallery Burger prep,1,ea,N,501.82,g
P-17358,2022 Poutine Prep,1,PORT,N,705.8,g
P-15006,2022 Power Punch Salad prep,1,PORT,N,416.73,g
P-16795,2022 Pulled Pork Sandwich prep,1,PORT,N,525.09,g
P-14552,2022 Vegan Pulled Pork Prep,1,ea,N,479.38,g
P-18327,2023 Appi Platter prep,1,PORT,N,1354.57,g
P-18453,2023 GM Tempeh curry prep ,1,PORT,N,690,g
P-18451,2023 Gm truffle Fries prep,1,PORT,N,2756,g
P-18452,2023 Gm Yam fries prep,1,PORT,N,2630.46,g
P-18540,2023 Home made burger prep,1,ea,N,501.25,g
P-18397,2023 Mixed Green salad prep,1,ea,N,769.37,g
P-18275,Beets salad prep 2023 ,1,PORT,N,384,g
P-15019,Butter Chicken Prep 2023 ,1,PORT,N,619.8,g
P-17366,Chicken Teriyaki Prep 2023,1,PORT,Y,707.97,g
P-18316,Crispy EggPlant prep 2023,3,PORT,Y,933,g
P-18266,KFC Gallery prep 2022,1,PORT,N,569.9,g
P-18324,Nachos prep 2023,1,PORT,N,754.34,g
P-18295,Pesto chicken prep 2022,1,PORT,N,612.36,g
P-18335,Poboy Prep 2023,22,PORT,Y,5170,g
P-14553,Porch Prep Vegan Cole Slaw,1,PORT,N,84.82,g
P-4326,PREP AVOCADO ,1,ea,N,20.1,g
P-14352,PREP CALIFORNIA ROLL,1,PORT,N,265.85,g
P-8267,PREP CARMALIZED ONION,10,2 KG,N,49869,g
P-14411,PREP CATERPILLAR ROLL,1,PORT,N,368.5,g
P-14383,PREP CHICKEN TERI ROLL,1,PORT,N,310.64,g
P-14372,PREP CONDIMEMT MAKI,1,PORT,N,23.17,g
P-14376,PREP CONDIMENT COMBO,1,PORT,N,32.17,g
P-8099,PREP CONDIMENT ROLL,1,srvg,N,37.34,g
P-15606,PREP CONTAINER MAKI,1,PORT,N,24.79,g
P-14403,PREP CREAM CHEESE,12,PORT,N,450,g
P-14353,PREP DYNAMITE ROLL,1,PORT,N,296.56,g
P-14396,PREP HOUSE ROLL,1,PORT,N,428.4,g
P-14430,PREP MANGO&AVO ROLL,1,PORT,N,312.99,g
P-14413,PREP PHILADELPHIA ROLL,1,PORT,N,335.17,g
P-14360,PREP SALMON MAKI,1,PORT,N,248.47,g
P-3173,PREP SUSHI RICE COOKED,58,PORT,N,7100,g
P-14354,PREP TEMPURA YAM,1,PORT,N,46.8,g
P-14357,PREP TUNA MAKI,1,PORT,N,248.47,g
P-14369,PREP VEGGIE ROLL,1,PORT,N,319.298,g
P-14355,PREP YAM ROLL,1,PORT,N,259.44,g
P-18358,Sub Onion Rings prep 2023,1,ea,N,247.8238238,g
P-18361,Sub Truffle fries 2023 Prep,1,ea,N,272.77382,g
P-18296,Teriyaki Tempeh Prep 2023,1,PORT,N,761.1202361,g
P-18330,Tuscan Prep 2023,1,PORT,N,703.8,g
P-15013,Wings Prep 2023,1,PORT,Y,500.0400591,g
P-18313,Yam Fries prep 2023,1,PORT,N,499.5,g
P-18049,Yellow Curry Prep Gall.2023,1,PORT,Y,709.9062365,g
