ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-67659,0.00881849768073511,1.0,each,113.398,g
I-28697,0.0051813471502590676,1.0,ea,193.0,g
I-47441,0.0051813471502590676,1.0,ea,193.0,g
I-1905,0.0125,1.0,CT,80.0,g
I-47440,0.005050505050505051,1.0,ea,198.0,g
I-13327,0.003076923076923077,0.75,pak,243.75,g
I-54484,0.004545454545454545,1.0,each,220.0,ml
I-2501,0.00909090909090909,0.25,pak,27.5,g
I-52609,0.004219409282700422,1.0,ea,237.0,ml
I-52636,0.004219409282700422,1.0,ea,237.0,ml
I-2772,0.0035714285714285713,1.0,CT,280.0,g
I-20347,0.004,0.8,PTN,200.0,g
I-54756,0.007054773259587437,1.0,each,141.748,g
I-41251,0.005050505050505051,1.0,ea,198.0,g
I-2833,0.004,0.1,CT,25.0,ml
I-54761,0.017543859649122806,1.0,each,57.0,g
I-54755,0.017543859649122806,1.0,each,57.0,g
I-54759,0.017543859649122806,1.0,each,57.0,g
I-63749,0.0024154589371980675,1.0,414ML,414.0,ml
I-54758,0.017543859649122806,1.0,each,57.0,g
I-53847,0.0024154589371980675,1.0,414ML,414.0,ml
I-34313,9.174311926605505e-05,0.01,cs,109.0,g
I-19639,0.01,1.0,ea,100.0,g
I-63683,0.022099447513812154,1.0,ea,45.25,g
I-19700,0.00909090909090909,1.0,pak,110.0,g
I-3902,0.006024096385542169,1.0,CT,166.0,g
I-63690,0.013157894736842105,1.0,ea,76.0,g
I-48660,0.005882352941176471,0.78,ea,132.6,g
I-2546,0.0023584905660377358,0.25,CT,106.0,g
I-1727,0.0014084507042253522,1.0,710ml,710.0,ml
I-2118,0.004,0.75,PTN,187.5,g
I-2778,0.008849557522123894,1.0,CT,113.0,g
I-63698,0.03524229074889868,3.0,ea,85.125,g
I-2116,0.004,0.25,PTN,62.5,g
I-2120,0.004,1.0,PTN,250.0,g
I-32271,0.03571428571428571,1.0,slice,28.0,g
I-38717,0.008849557522123894,1.0,CT,113.0,g
