PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-54697,LEMON|Wedge 1/8,8,each,PREP,84,g
P-35132,MARINATED|Lemon & Herb Chx,185,ea,PREP,24050,g
P-51992,YIELD|Bread|Sourdough 5/8,36,slice,,1620,g
P-26234,BATCH|Roasted Garlic Bread,16,ea,PREP,1280,g
P-26170,GRILLED|NaanBread,1,ea,PREP,125,g
P-16305,YIELD|Smokie (1pc),1,ea,,112,g
P-26047,BOILED|Hard Boiled Eggs FT,50,ea,PREP,2500,g
P-26631,BRK|Pancake|Chocolate Chip,24,ea,,4080,g
P-26057,FRIED|Sunny/Overeasy Egg,1,ea,ZDONT USE OK - PREP,50,g
P-26056,GRILLED|Tomato,1,ea,ZDONT USE OK - PREP,90,g
P-44587,GRL|FRIED|Egg,1,ea,,50,g
P-26481,POACHED|Egg|Soft,1,ea,ZDONT USE OK - PREP,50,g
P-52620,GARNISH|Lime Mini Wedge,8,piece,,40,g
P-51510,SLICED|Avocado|1/4ea,4,PTN,,160,g
P-50398,STICKS|Cucumber,12,CT,PREP,360,g
P-61796,MARINADE|Bali Pork Chop,10,CT,,1800,g
P-35713,BLACKENED|Chicken,185,ea,PREP,24050,g
P-51508,COOKED|Bacon|Slice,2,slice,,57,g
P-56795,COOKED|Burger 4oz,1,ea,,120,g
P-50809,YIELD|Country Loaf|Slice,18,slice,,936,g
P-50439,FRIED|Tostada,3,piece,,45,g
P-57631,SKEWER|Greek Chicken ,1,each,,53,g
P-26318,BAKEDPuff Pastry,10,ea,ZDONT USE OK - PREP,490,g
P-61769,STEW|Chicken Pot Pie  ,8,PIE,,2880,g
P-55238,MARINADE|Peri Peri Chicken,120,ea,PREP,24000,g
P-43635,ROASTED|Thai Chicken Thighs,25,ea,PREP,6250,g
P-37297,COOKED|Poached Egg,1,each,,50,g
P-53056,GRILLED|Roma Tomato|V2,13,PTN,PREP,1170,g
P-52222,YIELD|Pickle Spear ea 20-30g,1,ea,,25,g
P-26965,BAKED|Jalapeno Cornbread,12,piece,PREP,1440,g
P-28369,COST|Bread,1,ea,ZDONT USE OK - PREP,35,g
P-28372,COST|Cheeses,1,slice,ZDONT USE OK - PREP,14,g
P-28373,COST|Vegetables,1,un,ZDONT USE OK - PREP,185,g
P-52942,FILLING|Taco|Prawn|FLX,1,each,,72,g
P-51230,WINGS|Sauce Mix|ratio,1,srvg,,25,ml
P-45255,YIELD|Chicken Strips,70,piece,,4550,g
P-52994,YIELD|Prawn|TACO,35,each,,455,g
P-44392,PREP|Eggs|poached,8,each,PREP,400,g
P-44506,SLICED|Avocado|Quarter,4,each,,160,g
P-43737,VEG|Soft Boiled Egg,20,each,FOOD - GROCERY,1000,g
P-51826,GARNISH|Fried Rice Friday,1,PTN,,7,g
