ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-53080,SL|Lamb Roast|ala carte,GV SIMPLY LOCAL,9119.828773,120.0,9.1198,7.599857,7599.857311,61,463591.296,42.24,86.48,26.14
R-44681,SAND|Add Roast Beef,GV-SANDWICH,3184.784299,50.0,3.1848,6.369569,6369.568598,271,1726153.09,50.75,9446.24,19.48
R-53405,SL|Beef Back Rib,GV SIMPLY LOCAL,12396.52008,284.0,12.3965,4.364972,4364.971858,12,52379.6623,34.73,6471.15,13.35
R-49123,SL|Beef Brisket|115g,GV SIMPLY LOCAL,6399.166309,165.0,6.3992,3.878283,3878.282612,1,3878.282612,30.7,5732.27,11.87
R-54321,DIM SUM|Beef Stir Stirfry|SP,GV - DIM SUM,9580.520376,384.0,9.5805,2.494927,2494.927181,123,306876.0433,19.85,3784.78,7.5
R-53404,SL|Beef Back Rib Plate,GV SIMPLY LOCAL,12678.98491,554.0,12.679,2.288625,2288.625434,65,148760.6532,18.26,3408.11,6.99
R-51176,SL|Lamb Roast Plate|Sample,GV SIMPLY LOCAL,9638.020234,450.0,9.638,2.141782,2141.782274,275,588990.1254,11.97,223.82,7.41
R-51179,G&G|Roast beef|Tv Dinner,GV - GRAB & GO,6611.6688,310.0,6.6117,2.132796,2132.796387,925,1972836.658,16.79,3090.04,6.64
R-49124,SL|Beef Brisket Plate,GV SIMPLY LOCAL,6572.171249,330.0,6.5722,1.991567,1991.567045,16,31865.07272,15.79,3021.85,6.04
R-44766,FLX|Pho Beef Noodle,GV - FLEX ASIAN NOODLE,7895.281469,416.0,7.8953,1.897904,1897.904199,2204,4182980.855,15.04,2875.24,5.74
R-55005,GRL|Kalderta beef plate|SP,SPECIALS,7672.879175,405.0,7.6729,1.894538,1894.538068,209,395958.4562,15.02,2789.26,5.78
R-50361,GZA|Bowl|Spicy Beef,GV GYAZA,7351.95954,405.0,7.352,1.815299,1815.298652,2241,4068084.279,14.33,2723.49,5.43
R-40778,GZA|sushi cone|beef,GV GYAZA,1769.906711,111.0,1.7699,1.594511,1594.510551,1,1594.510551,6.51,1359.83,2.37
R-43885,SAND|Roast Beef Full Build,GV-SANDWICH,4708.588082,330.0,4.7086,1.426845,1426.844873,2949,4207765.53,13.03,3612.4,4.79
R-54263,FLX|Beef and broccoli|SP,SPECIALS,3627.422916,255.0,3.6274,1.422519,1422.51879,57,81083.57103,11.14,2206.91,4.24
