ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (ml) / 100g,Stress-Weighted Water Use (ml) / 100g
R-58255,GRL|Add Bacon|2 pcs.,OK - GRILL KITCHEN DAY,20,560.4,7.57,103187.1,3091833.9,2801.98,37.85,515935.5,15459169.5
R-45838,SAND|Add|Bacon,OK - SANDWICH KITCHEN,20,560.4,7.57,103187.1,3091833.9,2801.98,37.85,515935.5,15459169.5
R-60551,TRUCK|Pulled Pork|add on,OK - FOOD TRUCK(Food),90,1469.91,19.89,269921.61,8089576.81,1633.23,22.1,299912.9,8988418.68
R-44681,SAND|Add|Beef,OK - SANDWICH KITCHEN,40,2367.47,18.83,95842.09,3503391.7,5918.69,47.07,239605.22,8758479.24
R-44678,SAND|Add|Cheese,OK - SANDWICH KITCHEN,14,124.75,1.31,21830.2,1126483.42,891.04,9.33,155930,8046310.11
R-35815,SQR|Porchetta 130g,OK - SQUARE MEAL,130,1792.64,23.97,328253.76,9919977.01,1378.95,18.44,252502.89,7630751.55
R-56888,SQR|Korean Short Rib,OK - SQUARE MEAL,145,6595.24,52.51,267214.03,9778147.1,4548.44,36.22,184285.54,6743549.72
R-61778,ALF|Flatbread|4 Cheese,OK - AL FORNO,185,1229.95,11.94,212844.5,10662592.5,664.84,6.45,115051.08,5763563.51
R-32866,SQR|Pork Belly Bao,OK - SQUARE MEAL,66,692.8,9.35,124349.47,3747637.75,1049.69,14.17,188408.29,5678239.01
R-28337,SQR|Braised Brisket 115g,OK - SQUARE MEAL,175,6481.99,50.95,259323.79,9502740.31,3703.99,29.12,148185.03,5430137.32
R-30537,SQR|Smokie|SIde,OK - SQUARE MEAL,112,1101.13,14.87,202753.61,6075182.69,983.15,13.28,181030,5424270
R-61815,SIDE|Smkd Apple Veg Sausage,OK - SIDES,80,786.52,10.62,144824,4339416,983.15,13.28,181030,5424270
R-44680,SAND|Add|Ham,OK - SANDWICH KITCHEN,40,393.26,5.31,72412,2169708,983.15,13.28,181030,5424270
R-61799,SQR|Balinese Pork Chop,OK - SQUARE MEAL,180,1730.08,22.62,308085.6,9230287.89,961.16,12.57,171158.68,5127938.13
R-28338,SQR|Slow Roasted Ribs 170g,OK - SQUARE MEAL,230,2176.13,28.04,380029.49,11503968.87,946.14,12.19,165230.21,5001725.6
R-61697,CST|SAUCE|Thai Cashew,OK - CUSTOM KITCHEN,60,174.31,0.34,40017.31,2832134.27,290.51,0.56,66695.51,4720223.78
R-40736,DIM SUM|Beef Balls (3),OK - DIM SUM,150,4409.87,35.26,194970,7014421.5,2939.92,23.51,129980,4676281
R-50824,ALF|Flatbread|Pulled Pork,OK - AL FORNO,295,2145.02,26.9,375406.85,12771866.13,727.13,9.12,127256.56,4329446.15
R-50560,SQR|Pulled Pork Tostada,OK - SQUARE MEAL,236.75,1765.18,20.55,285060.22,9858537.75,745.59,8.68,120405.58,4164113.03
R-50669,GRL|GrilledCheese|Bacon Avoca,OK - GRILL KITCHEN DAY,280,1866.44,21.19,300743.21,11635136.79,666.59,7.57,107408.29,4155405.97
R-60569,TRUCK|GrilledCheese|Bacon Avo,OK - FOOD TRUCK(Food),280,1866.44,21.19,300743.21,11635136.79,666.59,7.57,107408.29,4155405.97
R-56883,SQR|Classic Hotdog,OK - SQUARE MEAL,233,5133.6,41.21,248633.61,8805932.32,2203.26,17.69,106709.7,3779370.11
R-61780,ALF|Flatbread|Apple & Pancetta,OK - AL FORNO,140,756.35,9.03,144989.75,5287946.25,540.25,6.45,103564.11,3777104.46
R-61338,TRUCK|Philly Cheese Steak,OK - FOOD TRUCK(Food),228,4134.03,33.75,214557.69,8448732.01,1813.17,14.8,94104.25,3705584.19
R-55163,SQR|Bacon Avo Blue Dog,OK - SQUARE MEAL,343,5743.07,48.61,351690.56,12628849.26,1674.37,14.17,102533.69,3681880.26
R-37055,SQR|Porchetta +1,OK - SQUARE MEAL,285,1984.42,26.13,334721.95,10443132.43,696.29,9.17,117446.3,3664256.99
R-56889,SQR|Korean Short Rib + 1,OK - SQUARE MEAL,290,6761.66,53.44,343782.09,10450468.42,2331.61,18.43,118545.55,3603609.8
R-57153,SQR|Pork Katsu,OK - SQUARE MEAL,180,1192.06,15.49,208822.58,6273389.34,662.26,8.6,116012.53,3485215.74
R-55165,SQR|Mac & Cheese Dog,OK - SQUARE MEAL,323,5421.81,43.85,295386.54,11160550.9,1678.58,13.58,91450.94,3455278.93
R-57405,GRL|GrilledCheese|Classic,OK - GRILL KITCHEN DAY,205,1036.98,9.77,146179.71,7018334.08,505.85,4.77,71307.18,3423577.57
R-50491,GRL|Sandwich|Reuben,OK - GRILL KITCHEN DAY,303,4391.25,35.79,260162.59,10306261.18,1449.26,11.81,85862.24,3401406.32
R-40749,SQR|Slow Roasted Ribs+1,OK - SQUARE MEAL,345,2317.56,28.73,382354.44,11602713.38,671.76,8.33,110827.38,3363105.33
R-52602,DIM SUM|Bun|BBQ Pork (1),OK - DIM SUM,40,227.08,2.95,44590,1341288,567.7,7.38,111475,3353220
R-56508,GRL|Sandwich|Cubano,OK - GRILL KITCHEN DAY,298,1621.71,19.15,296570.78,9991294.67,544.2,6.43,99520.39,3352783.39
R-50788,ALF|Flatbread|Caprese,OK - AL FORNO,233,1010.28,10.81,150946.15,7671605.24,433.6,4.64,64783.76,3292534.44
R-61435,ALF|Pasta|Mac & Cheese,OK - AL FORNO,400,1460.97,15.16,271012.13,13082462.67,365.24,3.79,67753.03,3270615.67
R-56501,SQR|Mac & Aged Cheddar,OK - SQUARE MEAL,400,1460.97,15.16,271012.13,13082462.67,365.24,3.79,67753.03,3270615.67
