ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g*Sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,km^2 land use/kg product / 100g
R-35015,GRL|French Fries,OK - GRILL KITCHEN DAY,150.4994,230.0,0.1505,0.065435,65.4345,23010,1505647.845,0.63,34.48,0.00013
R-28293,GRL|Crispy Chicken Strips,OK - GRILL KITCHEN DAY,1244.758,352.5,1.2448,0.353123,353.1229,19598,6920501.987,8.64,94.07,0.00097
R-27405,VEG|Southwest Bowl,OK - VEGETARIAN KITCHEN,549.4195,458.1,0.5494,0.119934,119.9344,17565,2106647.929,0.75,384.84,0.00047
R-28286,GRL|Scrambled Eggs,OK - GRILL KITCHEN BREAKFAST,539.9855,125.0,0.54,0.431988,431.9884,9974,4308652.182,7.2,2190.73,0.00081
R-32750,GLB|Chicken Adobo,OK - GLOBAL KITCHEN,2560.374,608.0,2.5604,0.421114,421.1142,8917,3755074.92,10.01,107.92,0.00105
R-35772,GRL|PotatoWedges,OK - GRILL KITCHEN BREAKFAST,113.9866,250.0,0.114,0.045595,45.59464,8202,373967.2373,0.57,8.9,6e-05
R-35655,GRL|Veg Burger|Portobello,OK- VEGETARIAN KITCHEN FEATURE,326.2918,202.0,0.3263,0.161531,161.5306,8157,1317605.104,2.15,1509.91,0.00043
R-28288,GRL|TurkeyBreakfastSausage(2),OK - GRILL KITCHEN BREAKFAST,659.9402,150.0,0.6599,0.43996,439.96,8157,3588753.72,11.68,33.35,0.00115
R-61655,GRL|Salad|Caesar|SIDE,OK - GRILL KITCHEN DAY,275.8843,145.5,0.2759,0.189611,189.6112,7537,1429099.795,1.54,1042.83,0.00052
R-52215,HS|Thunderbird Chili Dog,OK - SQUARE MEAL,3317.359,127.0,3.3174,2.612094,2612.094,7527,19661229.43,19.0,4579.41,0.007
R-35014,GRL|Yam Fries,OK - GRILL KITCHEN DAY,86.53626,171.0,0.0865,0.050606,50.606,7527,380911.362,0.62,9.75,7e-05
R-30041,GRL|Bacon,OK - GRILL KITCHEN BREAKFAST,560.3955,20.0,0.5604,2.801978,2801.978,7069,19807178.95,37.85,15459.15,0.00599
R-37093,GLB|Spaghetti & Meatballs,OK - GLOBAL KITCHEN,6650.011,592.0,6.65,1.123313,1123.313,7021,7886778.109,9.07,2098.26,0.00336
R-37050,SQR|Butter Chicken+1,OK - SQUARE MEAL,1626.471,620.5,1.6265,0.262123,262.1227,6956,1823325.592,4.62,483.22,0.00054
R-29391,GLB|Chicken Kung Pao,OK - GLOBAL KITCHEN,946.7764,462.0,0.9468,0.20493,204.93,6057,1241260.725,3.69,920.86,0.00055
R-28250,GRL|Burger|Cheeseburger,OK - GRILL KITCHEN DAY,285.2166,255.0,0.2852,0.11185,111.8496,5971,667854.1766,1.54,1080.59,0.00024
R-28249,GRL|Burger|Classic Beef,OK - GRILL KITCHEN DAY,160.471,241.0,0.1605,0.066585,66.58547,5399,359494.9255,,,
R-28281,GRL|Sandwich|Breakfast,OK - GRILL KITCHEN BREAKFAST,975.9081,135.5,0.9759,0.720227,720.2273,4750,3421079.884,5.77,2748.36,0.00097
R-35714,GRL|Chicken Burger|Blackened,OK - GRILL KITCHEN DAY,825.7466,265.0,0.8257,0.311602,311.6025,4547,1416856.463,5.38,1059.5,0.00065
R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST,465.4644,157.25,0.4655,0.296003,296.0028,4544,1345036.646,4.52,2276.58,0.00067
R-28280,GRL|Breakfast Entree,OK - GRILL KITCHEN BREAKFAST,1612.392,565.0,1.6124,0.285379,285.3791,4544,1296762.412,4.41,1561.1,0.00038
R-45374,SAUCE|Red Thai Curry Ptn,OK - CUSTOM KITCHEN,212.3349,60.0,0.2123,0.353892,353.8916,4163,1473250.614,0.09,13.78,0.00012
R-45373,SAUCE|Spicy Korean BBQ ptn,OK - CUSTOM KITCHEN,24.46061,60.0,0.0245,0.040768,40.76768,4163,169715.856,0.14,25.38,0.0001
