ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g*Sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-54728,DIM SUM|Combo M&M,FT DIM SUM,51.625966,6.0,0.0516,0.860433,860.432767,22,18929.52087,8.88,3462.17,0.0
R-31107,UCARE|Halloween,FT UCARE - BOXES,9.135,6.0,0.0091,0.15225,152.25,21,3197.25,1.48,1282.17,0.49
R-31106,UCARE|Xmas,FT UCARE - BOXES,9.135,6.0,0.0091,0.15225,152.25,20,3045.0,1.48,1282.17,0.49
R-24434,UCARE|Box Valentine,FT UCARE - BOXES,12.171,6.0,0.0122,0.20285,202.85,14,2839.9,1.01,872.33,0.35
R-25209,UCARE|Box Ponderosa Cake,FT UCARE - BOXES,9.135,6.0,0.0091,0.15225,152.25,8,1218.0,1.48,1282.17,0.49
R-30737,UCARE|Box Baker's|Gluten Free,FT UCARE - BOXES,9.135,7.0,0.0091,0.1305,130.5,7,913.5,1.27,1099.0,0.42
R-22619,GRL|Add Bacon|1 pc,FT GRILL DAY,280.19775,10.0,0.2802,2.801978,2801.9775,503,1409394.683,37.85,15459.2,5.99
R-24604,UCARE|Box Deluxe,FT UCARE - BOXES,14.411308,10.0,0.0144,0.144113,144.11308,19,2738.14852,1.3,1120.04,0.43
R-33396,UCARE|Chinese New Year,FT UCARE - BOXES,14.411308,10.0,0.0144,0.144113,144.11308,5,720.5654,1.3,1120.04,0.43
R-49561,HS|Deep Fried Wonton|3pcs,FT HOMESKILLET,25.2072,11.0,0.0252,0.229156,229.156364,502,115036.4947,5.34,2993.41,0.11
R-24113,UCARE|Box Baker's,FT UCARE - BOXES,20.6076,12.0,0.0206,0.17173,171.73,22,3778.06,1.28,1573.0,0.54
R-22618,GRL|Add On Cheese|1 slice,FT GRILL DAY,124.7456025,14.00000028,0.1247,0.89104,891.04,1313,1169935.52,9.33,8046.29,1.05
R-22899,G&G|Spread|Nutella|Ptn,FT GRAB & GO,156.8399922,14.99999925,0.1568,1.0456,1045.6,6,6273.6,0.27,22.0,6.9
R-24157,GRL|Add Bacon|2 pcs,FT GRILL DAY,560.3955,20.0,0.5604,2.801978,2801.9775,7151,20036941.1,37.85,15459.15,5.99
R-38612,FLX|Veg Pakora w Chutney|3 pc,FT OASIS/CHAAT,22.93741742,23.0,0.0229,0.099728,99.727902,282,28123.26836,0.22,106.39,0.15
R-55408,ADD|Cheese,ADD ONS,222.76,25.0,0.2228,0.89104,891.04,572,509674.88,9.33,8046.32,1.05
R-44405,Vegetarian Samosa,FEAST,34.40612613,31.0,0.0344,0.110988,110.987504,133,14761.33803,0.12,29.45,0.17
R-54877,LIV|Corn Dogs|3pcs,SPECIALS,72.7002,33.0,0.0727,0.220304,220.303636,214,47144.9781,0.06,3.18,0.02
R-54283,BLOWOUT|Riblette S/W,FEAST,11.354,47.0,0.0114,0.024157,24.157447,46,1111.242562,0.96,251.36,0.06
R-51226,S&S|Add Fried Tempeh,FT STICKS AND SPOONS,95.80835526,50.0,0.0958,0.191617,191.616711,94,18011.97083,0.63,3.46,0.47
R-44542,HS|Baking Powder Biscuit,FT HOMESKILLET,91.34998173,59.999988,0.0913,0.15225,152.25,51,7764.75,1.48,1282.17,0.49
R-22854,FRUIT|Grapefruit|1/2 Cut,FT GRAB & GO,24.24330388,61.50000984,0.0242,0.03942,39.42,95,3744.9,0.27,134.55,0.04
R-49895,GRL|Smoked Salmon Bagel,FT GRILL DAY,227.6576324,68.5,0.2277,0.332347,332.346909,258,85745.50252,3.15,1261.72,0.48
R-22857,FRUIT|Kiwi,FT GRAB & GO,29.71140743,69.00001725,0.0297,0.04306,43.06,1934,83278.04,0.27,0.46,0.07
R-23317,FRUIT|Mandarin,FT GRAB & GO,27.594,70.0,0.0276,0.03942,39.42,1596,62914.32,0.27,134.54,0.04
R-47211,FLX|Viet Spng Roll + Nuoc Cham,FT OASIS/CHAAT,72.77458853,71.0,0.0728,0.102499,102.49942,303,31057.32426,0.52,326.91,0.18
R-30623,G&G|Muffin|English,FT GRAB & GO,114.1875285,75.00001875,0.1142,0.15225,152.25,215,32733.75,1.48,1282.17,0.49
