Category ID,Food Category,Freshwater Withdrawals (L/FU),Stress-Weighted Water Use (L/FU)
1,beef & buffalo meat,1677.2,61309
2,lamb/mutton & goat meat,461.2,258.9
3,pork (pig meat),1810.3,54242.7
4,"poultry (chicken, turkey)",370.3,333.5
5,butter,1010.176,50055.168
6,cheese,1559.3,80463.1
7,ice cream,16.2,17597.52
8,cream,28.08,30502.368
9,milk (cow's milk),197.3,9776.4
10,yogurt,262.409,13002.612
11,eggs,632.9,18621
12,fish (finfish),1580.5,8483.4
13,crustaceans (shrimp/prawns),1207.8,48737.6
14,mollusks,0,0
15,animal fats,1810.3,54242.7
16,other legumes,0,0
17,beans and pulses (dried),0,0
18,peas,0,0
19,peanuts/groundnuts,900.2,44352.1
20,soybeans/tofu,6.6,32.4
21,other grains/cereals,677.075,10563.3
22,corn (maize) ,43.9,349.6
23,oats (oatmeal),670.3,24456.3
24,"wheat/rye (bread, pasta, baked goods)",419.2,12821.7
25,rice,1574.9,4625.6
26,tree nuts and seeds,1823.3,129364.3
27,almond milk,455.825,32341.075
28,oat milk,67.03,2445.63
29,rice milk,314.98,925.12
30,soy milk,1.3,6.2
31,other fruits,3.5,4.7
32,apples,114.5,1024.7
33,bananas,1,31.3
34,berries,403.5,16245.1
35,citrus fruit ,37.4,1345.5
36,cabbages and other brassicas (broccoli),54.5,2483.4
37,tomatoes,77,4480.7
38,root vegetables,9.9,37.9
39,onions and leeks,1.9,57
40,other vegetables,81.3,2939.5
41,potatoes,2.6,78.3
42,cassava and other roots,9.9,37.9
43,sugars and sweeteners,10.1,65.2
44,other vegetable oils,67.5,4937.72
45,soybeans (oil),1.6,7.8
46,palm (oil),6.4,34.8
47,sunflower (oil),10.2,236.7
48,rapeseed/canola (oil),1.4,13.6
49,olives (oil),317.9,24395.7
50,barley (beer),7,27.3
51,wine grapes (wine),4.5,60.4
52,cocoa,24.9,220.3
53,coffee,33.3,340.7
54,stimulants & spices misc.,24.9,220.3
55,water & beverages,1,1
56,salt,0,0
57,vinegar ,1,1
58,sauces & paste,20.225,1134.925
59,manually adjusted,0,0
60,human labor,0,0
61,kitchen supplies,0,0
