ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
R-22896,ADD|Crackers,FEAST,5.9999998800000025,9.134999817300004,0.08879999822400003,2.52,76.93,152.25,1.48,42.0,1282.17,Green,Yellow,,TRUE,
R-56809,ADD|Guacamole ,FT SIDES ,60.0,34.58586284853938,0.2431501088115476,1.12,47.11,57.64,0.41,1.87,78.52,Green,Green,,,TRUE
R-36043,CC|AlooGobi|SIDE,FT OASIS/CHAAT,201.0,156.3906291657323,1.6284774702418165,7.61,400.06,77.81,0.81,3.79,199.03,Green,Green,,,TRUE
R-67834,CC|Biryani|Chicken,FT OASIS/CHAAT,267.9999961140002,943.2570758820202,18.15278027234568,140.55,1270.2,351.96,6.77,52.44,473.96,Yellow,Yellow,,TRUE,
R-68237,CC|Biryani|Vegetable,FT OASIS/CHAAT,267.9999961140002,582.5207122456566,3.023942933852184,90.94,1228.11,217.36,1.13,33.93,458.25,Yellow,Green,,,TRUE
R-62422,CC|Butter Chicken + 1,FT OASIS/CHAAT,396.9999961140002,1131.3062589481276,19.951999098862508,168.12,2155.11,284.96,5.03,42.35,542.85,Yellow,Yellow,,TRUE,
R-62424,CC|Chana Masala + 1,FT OASIS/CHAAT,396.9999961140002,605.2502123067238,3.5950945086542188,113.73,1780.91,152.46,0.91,28.65,448.59,Green,Green,,,TRUE
R-68226,CC|Chicken Tikka Masala|Plate,FT OASIS/CHAAT,317.9999961140002,1237.9709795759245,18.570856391604547,164.12,2951.98,389.3,5.84,51.61,928.3,Red,Red,TRUE,,
R-56827,CC|Chickpea Vindaloo|PLATE,FT OASIS/CHAAT,460.00000480000017,581.1831270831428,4.240151765783953,145.72,2545.89,126.34,0.92,31.68,553.45,Green,Green,,,TRUE
R-67838,CC|Curry|Keralan Chicken Cashe,FT OASIS/CHAAT,366.9999961140002,1270.062955907375,23.67919356470533,217.34,4633.9,346.07,6.45,59.22,1262.64,Yellow,Red,TRUE,,
R-67840,CC|Dum Aloo|PLATE,FT OASIS/CHAAT,367.9999961140002,568.6679884781588,3.8819692494248725,122.98,2426.32,154.53,1.05,33.42,659.33,Green,Green,,,TRUE
R-47397,CC|Ginger 5 Spice Curry|PLATE,FT OASIS/CHAAT,362.5,296.7648920996661,1.9622303166990274,100.3,986.49,81.87,0.54,27.67,272.14,Green,Green,,,TRUE
R-67835,CC|Pakora|Veggie,FT OASIS/CHAAT,145.0,121.52399999999999,1.53075,30.54,974.05,83.81,1.06,21.06,671.76,Green,Green,,,TRUE
R-68230,CC|Paneer|Tikka Masala|PLATE,FT OASIS/CHAAT,367.9999961140002,792.4270863903307,6.01229881149412,155.78,4344.86,215.33,1.63,42.33,1180.67,Yellow,Yellow,,TRUE,
R-62197,CC|Raita|SIDE,FEAST,60.0,113.32374280426453,0.9867294341606759,9.92,458.23,188.87,1.64,16.53,763.72,Yellow,Green,,,TRUE
R-67831,CC|Red Lentil Curry|PLATE,FT OASIS/CHAAT,367.9999961140002,483.82010837058965,2.322055751517732,107.08,1459.2,131.47,0.63,29.1,396.52,Green,Green,,,TRUE
R-68231,CC|Salad|Chaat|PLATE,FT OASIS/CHAAT,367.9999961140002,836.8991124077634,3.471382552125863,119.53,2316.99,227.42,0.94,32.48,629.62,Yellow,Green,,,TRUE
