,Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission,Nitrogen Lost,Freshwater Withdrawals,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Label,RED,YELLOW,GREEN,Restaurant
0,GRILL AM , B'Fast BLT,R-55155,GRL|Breakfast BLT,OK - GRILL KITCHEN BREAKFAST,389.9999808000016,1173.1975529544288,14.668932276697484,239.33,7306.12,300.82,3.76,61.37,1873.36,Yellow,Yellow,,True,,Open Kitchen
1,GRILL AM , B'Fast Wrap (various),R-44024,GRL|Breakfast Wrap,OK - GRILL KITCHEN BREAKFAST,300.50000187500007,1651.8674783648917,23.0859937512394,298.64,9031.01,549.71,7.68,99.38,3005.33,Red,Red,True,,,Open Kitchen
2,GRILL AM , B'Fast Croissant,R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST,314.25000508000016,1061.347040006994,11.834719314851078,179.73,5963.38,337.74,3.77,57.19,1897.65,Yellow,Red,True,,,Open Kitchen
3,GRILL AM , Apple Cinnamon Crepe,R-50498,GRL|Crepe|Apple Cinnamon,OK - GRILL KITCHEN BREAKFAST,400.0000096000004,629.1561294547101,3.8537251420800063,112.61,3188.56,157.29,0.96,28.15,797.14,Green,Green,,,True,Open Kitchen
4,GRILL AM , Ham & Swiss Crepe,R-51146,GRL|Crepe|Ham and Swiss,OK - GRILL BRUNCH,333.00001016000044,1047.289243034057,11.793137293972135,220.5,7660.98,314.5,3.54,66.22,2300.59,Yellow,Red,True,,,Open Kitchen
5,GRILL AM , Mushroom Swiss Crepe,R-67745,GRL|Crepe|Mushroom Swiss,OK - GRILL BRUNCH,308.0000101600004,675.5672664622896,6.797874393616263,151.91,5652.37,219.34,2.21,49.32,1835.19,Yellow,Yellow,,True,,Open Kitchen
6,GRILL AM , Banana Nutella Crepe,R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,380.0000096000004,986.1536870725764,3.921692449772314,101.77,3089.3,259.51,1.03,26.78,812.97,Yellow,Green,,,True,Open Kitchen
7,GRILL AM , Rosemary Peach Crepe,R-50570,GRL|Crepe|Rosemary Peach,OK - GRILL BRUNCH,345.0000096000004,528.030992841807,3.717868323898188,100.96,3078.93,153.05,1.08,29.26,892.44,Green,Green,,,True,Open Kitchen
8,GRILL AM , Carrot Cake Pancakes,R-50311,GRL|Pancake|Carrot Cake,OK - GRILL KITCHEN BREAKFAST,330.0,589.023715253886,4.977454369602763,94.81,3998.84,178.49,1.51,28.73,1211.77,Green,Yellow,,True,,Open Kitchen
9,GRILL AM , Lemon Poppyseed Pancakes,R-50320,GRL|Pancake|Lemon Poppyseed,OK - GRILL KITCHEN BREAKFAST,300.0,365.3872181818182,2.183272727272727,61.76,3164.94,121.8,0.73,20.59,1054.98,Green,Green,,,True,Open Kitchen
10,GRILL AM , Blueberry Pancakes,R-56489,GRL|Pancakes|Blueberry,OK - GRILL KITCHEN BREAKFAST,360.0,430.8325772727273,2.3975869755244754,60.16,2804.93,119.68,0.67,16.71,779.15,Green,Green,,,True,Open Kitchen
11,GRILL AM , Mixed Berry Pancake,R-64676,GRL|Pancakes|Mixed Berry,OK - GRILL KITCHEN BRUNCH,360.0,424.35830909090913,2.3918636363636363,59.84,2793.57,117.88,0.66,16.62,775.99,Green,Green,,,True,Open Kitchen
12,GRILL AM , Peach Pancakes,R-67817,GRL|Pancakes|Peach,OK - GRILL KITCHEN BREAKFAST,360.0,382.0988072727273,2.421134090909091,43.6,2132.89,106.14,0.67,12.11,592.47,Green,Green,,,True,Open Kitchen
13,GRILL AM , Strawberry Pancakes,R-12345,GRL|Pancakes|Strawberry,OK - GRILL KITCHEN BRUNCH,360.0,425.1133737843552,2.3930773895627016,60.0,2800.12,118.09,0.66,16.67,777.81,Green,Green,,,True,Open Kitchen
14,GRILL AM , Vegan B'Fast Sandwich,R-68698,GRL|Vegan Breakfast Sandwich,OK - GRILL KITCHEN BREAKFAST,216.0000000000005,489.64710061224633,5.361299319727911,78.17,2413.89,226.69,2.48,36.19,1117.54,Yellow,Yellow,,True,,Open Kitchen
15,GRILL AM , Breakfast Samosa,R-68023,SAMOSA|Breakfast,OK - SIDES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green,,,True,Open Kitchen
16,SQUARE , Chickpea Vindaloo,R-56827,GLB|Chickpea Vindaloo,OK - GLOBAL KITCHEN ,487.0000024000001,528.0331209781593,3.3881053881782304,121.8,1980.77,108.43,0.7,25.01,406.73,Green,Green,,,True,Open Kitchen
17,SQUARE , Potato Chips/ Veg,R-64992,GRL|Potato Chips,OK - GRILL KITCHEN DAY,80.0,31.760047640071463,0.4000006000008999,0.21,6.26,39.7,0.5,0.26,7.82,Green,Green,,,True,Open Kitchen
18,SQUARE , Coleslaw,R-61625,SIDE|Coleslaw,SPECIALS,125.0,125.42785270403915,1.0891956855177554,14.44,872.07,100.34,0.87,11.55,697.66,Green,Green,,,True,Open Kitchen
19,SQUARE , Mashed Potatoes/ Veg,R-60820,SIDES|Mashed Potato|VEGAN,OK - SIDES,150.0,145.06061663265305,0.7546048135062119,5.17,377.88,96.71,0.5,3.45,251.92,Green,Green,,,True,Open Kitchen
20,SQUARE , Cous Cous/ Slaw,R-60528,SQ|COUS COUS,OK - SQUARE MEAL,170.0,141.07387752699216,1.1961450685976174,31.23,960.76,82.98,0.7,18.37,565.15,Green,Green,,,True,Open Kitchen
21,SQUARE , Bulgogi Meatloaf,R-68133,SQR|Bulgogi Meatloaf,OK - SQUARE MEAL,180.0,2242.2486991590727,17.69288617902142,92.5,3453.37,1245.69,9.83,51.39,1918.54,Red,Red,True,,,Open Kitchen
22,SQUARE , Butter Chicken,R-28323,SQR|Butter Chicken,OK - SQUARE MEAL,225.0,536.9384763340377,8.520234465828862,108.68,879.36,238.64,3.79,48.3,390.83,Yellow,Yellow,,True,,Open Kitchen
23,SQUARE , Corn Salad,R-62626,SQR|Corn Salad,OK - SIDES,120.0,108.95076687039762,0.980674721354554,5.46,91.06,90.79,0.82,4.55,75.88,Green,Green,,,True,Open Kitchen
24,SQUARE , Fish & Chips,R-64988,SQR|Fish & Chips|1pc,OK - SQUARE MEAL,385.50000002625,687.6869105296882,7.017697931754428,129.3,1385.74,178.39,1.82,33.54,359.47,Green,Green,,,True,Open Kitchen
25,SQUARE , Battered Halloumi & Chips,R-68137,SQR|Halloumi & Chips|1pc,OK - SQUARE MEAL,375.50000002625,1029.8665983960168,9.11691938552006,139.91,6751.86,274.27,2.43,37.26,1798.1,Yellow,Yellow,,True,,Open Kitchen
26,SQUARE , Rice/ Herb Salad,R-62633,SQR|Herb Salad,OK - SIDES,50.0,37.6475547763261,0.562214620666089,5.55,205.66,75.3,1.12,11.1,411.32,Green,Green,,,True,Open Kitchen
27,SQUARE , Rice/ Korean Spinach,R-56822,SQR|Korean Spinach,OK - SQUARE MEAL,120.0,118.16054400000002,1.4025709714285712,19.61,950.56,98.47,1.17,16.34,792.13,Green,Green,,,True,Open Kitchen
28,SQUARE , Veg Lentil Loaf,R-45134,SQR|Lentil Loaf|Vegan,OK - SQUARE MEAL,270.0,369.91964913567296,1.9268032934499848,53.15,2321.67,137.01,0.71,19.69,859.88,Green,Green,,,True,Open Kitchen
29,SQUARE , Minted Peas,R-60607,SQR|Minted Peas,OK - SQUARE MEAL,80.0,128.42369378684805,1.1371042012788786,7.5,360.53,160.53,1.42,9.38,450.66,Green,Green,,,True,Open Kitchen
30,SQUARE , Pasta Bar-Protein,R-55166,SQR|Pasta Bar w Protien,OK - SQUARE MEAL,403.0,1599.411599243399,22.86410899030741,245.44,7884.25,396.88,5.67,60.9,1956.39,Red,Red,True,,,Open Kitchen
31,SQUARE , Perogies,R-28313,SQR|Perogies,OK - SQUARE MEAL,220.0,724.076260342291,5.952516340273158,90.95,4899.42,329.13,2.71,41.34,2227.01,Yellow,Yellow,,True,,Open Kitchen
32,SQUARE , Short Rib Bibimbap,R-68701,SQR|Short Rib Bibimbap Bowl,OK- VEGETARIAN KITCHEN FEATURE,372.0,2791.8002096752416,21.03339786962116,176.69,5035.65,750.48,5.65,47.5,1353.67,Red,Red,True,,,Open Kitchen
33,SQUARE , Vegetable Biryani,R-67986,SQR|Vegetarian Biryani,OK - SQUARE MEAL,222.5,353.7362519707478,2.4484330377506804,78.58,1565.28,158.98,1.1,35.32,703.5,Green,Green,,,True,Open Kitchen
34,SQUARE , Za'atar Chicken Cutlet,R-68127,SQR|Zaatar Chicken Cutlet,OK - SQUARE MEAL,270.0,760.4929525583144,13.084249232623002,95.28,3475.32,281.66,4.85,35.29,1287.16,Yellow,Yellow,,True,,Open Kitchen
35,SQUARE , Eggplant Cutlet,R-68134,SQR|Zaatar Eggplant Cutlet,OK - SQUARE MEAL,370.0,550.2607303360921,4.692796241170012,103.45,4895.25,148.72,1.27,27.96,1323.04,Green,Yellow,,True,,Open Kitchen
