Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
ADD,Arugula,R-44735,ADD|Arugula|Omelet,ADD ONS,20,16.50787057,0.158633571,0.064924571,1.1,49.8,82.54,0.79,5.5,249,0.32,Green,Green
ADD,Beef Patty,R-16241,ADD|Beef Patty,GV GRILL DAY,122,6251.712649,49.79093532,19.11836872,253.44,9264.06,5124.35,40.81,207.74,7593.49,15.67,Red,Red
ADD,Condiment House Made,R-44780,ADD|Condiment House Made,ADD ONS,60,132.560043,0.241932547,0.143067517,3.14,192.61,220.93,0.4,5.23,321.02,0.24,Yellow,Green
ADD,Crackers,R-13180,ADD|Crackers,ADD ONS,5.99999988,9.134999817,0.088799998,0.029339999,2.52,76.93,152.25,1.48,42,1282.17,0.49,Green,Yellow
ADD,Creamed Spin,R-44739,ADD|Creamed Spin|Omelet,ADD ONS,70,251.9484945,1.671109429,0.351998857,9.89,1183.29,359.93,2.39,14.13,1690.41,0.5,Yellow,Yellow
ADD,Gravy,R-44765,ADD|Gravy|3oz,GV GRILL DAY,90,79.505397,0.7657425,0.1158363,9.05,395.88,88.34,0.85,10.06,439.87,0.13,Green,Green
ADD,Gravy,R-57388,ADD|Gravy|plant based,FOOD,85,0,0.064977188,0,0.28,11.01,0,0.08,0.33,12.95,0,Green,Green
ADD,Marshmallow,R-41489,ADD|Marshmallow,ADD ONS,12,19.6968,0,0.02868,0.12,0.78,164.14,0,1,6.5,0.24,Green,Green
ADD,Pulled Pork,R-46996,ADD|Pulled Pork,GV GRILL DAY,125,1765.236455,22.67934566,3.759692897,311.84,9485.39,1412.19,18.14,249.47,7588.31,3.01,Red,Red
ADD,Sour Cream & Salsa,R-42493,ADD|Sour Cream & Salsa,ADD ONS,60,209.472,1.0449,0.234,1.45,949.12,349.12,1.74,2.42,1581.87,0.39,Yellow,Yellow
ALF,Pasta,R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO,457,1266.340082,14.8032102,2.383448609,235.75,9012.87,277.1,3.24,51.59,1972.18,0.52,Yellow,Yellow
BBC,Baked yogurt,R-52829,BBC|Baked yogurt|POP,SPECIALS,445,564.8393702,4.665184139,0.368984192,59.95,2644.25,126.93,1.05,13.47,594.21,0.08,Green,Green
BBC,High tideline salad,R-52828,BBC|High tideline salad|POP,SPECIALS,174,127.9510914,1.593988656,0.306489563,19.06,897.77,73.54,0.92,10.95,515.96,0.18,Green,Green
BEV,Coffee,R-12393,BEV|Coffee|12 oz,BEVERAGE,295.735,774.2494625,0.1501425,1.003129167,1.61,46.39,261.81,0.05,0.54,15.69,0.34,Yellow,Green
BEV,Coffee,R-12394,BEV|Coffee|16 oz,BEVERAGE,414.029,1083.949248,0.2101995,1.404380833,2.25,64.95,261.81,0.05,0.54,15.69,0.34,Yellow,Green
BEV,Coffee,R-67307,BEV|Coffee|Ethical Bean Promo,BEVERAGE,414.029,1083.949248,0.2101995,1.404380833,2.25,64.95,261.81,0.05,0.54,15.69,0.34,Yellow,Green
,,R-53768,BEV|Cold Brew|Two Bears|Black,BEVERAGE,1,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16,Red,Red
BEV,Cold Brew,R-52932,BEV|Cold Brew|Two Bears|Black,BEVERAGE,1,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16,Red,Red
BEV,Cold Brew,R-53769,BEV|Cold Brew|Two Bears|Mocha,BEVERAGE,1,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16,Red,Red
BEV,Core Power,R-53073,BEV|Core Power|Asst,BEVERAGE,1,2.614,0.000675,0.01724,0.01,0.06,261.4,0.07,1,6,1.72,Yellow,Yellow
BEV,Core Power,R-64333,BEV|Core Power|Banana,BEVERAGE,1,0.7115,0.0027,0.00193,0,0.03,71.15,0.27,0,3,0.19,Green,Green
BEV,Core Power,R-37761,BEV|Core Power|Chocolate,BEVERAGE,1,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2,22,6.9,Red,Red
BEV,Core Power,R-62981,BEV|Core Power|Chocolate|Elite,BEVERAGE,1,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2,22,6.9,Red,Red
BEV,Core Power,R-64153,BEV|Core Power|StrawberryBana,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Core Power,R-38098,BEV|Core Power|StrawberryBanan,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Core Power,R-38035,BEV|Core Power|Vanilla,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Fruit Water,R-45971,BEV|Fruit Water|Black Cherry,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Fruit Water,R-45972,BEV|Fruit Water|Peach Mango,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Fruit Water,R-45973,BEV|Fruit Water|Pineapple ,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Happy Planet,R-37748,BEV|Happy Planet|Blackberry,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Happy Planet,R-38280,BEV|Happy Planet|Coconut Pinea,BEVERAGE,1,0.4306,0.0027,0.00071,0,0,43.06,0.27,0,0,0.07,Green,Green
BEV,Happy Planet,R-58276,BEV|Happy Planet|Extreme 'C',BEVERAGE,1,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4,135,0.04,Green,Green
BEV,Happy Planet,R-37786,BEV|Happy Planet|Extreme Energ,BEVERAGE,1,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4,135,0.04,Green,Green
BEV,Happy Planet,R-38524,BEV|Happy Planet|Extreme Green,BEVERAGE,1,0.5029,0.0079,0.00119,0.08,2.94,50.29,0.79,8,294,0.12,Green,Green
BEV,Happy Planet,R-37749,BEV|Happy Planet|Mango Passion,BEVERAGE,1,0.4306,0.0027,0.00071,0,0,43.06,0.27,0,0,0.07,Green,Green
BEV,Happy Planet,R-37743,BEV|Happy Planet|Raspberry,BEVERAGE,1,1.6547,0.0027,0.0007,0.4,16.25,165.47,0.27,40,1625,0.07,Green,Green
BEV,Hot Chocolate,R-45985,BEV|Hot Chocolate|Package,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-47498,BEV|Ice Tea|Gold Peak|Green,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-34518,BEV|Ice Tea|Gold Peak|Lemon,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-47748,BEV|Ice Tea|Gold Peak|Peach,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-38528,BEV|Ice Tea|Gold Peak|Raspberr,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-38527,BEV|Ice Tea|Gold Peak|Unsweet,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-37825,BEV|Ice Tea|Nestea|Green|500ml,BEVERAGE,473,0,0,0,0.47,0.47,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-37759,BEV|Ice Tea|Nestea|Half|500ml,BEVERAGE,500,0,0,0,0.5,0.5,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-37712,BEV|Ice Tea|Nestea|Lemon|500ml,BEVERAGE,500,0,0,0,0.5,0.5,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-37827,BEV|Ice Tea|Nestea|Zero|500ml,BEVERAGE,500,0,0,0,0.5,0.5,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-45812,BEV|Ice Tea|Peace|Greenest,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-45974,BEV|Ice Tea|Peace|Lemon,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-45975,BEV|Ice Tea|Peace|Peach,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-45978,BEV|Ice Tea|Peace|Razzleberry,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-37814,BEV|Ice Tea|Steaz|Asst,BEVERAGE,237,195.668275,0.319275,0.082775,47.83,1921.1,82.56,0.13,20.18,810.59,0.03,Green,Green
BEV,Ice Tea,R-37830,BEV|Ice Tea|Steaz|Blueberry ,BEVERAGE,473,782.6731,1.2771,0.3311,190.86,7683.93,165.47,0.27,40.35,1624.51,0.07,Green,Green
BEV,Ice Tea,R-40879,BEV|Ice Tea|Steaz|Coconut,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Ice Tea,R-37763,BEV|Ice Tea|Steaz|Peach,BEVERAGE,473,0,0,0,0.47,0.47,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-38272,BEV|Ice Tea|Steaz|Peach Mango,BEVERAGE,473,0,0,0,0.47,0.47,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-38948,BEV|Ice Tea|Steaz|Raspberry,BEVERAGE,473,0,0,0,0.47,0.47,0,0,0.1,0.1,0,Green,Green
BEV,Ice Tea,R-38265,BEV|Ice Tea|Steaz|Superfruit,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Iced Coffee,R-53980,BEV|Iced Coffee|Tim's|Double,BEVERAGE,237,951.8631,3.8394,0.87453,3.84,4170.61,401.63,1.62,1.62,1759.75,0.37,Red,Yellow
BEV,Iced Coffee,R-53981,BEV|Iced Coffee|Tim's|Vanilla,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Iced Coffee,R-56071,BEV|Iced Coffee|Tim's|Vanilla.,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-13186,BEV|Juice|Bulk 12oz,BEVERAGE,360,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-52985,BEV|Juice|Loop|Beach Bum,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-49937,BEV|Juice|Loop|Big Bang,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-54316,BEV|Juice|Loop|Big Bang.,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-49933,BEV|Juice|Loop|High Achiever,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-53071,BEV|Juice|Loop|King of Hill,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-53151,BEV|Juice|Loop|Loco Local,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-49934,BEV|Juice|Loop|Morning Glory,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-49935,BEV|Juice|Loop|Undercover,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-37829,BEV|Juice|MM|Apple|355ml,BEVERAGE,355,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-37757,BEV|Juice|MM|Cranberry 355ml,BEVERAGE,355,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-37755,BEV|Juice|MM|Grapefruit|355ml,BEVERAGE,355,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-37758,BEV|Juice|MM|Lemonade|355ml,BEVERAGE,355,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-37744,BEV|Juice|MM|Orange|355ml,BEVERAGE,355,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-60815,BEV|Juice|MM|Orange|355ml.,BEVERAGE,355,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-45795,BEV|Juice|Odwalla|Life Food,BEVERAGE,450,0,0,0,0.45,0.45,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-45797,BEV|Juice|Odwalla|Mango,BEVERAGE,450,0,0,0,0.45,0.45,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-45796,BEV|Juice|Odwalla|Straw Banana,BEVERAGE,450,0,0,0,0.45,0.45,0,0,0.1,0.1,0,Green,Green
BEV,Juice,R-42264,BEV|Juice|Simply|Apple 340ml,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-42262,BEV|Juice|Simply|Lemonade 340m,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-42263,BEV|Juice|Simply|Orange 340ml,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-42265,BEV|Juice|Simply|Peach,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Juice,R-56000,BEV|Juice|Simply|Raspberry Lem,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Milk-To-Go,R-41298,BEV|Milk-To-Go|Asst,BEVERAGE,1,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-40889,BEV|Milk-To-Go|Banana,BEVERAGE,473,336.5395,1.2771,0.91289,0.47,14.8,71.15,0.27,0.1,3.13,0.19,Green,Green
BEV,Milk-To-Go,R-58217,BEV|Milk-To-Go|Chillin' Choco,BEVERAGE,1,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-40885,BEV|Milk-To-Go|Choc Low Sugar,BEVERAGE,1,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-50127,BEV|Milk-To-Go|Chocolate,BEVERAGE,473,1055.9725,9.2708,0.96965,93.32,4624.24,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-40882,BEV|Milk-To-Go|Iced Coffee,BEVERAGE,1,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2,Yellow,Yellow
BEV,Milk,R-37819,BEV|Milk|237ml|2%,BEVERAGE,265.0003445,591.6132691,5.194006752,0.543250706,52.28,2590.75,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38534,BEV|Milk|237ml|2%&Skim|Promo,BEVERAGE,258.2003218,576.4322184,5.060726307,0.52931066,50.94,2524.27,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-13430,BEV|Milk|237ml|Chocolate,BEVERAGE,250,558.125,4.9,0.5125,49.32,2444.1,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38538,BEV|Milk|237ml|Chocolate|Promo,BEVERAGE,250,558.125,4.9,0.5125,49.32,2444.1,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38167,BEV|Milk|237ml|Skim,BEVERAGE,231.000231,515.7080157,4.527604528,0.473550474,45.58,2258.35,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38166,BEV|Milk|473 ml|2%,BEVERAGE,462.000462,1031.416031,9.055209055,0.947100947,91.15,4516.7,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38539,BEV|Milk|473 ml|2%|Promo,BEVERAGE,462.000462,1031.416031,9.055209055,0.947100947,91.15,4516.7,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-49834,BEV|Milk|473 ml|Chocolate,BEVERAGE,1,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2,Yellow,Yellow
BEV,Milk,R-38540,BEV|Milk|473 ml|Chocolate|Prom,BEVERAGE,1,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2,Yellow,Yellow
BEV,Milk,R-61300,BEV|Milk|Almond Breeze|Vanilla,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Milk,R-13574,BEV|Milk|Almond|Asst,BEVERAGE,125.5,89.9052,0.38735,0.06596,57.89,4107.32,71.64,0.31,46.13,3272.76,0.05,Green,Yellow
BEV,Milk,R-55804,BEV|Milk|Almond|Chocolate,BEVERAGE,250,175.525,0.7625,0.125,113.96,8085.27,70.21,0.3,45.58,3234.11,0.05,Green,Yellow
BEV,Milk,R-62932,BEV|Milk|AlmondBreeze|Choco,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Milk,R-62933,BEV|Milk|AlmondBreeze|Vanilla,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Milk,R-13192,BEV|Milk|Bulk|Chocolate 12oz,BEVERAGE,354.882,792.274065,6.9556872,0.7275081,70.02,3469.47,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-13191,BEV|Milk|Bulk|White 12oz,BEVERAGE,343.866,767.680845,6.7397736,0.7049253,67.84,3361.77,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-62934,BEV|Milk|Oat|Chocolate,BEVERAGE,1,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7,245,0.08,Green,Green
BEV,Milk,R-62935,BEV|Milk|Oat|Vanilla,BEVERAGE,1,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7,245,0.08,Green,Green
BEV,Milk,R-14388,BEV|Milk|Rice|Asst,BEVERAGE,1,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157,463,0.22,Yellow,Green
BEV,Milk,R-39832,BEV|Milk|Rice|Chocolate,BEVERAGE,1,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157,463,0.22,Yellow,Green
BEV,Milk,R-12397,BEV|Milk|Soy|Asst,BEVERAGE,1,0.489,0.00237,0.00078,0,0.01,48.9,0.24,0,1,0.08,Green,Green
BEV,Moriyama,R-56036,BEV|Moriyama|Latte Caffe Milk,BEVERAGE,1,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16,Red,Red
BEV,Moriyama,R-56034,BEV|Moriyama|Latte Matcha Milk,BEVERAGE,1,4.0163,0.0162,0.00369,0.02,17.6,401.63,1.62,2,1760,0.37,Red,Yellow
BEV,Moriyama,R-56035,BEV|Moriyama|Latte Tea,BEVERAGE,1,4.0163,0.0162,0.00369,0.02,17.6,401.63,1.62,2,1760,0.37,Red,Yellow
BEV,Pop,R-13185,BEV|Pop|Bulk 12oz,BEVERAGE,360,0,0,0,0.36,0.36,0,0,0.1,0.1,0,Green,Green
BEV,Pop,R-38115,BEV|Pop|Canada Dry|500ml,BEVERAGE,500,0,0,0,0.5,0.5,0,0,0.1,0.1,0,Green,Green
BEV,Pop,R-38116,BEV|Pop|Coke Classic|500ml,BEVERAGE,500,0,0,0,0.5,0.5,0,0,0.1,0.1,0,Green,Green
BEV,Pop,R-63840,BEV|Pop|Coke Diet Black|500ml,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Pop,R-38117,BEV|Pop|Coke Diet|500ml,BEVERAGE,500,0,0,0,0.5,0.5,0,0,0.1,0.1,0,Green,Green
BEV,Pop,R-38119,BEV|Pop|Coke Life|500ml,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Pop,R-64152,BEV|Pop|Coke Tst Vanilla|500ml,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
BEV,Pop,R-62931,BEV|Pop|Coke Vanilla|500ml,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green
