Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
$1 OWN MUG ETHICAL BEAN COFFEE,,R-67294,$1 OWN MUG ETHICAL BEAN COFFEE,BEVERAGE,386,911.741955,0.743803,0,4.29,571.66,236.2,0.19,1.11,148.1,0,Yellow,Green
ADD CUP,,R-62976,ADD CUP,OK - GRAB & GO,1,0,0,0,0,0,0,0,0,0,0,Green,Green
ADD,Beef,R-31006,ADD|Beef,OK - CUSTOM KITCHEN,85.0485,3516.440796,28.02348075,10.75438283,142.64,5214.24,4134.63,32.95,167.72,6130.9,12.64,Red,Red
ADD,Chicken,R-31131,ADD|Chicken,OK - CUSTOM KITCHEN,85.0485,468.3876867,12.41747641,1.225451253,39.37,35.47,550.73,14.6,46.29,41.71,1.44,Red,Red
ADD,Crackers,R-30154,ADD|Crackers,OK - CUSTOM KITCHEN,5.99999988,9.134999817,0.088799998,0.029339999,2.52,76.93,152.25,1.48,42,1282.17,0.49,Green,Yellow
ADD,Fish,R-41877,ADD|Fish,OK - GRILL KITCHEN DAY,220,845.751847,10.56154286,0,217.55,2463.81,384.43,4.8,98.89,1119.91,0,Red,Yellow
ADD,Guacamole,R-32124,ADD|Guacamole,OK - SANDWICH KITCHEN,45,23.85082216,0.172634137,0.035754666,0.54,20.21,53,0.38,1.2,44.91,0.08,Green,Green
ADD,Guacamole.,R-60997,ADD|Guacamole.,OK - SANDWICH KITCHEN,45,23.85082216,0.172634137,0.035754666,0.54,20.21,53,0.38,1.2,44.91,0.08,Green,Green
ADD,Karaage Chicken,R-61591,ADD|Karaage Chicken|4oz,OK - GRILL KITCHEN FEATURES,110,446.0273953,11.55434111,1.153528065,36.8,55.88,405.48,10.5,33.45,50.8,1.05,Red,Red
ADD,Salad,R-41753,ADD|Salad,OK - BURRITO KITCHEN ,1,0.5029,0.0079,0.00119,0.08,2.94,50.29,0.79,8,294,0.12,Green,Green
