Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
P-15019,Butter Chicken Prep 2023 ,N,Yellow,False,True,False,747.809619313084,6.262882311393862,1.3870410202729213,84.68,4072.17,195.76,1.64,22.17,1065.99,0.36
P-18296,Teriyaki Tempeh Prep 2023,N,Green,False,False,True,753.3787311710562,2.07609959001659,2.2802731990024987,12.05,645.0,196.01,0.54,3.14,167.82,0.59
P-17366,Chicken Teriyaki Prep 2023,Y,Yellow,False,True,False,1195.9818585499995,20.9217443,3.529264975,66.63,177.91,310.1,5.42,17.28,46.13,0.92
P-18330,Tuscan Prep 2023,N,Yellow,False,True,False,658.6216798252915,6.4192227454924975,1.2048079998174082,115.96,5196.26,221.0,2.15,38.91,1743.64,0.4
P-14560,2022 Caesar Wrap prep,N,Yellow,False,True,False,729.6031111447045,8.914526267111095,1.6662743966687266,123.2,4939.94,175.56,2.14,29.64,1188.64,0.4
P-15006,2022 Power Punch Salad prep,N,Red,True,False,False,402.0361999337744,1.6956999995464002,1.141819999929434,113.55,7939.5,190.54,0.8,53.82,3762.8,0.54
P-18266,KFC Gallery prep 2022,N,Yellow,False,True,False,974.9860922666022,21.637359602259178,2.527619470916388,141.78,1697.6,298.35,6.62,43.38,519.47,0.77
P-18275,Beets salad prep 2023 ,N,Green,False,False,True,586.9801502302751,3.792046859743776,0.8036339040975963,54.91,2660.71,141.08,0.91,13.2,639.48,0.19
P-18313,Yam Fries prep 2023,N,Green,False,False,True,341.40934999622823,2.27184999994075,1.027284999991075,1.36,40.32,68.08,0.45,0.27,8.04,0.2
P-18316,Crispy EggPlant prep 2023,Y,Green,False,False,True,1112.138594363395,11.524251144619445,2.5382050463577945,201.77,6644.63,125.31,1.3,22.73,748.69,0.29
R-17284, 2022 goose & Watermelon bull,N,Green,False,False,True,26.842002007266554,0.1836000137484011,0.0288500021386401,2.54,90.18,27.51,0.19,2.6,92.42,0.03
R-18292, Vegan Caesar wrap 2022,N,Green,False,False,True,409.7859013764663,3.3925425827416427,2.0000675971642283,29.07,1081.32,93.58,0.77,6.64,246.93,0.46
R-15423,"""Pulled Pork"" Sliders",N,Red,True,False,False,1054.95559575,13.558082400000002,2.451704909999979,210.91,6351.04,505.44,6.5,101.05,3042.84,1.17
R-6243,2019 Chipotle Aioli,N,Yellow,False,True,False,70693.84660012672,429.36880000199073,80.94738000029987,735.25,330063.55,219.15,1.33,2.28,1023.2,0.25
R-13758,2019 Falafel Edamame,Y,Green,False,False,True,42505.0281,161.0113,177.8321899999986,363.29,12654.87,143.26,0.54,1.22,42.65,0.6
