Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-47209,5 spice powder|spice,FT HOMESKILLET,Red,True,False,False,4250.2931176,3.0617460000000003,14.061352,11.29,99.93,937.03,0.68,2.49,22.03,3.1
R-55408,ADD|Cheese,FEAST,Red,True,False,False,124.74560249491203,1.3062000261240003,0.1464400029288,21.83,1126.48,891.04,9.33,155.93,8046.29,1.05
R-63588,ADD|CHICKEN ,FT GRAB & GO,Red,True,False,False,692.8610647959184,17.52230994897959,1.8862234693877544,55.56,50.17,610.99,15.45,48.99,44.24,1.66
R-63593,ADD|Chicken Strip Dip,FT SIDES ,Green,False,False,True,23.55830703208556,0.1865952673796791,0.0042262379679144,0.59,31.51,52.35,0.41,1.31,70.02,0.01
R-65790,ADD|Chili|TAILGATE,SPECIALS,Red,True,False,False,959.7663503060596,7.770525456650962,2.96820033133643,41.24,1560.07,1476.56,11.95,63.45,2400.11,4.57
R-22896,ADD|Crackers,FEAST,Yellow,False,True,False,9.134999817300004,0.088799998224,0.0293399994131994,2.52,76.93,152.25,1.48,42.0,1282.17,0.49
R-62187,ADD|Fried Egg,FT STICKS AND SPOONS,Red,True,False,False,137.62830406543787,2.020985734481714,0.3066414308286285,20.89,614.57,360.28,5.29,54.69,1608.82,0.8
R-56809,ADD|Guacamole ,FT SIDES ,Green,False,False,True,34.20364080635526,0.2371458253888899,0.0527317109005054,1.05,44.87,57.01,0.4,1.75,74.78,0.09
R-62363,ADD|Havarti|1 SLICE,FEAST,Red,True,False,False,8.9104,0.0933,0.01046,1.56,80.46,891.04,9.33,156.0,8046.0,1.05
R-56468,ADD|Kimchi,ADD ONS,Green,False,False,True,18.66,0.237,0.069,1.64,74.5,62.2,0.79,5.47,248.33,0.23
R-62301,ADD|Perogy|SIDE (4pc),FT SIDES ,Yellow,False,True,False,540.468,3.0468,0.4679999999999999,31.71,2775.81,300.26,1.69,17.62,1542.12,0.26
R-44853,ADD|Poached Egg,FEAST,Yellow,False,True,False,120.829501208295,2.019600020196,0.2257200022572,20.89,614.49,241.66,4.04,41.78,1228.98,0.45
R-61856,ADD|Prawns,FEAST,Red,True,False,False,2143.55307375,7.141320000000001,0.310233375,122.58,4940.97,2381.73,7.93,136.2,5489.97,0.34
R-64375,ADD|SHRIMP,FEAST,Red,True,False,False,2006.8164058969164,6.372856283055514,0.4520665001444025,108.97,4391.66,2229.8,7.08,121.08,4879.62,0.5
R-65788,ADD|Tailgate cheddar,SPECIALS,Red,True,False,False,400.968,4.1985,0.4707,70.17,3620.84,891.04,9.33,155.93,8046.31,1.05
R-61659,ALF|Pasta|Cauliflower Cheese,OK - AL FORNO,Yellow,False,True,False,670.9898087878073,6.432145578016259,1.0629457576097232,93.99,4358.2,223.66,2.14,31.33,1452.73,0.35
R-56505,ALF|Pasta|Chicken Alfredo,OK - AL FORNO,Yellow,False,True,False,1086.4549032964087,13.580881945685189,1.8547937567000023,166.06,7067.18,285.91,3.57,43.7,1859.78,0.49
R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO,Yellow,False,True,False,1174.9834184794045,13.78755660269602,2.1116831348483567,207.52,8132.88,257.11,3.02,45.41,1779.62,0.46
R-65631,AQlCreme Caramel|PTN,FEAST,Yellow,False,True,False,692.8912506041477,3.3498000100980003,0.8365516677952667,13.1,2851.13,452.87,2.19,8.56,1863.48,0.55
R-65622,AQlDynamite Power Plant Bowl,FEAST,Green,False,False,True,727.5180365932015,2.5795511660500496,1.4020190658017142,211.98,1417.35,145.5,0.52,42.4,283.47,0.28
R-65620,AQlMiso Glazed Salmon Bowl,FEAST,Green,False,False,True,986.1249590976774,8.950157199292985,1.2543398085173123,418.14,1794.92,177.04,1.61,75.07,322.25,0.23
R-64338,ASSORTED DANISH,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-65918,BAKE| GF VEGAN RASPBRY CHOC,FOOD - BAKERY & DESSERTS,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52751,BAKE|Bagel Asst,FT BAKERY,Green,False,False,True,1.77625,0.0172666666666666,0.0057049999999998,0.49,14.96,1.68,0.02,0.46,14.11,0.01
R-64357,BAKE|BAKED PRETZEL,FT GRAB & GO,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-19583,BAKE|Cake|Ponderosa,FT BAKERY,Yellow,False,True,False,0.0380625,0.00037,0.0001222499999999,0.01,0.32,152.25,1.48,40.0,1280.0,0.49
R-52747,BAKE|Cinnamon Bun,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52742,BAKE|Croissant|Almond,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52743,BAKE|Croissant|Cheese,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52744,BAKE|Croissant|Chocolate,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-34270,BAKE|Croissant|Multigrain,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52741,BAKE|Croissant|Plain,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52793,BAKE|Croissant|Spinach Pepper ,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-52750,BAKE|Danish|Almond Pear|MC,FT BAKERY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
