PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-61322,AIOLI|Pesto,4.0,L,ZDONT USE OK - PREP,4000.0,ml,4332.407775510204,1.083101943877551,3.4121938775510205,0.0008530484693877551,13749.704081632653,3.4374260204081635,572176.3979591837,143.0440994897959,0.17081632653061224,4.270408163265306e-05
P-61009,ALF|Flatbread|Brisket,1.0,un,,309.01,g,3100.908549375,10.03497799221708,26.731120448717952,0.0865056808799649,241497.74969551284,781.5208235834208,10676801.085641026,34551.6361465358,7.944984149038457,0.025711090738288266
P-26184,BAKED|Beans,9.0,Kg,PREP,9000.0,g,13525.75318148148,1.5028614646090532,40.30181481481481,0.004477979423868312,42677.096296296295,4.7418995884773665,1847521.414814815,205.2801572016461,64.88955518518519,0.007209950576131687
P-53798,BAKED|Berry Crisp,45.0,Kg,,45000.0,g,98724.2158,2.1938714622222224,185.79615,0.0041288033333333335,22248357.5,494.40794444444447,854857902.64,18996.84228088889,151.67918,0.0033706484444444443
P-64511,Baked|Brocoli|Mushroom|Pasta,6.0,Kg,,6000.0,g,18503.543295390202,3.0839238825650335,144.29193973865696,0.024048656623109493,2100800.1236950997,350.1333539491833,121027762.58998185,20171.293764996975,31.35814023085284,0.00522635670514214
P-64689,BAKED|Chicken Thigh|FNH,34.0,Kg,,34000.0,g,156136.60526315792,4.592253095975233,3975.8184210526315,0.11693583591331269,12607236.842105264,370.8010835913313,11489731.578947369,337.9332817337461,412.55052631578945,0.012133839009287925
P-58410,BAKED|Gnocchi,1.57,Kg,,1570.0,g,1056.0332742155524,0.6726326587360206,11.124580491132333,0.007085720058046072,137490.26944065484,87.5734200258948,7142375.610504776,4549.283828346991,1.2835109140518417,0.0008175228751922559
P-26965,BAKED|Jalapeno Cornbread,12.0,piece,PREP,1440.0,g,5053.620503624885,3.5094586830728365,49.579800060588,0.03443041670874167,715990.960626571,497.21594487956315,31987441.99843479,22213.501387801938,7.247760006771545,0.005033166671369128
P-50502,BAKED|Meatball,310.0,each,PREP,11160.0,g,319072.25754905824,28.59070408145683,2586.0672384285444,0.2317264550563212,13703690.498960063,1227.9292561792172,495419554.63121784,44392.433210682604,973.6898502379971,0.08724819446577035
P-54644,BAKED|Moussaka,16.0,PTN,,6720.0,g,43829.81705976471,6.52229420532213,369.7005411764706,0.05501496148459384,2572764.704,382.8518904761905,107160321.1350588,15946.47635938375,114.82442917647039,0.01708696862745095
P-26218,BAKED|Mushroom Alfredo,5.0,lb,ZDONT USE OK - PREP,2267.96,g,3316.853901170115,1.462483421740293,28.46081874750957,0.012549083205836774,576591.4772441685,254.23353024046654,19580039.785211124,8633.326771729273,8.54323922099606,0.003766926762815949
P-54667,BAKED|Pasta|Bolognese Penne,16.0,PTN,,7200.0,g,35713.09581034483,4.960152195881226,313.125275862069,0.04348962164750958,3654645.6551724137,507.5896743295019,156217681.2413793,21696.90017241379,88.9606396551722,0.012355644396551695
P-54666,BAKED|Pasta|Chicken Alfredo,6.176,Kg,,6176.0,g,17657.751270417422,2.859091850780023,220.72507078039928,0.03573916301496102,2698940.345735027,437.00458965916886,114860316.47640654,18597.849170402613,30.145279582576883,0.004881036201842112
P-54664,BAKED|Pasta|Chorizo Penne,7.36,Kg,,7360.0,g,21899.76690479788,2.9755118077171034,260.65052386726273,0.035414473351530265,3971502.5908185593,539.6063302742608,151673126.65941346,20607.761774376828,40.87326394838374,0.005553432601682573
P-56502,BAKED|Pasta|Shrimp Pesto,5.76,Kg,,5760.0,g,29040.0843862069,5.041681317049809,178.74312423724137,0.03103179240229885,2738595.040527448,475.4505278693486,153161033.99301958,26590.45729045479,27.347973793103325,0.004747912116858216
P-54785,BAKED|Puff Pastry Tart,6.0,each,,168.0,g,1.5225,0.0090625,0.0148,8.80952380952381e-05,419.2,2.4952380952380953,12821.7,76.31964285714287,0.0048899999999999,2.910714285714226e-05
