ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-1971,35,LIMES,0.25,ea,1.0,ea,N
I-8228,55,Grey Goose 1.14L,1.0,fl oz,1.0,fl oz,N
I-15803,31,Red Bull Watermelon,1.0,can,1.0,can,N
I-5505,36,Lettuce - Romaine ,0.25,HEAD,1.0,HEAD,N
I-8667,58,ITEM GARLIC MAYO,2.0,fl oz,1.0,ml,N
I-13308,24,"TORTILLA 12"" FLOUR PRESSED",1.0,ea,1.0,ea,N
I-15514,16,VEG BACON VEGAN FZN,0.5,slice,1.0,slice,N
I-16699,16,CHICKEN TENDER Vegan ,100.0,g,1.0,g,N
I-17976,16,SO-Cheese Vegan Parm Shred,20.0,g,1.0,g,N
I-4082,24,bread bun slider brioche,3.0,ea,1.0,ea,N
I-14694,3,Porch Item Pulled Pork,3.0,fl oz,1.0,ml,N
I-1789,31,CUCUMBER LONG ENGLISH MED,1.0,HEAD,6.0,HEAD,N
I-2919,40,Yaki Nori half Cut,6.0,ea,6.0,ea,N
I-1660,58,SAUCE CHIPOTLE IN ADOBO ,1560.0,ml,30.0,fl oz,N
I-1752,40,CILANTRO,3.0,BUNCH,30.0,BUNCH,N
I-1782,8,CREAM SOUR 4L,10.0,L,30.0,ml,N
I-1874,38,GARLIC WHOLE PEELED,200.0,g,30.0,oz,N
I-1982,58,MAYONNAISE GF,20.0,L,30.0,ml,N
I-2119,48,PFO OIL CANOLA JIB  ANTI FOAM,100.0,ml,30.0,ml,N
I-2330,54,SPICE CUMIN SEED GROUND SHAKER,36.0,g,30.0,oz,N
I-5198,35,Lime Juice,320.0,ml,30.0,ml,N
I-1841,44,OIL EXTRA VIRGIN OLIVE ,1700.0,ml,24.0,fl oz,Y
I-1941,35,JUICE LEMON PLAS,1000.0,ml,24.0,ml,Y
I-1995,54,MINT LEAVES,600.0,g,24.0,g,Y
I-2102,18,PEA GRADE A IQF ,12.0,Kg,24.0,g,Y
I-2343,54,SPICE PEPPER BLACK GROUND CRSE,72.0,g,24.0,fl oz,Y
I-2436,32,VINEGAR APPLE CIDER PURE,500.0,ml,24.0,ml,Y
I-3804,54,SPICE CHILI RED PEPPER CRUSHED,12.0,g,24.0,g,Y
I-4198,40,ITALIAN PARSLEY,625.0,g,24.0,lb,Y
I-5283,56,SALT COARSE KOSHER,444.0,g,24.0,g,Y
I-5899,61,"Bag - Vacuum Seal 12""x14"" ",24.0,ea,24.0,ea,Y
I-13711,38,GARLIC MINCED,192.0,g,24.0,g,Y
I-13733,20,EDAMAME SHELLED 2KG,12.0,Kg,24.0,g,Y
I-2640,55,Water - Tap,250.0,ml,2.5,ml,N
I-2958,38,Ginger Fresh,1.0,Kg,2.5,oz,N
I-1783,8,CREAM WHIPPING 33%,6.0,L,110.0,ml,Y
I-1927,54,JALAPENO PEPPER - FRESH,1.0,Kg,110.0,g,Y
I-2066,39,ONION RED JUMBO ,3.25,Kg,110.0,oz,Y
I-2117,31,Peppers Red,2.0,Kg,110.0,oz,Y
I-2324,54,SPICE CHILI POWDER ,80.0,g,110.0,g,Y
I-2339,54,SPICE PAPRIKA ,500.0,g,110.0,g,Y
I-2367,43,SUGAR GRANULATED FINE,1.16,g,110.0,g,Y
I-2464,37,TOMATO - WHOLE PLUM ,35.0,L,110.0,fl oz,Y
I-5428,54,SO - SPICE CARDAMON GREEN WHL,80.0,g,110.0,oz,Y
