ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-1971,,LIMES,0.25,ea,1.0,ea,N
I-8228,,Grey Goose 1.14L,1.0,fl oz,1.0,fl oz,N
I-15803,,Red Bull Watermelon,1.0,can,1.0,can,N
I-5505,,Lettuce - Romaine ,0.25,HEAD,1.0,HEAD,N
I-8667,,ITEM GARLIC MAYO,2.0,fl oz,1.0,ml,N
I-11706,,Glry Side Fries 2023,1.0,ea,1.0,ea,N
I-13308,,"TORTILLA 12"" FLOUR PRESSED",1.0,ea,1.0,ea,N
I-15514,,VEG BACON VEGAN FZN,0.5,slice,1.0,slice,N
I-16699,,CHICKEN TENDER Vegan ,100.0,g,1.0,g,N
I-16780,,2022 Vegan Caesar dressing,1.5,fl oz,1.0,fl oz,N
I-17976,,SO-Cheese Vegan Parm Shred,20.0,g,1.0,g,N
I-4082,,bread bun slider brioche,3.0,ea,1.0,ea,N
I-14694,,Porch Item Pulled Pork,3.0,fl oz,1.0,ml,N
I-14715,,2022 Coleslaw mix,7.0,oz,1.0,Kg,N
I-15427,,Vegan Chipotle Mayo,2.0,fl oz,1.0,L,N
I-1789,,CUCUMBER LONG ENGLISH MED,1.0,HEAD,6.0,HEAD,N
I-2919,,Yaki Nori half Cut,6.0,ea,6.0,ea,N
I-13956,,Sushi Rice,6.0,PORT,6.0,PORT,N
I-1660,,SAUCE CHIPOTLE IN ADOBO ,1560.0,ml,30.0,fl oz,N
I-1752,,CILANTRO,3.0,BUNCH,30.0,BUNCH,N
I-1782,,CREAM SOUR 4L,10.0,L,30.0,ml,N
I-1874,,GARLIC WHOLE PEELED,200.0,g,30.0,oz,N
I-1982,,MAYONNAISE GF,20.0,L,30.0,ml,N
I-2119,,PFO OIL CANOLA JIB  ANTI FOAM,100.0,ml,30.0,ml,N
I-2330,,SPICE CUMIN SEED GROUND SHAKER,36.0,g,30.0,oz,N
I-5198,,Lime Juice,320.0,ml,30.0,ml,N
I-1841,,OIL EXTRA VIRGIN OLIVE ,1700.0,ml,24.0,fl oz,Y
I-1941,,JUICE LEMON PLAS,1000.0,ml,24.0,ml,Y
I-1995,,MINT LEAVES,600.0,g,24.0,g,Y
I-2102,,PEA GRADE A IQF ,12.0,Kg,24.0,g,Y
I-2343,,SPICE PEPPER BLACK GROUND CRSE,72.0,g,24.0,fl oz,Y
