ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup,Active Total Supply Chain Emissions (kg CO2 / kg food),g N lost/kg product,Freshwater Withdrawals (L/FU),Stress-Weighted Water Use (L/FU)
I-52090,59,BURGER BEEF & MUSHROOM HALAL,1,cs,48,CT,MEAT,25.00894,200.86,1038.84,37961.2
I-45558,59,Prep-Vegan Parmesan,1000,g,1,g,PRODUCTION FOOD,3.85686,0,0,0
I-3352,59,MAYONNAISE PAIL TFC 4L,2,each,4,L,FOOD - GROCERY,3.55,0,0,0
I-3223,59,COCONUT MILK 17/19% MILK FAT,6,LG CAN,2.84,L,FOOD - GROCERY,3.5,0,1,1
I-2898,59,MUSTARD DIJON WINE FLEUR,6,jar,1,Kg,FOOD - GROCERY,3.326,0,0,0
I-3370,59,MUSTARD DIJON HOT,2,each,4625,ml,FOOD - GROCERY,2.326,0,0,0
I-3368,59,MUSTARD DIJON GRAINY OLD FASH,2,pail,4625,ml,FOOD - GROCERY,2.326,0,0,0
I-2897,59,MUSTARD DIJON GRAINY FLEUR,4,Kg,1,Kg,FOOD - GROCERY,2.326,0,0,0
I-3367,59,MUSTARD CRYO W/FITMENT,2,6L,6,L,FOOD - GROCERY,2.326,0,0,0
I-3336,59,KETCHUP BIG RED PLAS,6,LG CAN,2.84,L,FOOD - GROCERY,2.01,0,1,1
I-3337,59,KETCHUP CRYO,2,bag,6,L,FOOD - GROCERY,2.01,0,0,0
I-3365,59,MUSTARD BIG YELLOW PLAS,4,JUG,2.84,L,FOOD - GROCERY,1.76,0,0,0
I-3348,59,MAYONNAISE 1/2 FAT TFC,2,4L,4,L,FOOD - GROCERY,1.22,0,1,1
I-43722,59,YOGURT GREEK VEGAN,2.64,Kg,1,Kg,DAIRY,0.70168,3.05,455.825,32341.075
I-5009,59,MIX VEG PEA CARROT DCD GRADE A,6,bag,2,Kg,PRODUCE,0.50285,7.9,81.3,2939.5
I-59287,59,BEEF GRD MUSH/ONION BLEND,5,Kg,1,Kg,MEAT,25.00894,200.86,1038.84,37961.2
I-53922,59,EGG NOG LIGHT,1,each,0.946,L,DAIRY,1.050145,10.464,94.989,4854.3784
I-14014,59,EGGNOG CLASSIC 2L,2,L,1,L,DAIRY,1.28764,10.888,86.528,5890.6768
I-2648,59,PASTA RAVIOLI MUSHROOM GFS,8.818,lb,1,lb,FOOD - GROCERY,3.114575,32.7,619.75,27261.5
I-3284,59,EXTRACT VANILLA PURE,1,500ML,1,500ML,FOOD - GROCERY,0,0,1,1
I-8374,59,POTSTICKER VEG 50PC,8,bag,50,ea,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-2658,59,PEROGY POT CHED CKD 180CT-30G,2,bag,2.75,Kg,FOOD - GROCERY,3.0881,31.975,600.075,26546.2
I-31126,59,STEAMED BUN WEDGE LUNCH /LRG,100,ea,1,each,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-32258,59,BUN CHICKEN & VEG,50,ea,1,ea,FOOD - GROCERY,1.986875,38.575,322.5,7229.1
I-32268,59,DIM SUM BEEF BALLS,50,ea,1,ea,FOOD - GROCERY,29.39916,235.09,1299.8,46762.81
I-46598,59,DIM SUM VEGETABLE BUN,60,ea,1,ea,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-29663,59,GYOZA PORK & VEGETABLE ,100,ea,1,ea,FOOD - GROCERY,3.34485,42.575,682.5,20706.4
I-28899,59,HA GOW OCEANWISE SHRIMP ,2,bag,50,each,FOOD - GROCERY,11.32495,42.55,813.5,30779.65
I-28904,59,SIU MAI PORK & SHRIMP O/W,2,bag,50,each,FOOD - GROCERY,8.500975,58.175,964.125,32155.925
I-18915,59,SPRING ROLL VEG,48,ea,1,ea,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-28907,59,STEAMED BUN BBQ PORK ,60,ea,1,each,FOOD - GROCERY,5.677,73.8,1114.75,33532.2
I-28920,59,STICKY RICE WRAP,16,bag,3,each,FOOD - GROCERY,4.31728,44.07,1346.8,19173.51
I-29665,59,GYOZA CHICKEN & VEGETABLE,100,ea,1,each,FOOD - GROCERY,1.986875,38.575,322.5,7229.1
I-32263,59,WONTON SHRIMP AND PORK O/W,280,ea,1,ea,FOOD - GROCERY,8.500975,58.175,964.125,32155.925
I-13422,59,BURGER 4OZ NATURAL HALAL,1,cs,42,CT,MEAT,25.00894,200.86,1038.84,37961.2
I-63034,59,BURGER VEG MALIBU GARDENBURGER,48,CT,1,CT,FOOD - GROCERY,1.7542,5.9,6.6,32.4
I-13531,59,CALZONE 5 CHEESE VEGETARIAN,12,CT,1,CT,FOOD - GROCERY,3.85686,0,0,0
I-15239,59,DIM SUM CHICKEN WONTON,16,tray,20,CT,FOOD - GROCERY,1.986875,38.575,322.5,7229.1
I-17483,59,MILK EVAPORATED,24,CT,0.354,L,FOOD - GROCERY,3.720833333,32.66666667,328.8333333,16294
I-20348,59,EXTRACT VANILLA,1,bottle,500,ml,FOOD - GROCERY,0,0,1,1
I-2659,59,PEROGY POTATO ONION CKD 180CT,5.5,Kg,1,Kg,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-2771,59,SAMOSA VEGGIE ,1,CT,1,CT,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-2772,59,WRAP BEEF ,1,CT,1,CT,FOOD - GROCERY,15.614364,126.436,790.984,27905.4
I-2773,59,WRAP BUTTER CHICKEN WRAP,1,CT,1,CT,FOOD - GROCERY,1.986875,38.575,322.5,7229.1
I-28914,59,GYOZA VEGETABLE,100,ea,1,each,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
I-30911,59,PAKORA VEGGIE,12,each,1,each,FOOD - GROCERY,1.0127,11.35,250.25,7880.6
