ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-43239,54,AGAR AGAR POWDER,500.0,g,1.0,g,SPICES
I-49238,24,ANNIE'S Choc Bunny Grahams,12.0,ea,1.0,ea,FOOD - GROCERY
I-49236,24,ANNIE'S White Cheddar Bunnies,12.0,ea,1.0,ea,FOOD - GROCERY
I-57827,24,BAGUETTE CHICKEN TUSCAN GF,1.0,each,1.0,each,BREAD
I-7615,40,BAMBOO SH.SLICE-E/G 6X100,6.0,pak,100.0,oz,FOOD - GROCERY
I-19539,33,BANANA CHIP,6.35,Kg,1.0,Kg,FOOD - GROCERY
I-4504,33,BANANA LEAVES FROZEN 454G,1.0,lb,1.0,ea,PRODUCE
I-65626,24,BAR BUDDHA CACAO COCONUT,12.0,ea,1.0,ea,FOOD - GROCERY
I-65627,24,BAR BUDDHA CHOCO CHIP,12.0,ea,1.0,ea,FOOD - GROCERY
I-65628,24,BAR BUDDHA KETO 3 CHOCO,12.0,ea,1.0,ea,FOOD - GROCERY
I-54088,24,BAR CHOC CARAMEL&SALT CAMINO,14.0,each,1.0,CT,CANDIES SNACKS
I-54087,24,BAR CHOC ESPRESSO DARK CAMINO,12.0,each,1.0,CT,CANDIES SNACKS
I-61334,24,BAR GF APPLE PIE,12.0,each,1.0,each,BAKED GOODS
I-61333,24,BAR GF HALAVA,12.0,each,1.0,each,BAKED GOODS
I-40918,24,BAR KIND CHEWY PEANUTBUTTER,12.0,each,1.0,BAR,CANDIES SNACKS
I-1229,24,BAR LEMON COCONUT (6 PACK),1.0,CT,1.0,CT,BAKED GOODS
I-31463,24,BAR MOUSSE MANGO,88.0,ea,1.0,ea,BAKED GOODS
I-1239,24,BAR NANAIMO (6 PACK),1.0,CT,1.0,CT,BAKED GOODS
I-60505,24,BAR PEANUT BUTTER GF/VEGAN,12.0,CT,1.0,CT,BAKED GOODS
I-1266,24,BAR ROCKY ROAD (6 PACK),6.0,CT,1.0,CT,BAKED GOODS
I-3875,1,BEEF CHUCK FLAT AA+,1.0,Kg,1.0,Kg,MEAT
I-3878,1,BEEF FLAT IRON PORTIONED ,1.0,Kg,1.0,Kg,MEAT
I-63683,3,BISCUITS HAM&CHEESE EA,1.0,ea,1.0,ea,BAKED GOODS
I-4294,17,BLACK EYED PEAS,11.34,Kg,1.0,Kg,PRODUCE
I-39498,61,BOWL PPR OVAL 16OZ,300.0,ea,1.0,ea,DISPOSABLES
I-24123,24,BRIOCHE BUN SLIDER ,120.0,ea,1.0,ea,BREAD
I-33127,24,"BRIOCHE SLIDER 2"" SLICED",12.0,each,1.0,each,BREAD
I-4545,36,BROCCOLINI US,18.0,CT,1.0,CT,PRODUCE
I-47844,36,BROCOLLI FLORETS DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-47834,4,BROTH CHICKEN BASE ,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-51888,40,BROTH MISO BASE,1.0,cs,1.0,Kg,FOOD - GROCERY
I-47841,40,BROTH VEGETABLE BASE,1.0,cs,1.0,Kg,FOOD - GROCERY
I-53518,24,BROWNIE TIGER,1.0,SHEET,1.0,SHEET,BAKED GOODS
I-48617,43,BS|Pudding Coconut 30ea (Wed),12.0,L,1.0,L,PRODUCTION FOOD
I-48616,43,BS|Pudding Mango 30ea (Fri),12.0,L,1.0,L,PRODUCTION FOOD
I-48615,43,BS|Pudding Taro 30ea (Mon)  ,12.0,L,1.0,L,PRODUCTION FOOD
I-69988,17,BURGER VEG BLACK BEAN SPICY,48.0,each,1.0,each,FOOD - GROCERY
I-18639,24,CAKE SHEET TRIPLEBERRY CRUMBLE,1.0,SHEET,1.0,SHEET,BAKED GOODS
I-48658,24,CALZONE 5 Cheese Veg,12.0,ea,1.0,ea,MEAT
I-5054,12,CATFISH FLT S/LESS PBO O/WISE ,1.0,lb,1.0,lb,SEAFOOD
I-47848,36,CAULIFLOWER FLORETS DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-4594,36,CAULIFLOWER US 9CT,1.0,ea,1.0,CT,PRODUCE
I-19459,21,CEREAL VARIETY PACK  KELLOGG'S,60.0,ea,1.0,ea,FOOD - GROCERY
I-36382,21,CEREAL WHOLE O'S,6.0,bag,750.0,g,FOOD - GROCERY
I-43721,6,CHEESE CREAM VEGAN,2.72,Kg,1.0,Kg,DAIRY
I-2134,6,CHEESE MASCARPONE KOSHER,6.0,TUB,475.0,g,DAIRY
I-37471,6,CHEESE OXACA FRESH,1.0,Kg,1000.0,g,DAIRY
I-67541,6,CHEESECAKE GF MATCHA GREEN TEA,14.0,ea,1.0,ea,BAKED GOODS
I-4976,31,CHERRY PITTED RED SOUR IQF,2.0,bag,2.5,Kg,PRODUCE
I-31899,4,CHICK 9-CUT HALAL FRYERS,1.0,Kg,1.0,Kg,POULTRY
I-65787,4,CHICK SOUVLAKI 50G NOSPC 60/cs,60.0,ea,1.0,ea,POULTRY
I-4028,4,CHICK WINGS WHOLE HALAL ,1.0,Kg,1.0,Kg,POULTRY
I-63691,4,CHICKEN ROLL EACH,1.0,ea,1.0,ea,BAKED GOODS
I-43615,54,CHILI FLAKES URFA BIBER,1.0,each,330.0,g,SPICES
I-25222,41,CHIP HARDBITE KETCHUP,24.0,bag,1.0,bag,"CHIPS, PRETZELS, NUTS"
I-3216,41,CHIP TORTILLA TRI COLOUR,1.0,cs,5443.0,g,"CHIPS, PRETZELS, NUTS"
I-3218,41,CHIP TORTILLA YELLOW BULK,5.45,Kg,1.0,Kg,"CHIPS, PRETZELS, NUTS"
I-11855,24,CIABATTA MG,12.0,CT,1.0,CT,BREAD
I-62849,24,CK|BS|Muffin|Seasonal|6ea.,1.0,ea,1.0,ea,PRODUCTION FOOD
I-63977,26,CK|G&G|Pot|Chia Seasonal ,1.0,ea,1.0,ea,PRODUCTION FOOD
I-3074,12,CLAM NECTAR ,12.0,can,46.0,fl oz,FOOD - GROCERY
I-51574,7,COCONUT BLISS BAR DARK CHOC,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-51575,7,COCONUT BLISS BAR INFINITE ,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-51573,7,COCONUT BLISS COOKIE SAND VAN,12.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-53846,55,CORE POWER STRAW BAN 414ML,12.0,414ML,1.0,414ML,BEVERAGE
I-47850,22,CORN SWEET KERNELS DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-34483,7,CREAMSICLE CREAM,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-3815,7,CREAMSICLE SUPERSICLE CREAM,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-12912,61,CUP CLR PLAS 7oz WAFFLE PTN,20.0,SLEEVE,50.0,CT,DISPOSABLES
I-19910,52,CUPCAKE CHOCOLATE MINI ,144.0,piece,1.0,piece,BAKED GOODS
I-60974,24,CUPCAKE GF VEGAN  RASPBRY CHOC,12.0,each,1.0,each,BAKED GOODS
I-19911,24,CUPCAKE VANILLA MINI ,144.0,piece,1.0,piece,BAKED GOODS
I-52112,31,DDP MANGO THAILAND 80g,12.0,bag,1.0,bag,FOOD - GROCERY
I-28769,58,DRESSING|Caesar 4L,1.0,ea,4.0,L,PRODUCTION FOOD
I-40959,11,EGG YOLK MIX SNOW CAP,12.0,Kg,1000.0,g,DAIRY
I-40950,54,EXTRACT VANILLA ORCHID,4.0,L,1000.0,ml,BAKING-RAW INGREDIENTS
I-3753,21,FARRO,4.54,Kg,1.0,Kg,FOOD - GROCERY
I-47849,38,FLAKES CARROT DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-47842,36,FLAKES RED CABBAGE DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-51856,38,FLAKES ROOT CELERY DEHYDRATED,1.0,bag,150.0,g,FOOD - GROCERY
I-54593,22,FLOUR CORN MASA HARINA,22.72,Kg,1.0,Kg,FOOD - GROCERY
I-4328,24,FLOUR WHOLE WHEAT 10 KG,10.0,Kg,1.0,Kg,FOOD - GROCERY
I-2521,7,FRUIT BAR STRAWBERRY,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-3821,7,FUDGSICLE SUPERSICLE FUDGE,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-28679,40,G&G- Salad Kale& Romain Ceaser,1.0,ea,1.0,ea,PRODUCTION FOOD
I-28676,40,G&G- Salad Strawberry Kale,1.0,ea,1.0,ea,PRODUCTION FOOD
I-28641,1,G&G- Wrap Roast Beef & Blue Ch,1.0,ea,1.0,ea,PRODUCTION FOOD
I-28640,40,G&G- Wrap Veg & Feta,1.0,ea,1.0,ea,PRODUCTION FOOD
I-28685,52,G&G-Pot Hazelnut & Coco,1.0,ea,1.0,ea,PRODUCTION FOOD
I-45696,31,G&G-Pudding Mango,1.0,ea,1.0,ea,PRODUCTION FOOD
I-45537,6,G&G|Cheese & Fruit,1.0,ea,1.0,ea,PRODUCTION FOOD
I-37131,17,G&G|Dip|Hummus,1.0,ea,1.0,ea,PRODUCTION FOOD
I-45532,40,G&G|Pot|Mediterranean,1.0,ea,1.0,each,PRODUCE
I-45528,40,G&G|Salad|Tabbouleh,1.0,ea,1.0,each,PRODUCTION FOOD
I-47430,5,G&G|Sand|Nut Butter Banana,1.0,ea,1.0,ea,PRODUCTION FOOD
I-63547,55,GINGER ALE DIET 500ML,24.0,ea,1.0,CT,BEVERAGE
I-2886,24,GREENWHEAT FREEKEH I. HARVEST,1.0,pak,908.0,g,FOOD - GROCERY
I-68967,24,GUAR GUM 200 MESH,1.0,cs,300.0,g,FOOD - GROCERY
I-10758,58,HERB TARRAGON BC 4oz,1.0,BUNCH,4.0,oz,PRODUCE
I-20000,52,ICING CLASSIC CHOCOLATE,10.0,Kg,1.0,Kg,BAKING-RAW INGREDIENTS
I-1791,32,JUICE APPLE BLUE LBL TETRA,12.0,L,1.0,L,BEVERAGE
I-64847,32,JUICE APPLE OASIS 300ML,24.0,each,1.0,each,BEVERAGE
I-1815,35,JUICE REALIME PLAS 440ML,12.0,440ML,440.0,ml,BEVERAGE
I-11182,34,JUNIPER BERRIES WHOLE,0.4,Kg,1.0,Kg,FOOD - GROCERY
I-4700,40,KALE GREEN US,24.0,ea,1.0,CT,PRODUCE
I-43953,33,KETCHUP BANANA,1.0,each,566.99,g,FOOD - GROCERY
I-10116,36,KIMCHI 4L,1.0,jar,4.0,L,FOOD - GROCERY
I-3823,7,KLONDIKE CONE CHOC/VAN KING,1.0,cs,12.0,BAR,ICECREAM/NOVELTY/GELATO
I-14933,7,KLONDIKE KANDY BAR,24.0,BAR,1.0,BAR,ICECREAM/NOVELTY/GELATO
I-14934,7,KLONDIKE VANILLA SANDWICH,1.0,cs,24.0,BAR,ICECREAM/NOVELTY/GELATO
I-36765,40,LA COSTENA Jalapeno Slices,24.0,ea,1.0,ea,MM Grocery Cereal
I-4705,38,"LEEKS DICED 1/4 MX""",5.0,lb,1.0,lb,PRODUCE
I-39499,61,LID PLAS OVAL CLEAR DOME,300.0,ea,1.0,ea,DISPOSABLES
I-1160,24,LOAF BANANA (8 PORTION SLICED),8.0,CT,1.0,CT,BAKED GOODS
I-52561,24,LOAF CHOCOLATE PECAN IND GF,24.0,each,1.0,each,BAKED GOODS
I-1186,24,LOAF COUNTRY MULTIGRAIN,1.0,LOAF,1.0,LOAF,BREAD
I-1275,24,LOAF WHOLE WHEAT SANDWICH ,1.0,LOAF,1.0,LOAF,BREAD
I-22023,13,LOBSTER MEAT OW,1.0,lb,1.0,lb,SEAFOOD
I-49360,23,MADE GOOD Ban Choc Chip Minis,24.0,ea,1.0,ea,MM Grocery
I-49353,23,MADE GOOD Choc Chip Minis,24.0,ea,1.0,ea,MM Grocery
I-49355,23,MADE GOOD Choc Crispy Sqr,12.0,ea,1.0,ea,MM Grocery
I-49359,23,MADE GOOD Strawberry Minis,24.0,ea,1.0,ea,MM Grocery
