ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-52622,9,OAT BARISTA G/FREE ,12.000,ea,0.946,L,DAIRY
I-45691,55,RISE Ginger 414 ml,12.000,ea,1.000,ea,BEVERAGE
I-44101,55,RISE Kombucha Bby Maple 414ml,12.000,ea,1.000,ea,BEVERAGE
I-55627,55,TONICA BLUEBERRY 355ML,12.000,each,1.000,each,BEVERAGE
I-55632,55,TONICA GOJI GRAPEFR 355ML,12.000,each,1.000,each,BEVERAGE
I-55629,55,TONICA GREEN TEA 355 ML,12.000,each,1.000,each,BEVERAGE
I-55630,55,TONICA MANGO 355ML,12.000,each,1.000,each,BEVERAGE
I-55631,55,TONICA ORIGINAL 355ML,12.000,each,1.000,each,BEVERAGE
I-52119,55,WILD TEA Kombucha Cola,24.000,ea,1.000,ea,BEVERAGE
I-52121,55,WILD TEA Kombucha Cream Soda,24.000,ea,1.000,ea,BEVERAGE
I-52118,55,WILD TEA Kombucha Orange,24.000,ea,1.000,ea,BEVERAGE
I-52120,55,WILD TEA Kombucha Rootbeer,24.000,ea,1.000,ea,BEVERAGE
