ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-3437,18,BEANS PEA YELLOW SPLIT TFC,10.000,Kg,1.000,Kg,FOOD - GROCERY
I-11213,58,CARDAMOM GREEN EXT JUMBO,5.000,lb,454.000,g,SPICES
I-63867,26,CHIP PITA SIMPLY NAKED TFC,40.000,each,1.000,each,"CHIPS, PRETZELS, NUTS"
I-17051,58,CURRY LEAVES ,2.270,Kg,1000.000,g,SPICES
I-29244,58,MUSTARD SEED BLACK 800G,1.000,ea,800.000,g,SPICES
I-3702,26,NUT ALMONDS SLICED NATURAL,25.000,lb,1.000,lb,FOOD - GROCERY
I-2768,1,SAMOSA BEEF ,1.000,CT,1.000,CT,FOOD - GROCERY
I-61648,3,BEYOND MEAT SAUSAGE VEG ORIG,50.000,each,1.000,ea,MEAT
I-8305,6,CHEESE GOAT LOG,1.000,Kg,1.000,Kg,DAIRY
I-4776,38,PARSNIPS (20 LBS) BC,1.000,lb,1.000,lb,PRODUCE
I-9274,41,PASTA GNOCCHI POTATO,6.000,Kg,1.000,Kg,FOOD - GROCERY
I-11093,51,POTATO RED BABY B'S,50.000,lb,1.000,lb,PRODUCE
I-4947,40,WATERCRESS(24 CT) US,3.000,BUNCH,1.000,CT,PRODUCE
