ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-13422,,BURGER 4OZ NATURAL HALAL,1.0,cs,42.0,CT,MEAT
I-63034,,BURGER VEG MALIBU GARDENBURGER,48.0,CT,1.0,CT,FOOD - GROCERY
I-64468,,CHICK BREAST CRUNCH BREADED FZ,4.0,Kg,1.0,Kg,POULTRY
I-1254,,"CIABATTA BUN 5""X 5"" PLAIN ",12.0,CT,1.0,CT,BREAD
I-62225,,EGG LRG 15 DOZEN LOOSE,15.0,DOZ,12.0,CT,DAIRY
I-62736,,HAMBURGER BUN WW VEGAN 100gr,1.0,ea,1.0,ea,BREAD
I-64492,,LOAF GARLIC BREAD,1.0,LOAF,1.0,LOAF,BREAD
I-3356,,MILK CONDENSED SWEET,24.0,SM CAN,300.0,ml,FOOD - GROCERY
I-1223,,"PANINI SUB ITALIAN - 7""",12.0,CT,1.0,CT,BREAD
I-53707,,PAPRIKA BULK,5.0,lb,1.0,lb,SPICES
I-5115,,SAL SOX FLT S/ON PBO PRV  OW,1.0,lb,1.0,lb,SEAFOOD
I-29357,,Soup 1 (10L mon-fri),10.0,L,1.0,L,PRODUCTION FOOD
I-29356,,Soup 2 (10L mon-fri),10.0,L,1.0,L,PRODUCTION FOOD
I-1273,,SOURDOUGH BREAD COUNTRY ,1.0,LOAF,1.0,LOAF,BREAD
I-63866,,TOMATO POLPA MUTTI,10.0,Kg,1.0,Kg,FOOD - GROCERY
I-2281,,YOGURT VANILLA STIRRED 650G ,1.0,TUB,1.0,650G,DAIRY
