IngredientId,Qty,Uom,Recipe
I-1971,0.25,ea,R-17284
I-8228,1.0,fl oz,R-17284
I-15803,1.0,can,R-17284
I-5505,0.25,HEAD,R-18292
I-8667,2.0,fl oz,R-18292
I-11706,1.0,ea,R-18292
I-13308,1.0,ea,R-18292
I-15514,0.5,slice,R-18292
I-16699,100.0,g,R-18292
I-16780,1.5,fl oz,R-18292
I-17976,20.0,g,R-18292
I-4082,3.0,ea,R-15423
I-14694,3.0,fl oz,R-15423
I-14715,7.0,oz,R-15423
I-15427,2.0,fl oz,R-15423
I-1789,1.0,HEAD,P-14356
I-2919,6.0,ea,P-14356
I-13956,6.0,PORT,P-14356
P-14372,6.0,PORT,P-14356
P-15606,6.0,PORT,P-14356
I-1660,1560.0,ml,R-6243
I-1752,3.0,BUNCH,R-6243
I-1782,10.0,L,R-6243
I-1874,200.0,g,R-6243
I-1982,20.0,L,R-6243
I-2119,100.0,ml,R-6243
I-2330,36.0,g,R-6243
I-5198,320.0,ml,R-6243
I-1841,1700.0,ml,R-13758
I-1874,500.0,g,R-13758
I-1941,1000.0,ml,R-13758
I-1995,600.0,g,R-13758
I-2102,12.0,Kg,R-13758
I-2343,72.0,g,R-13758
I-2436,500.0,ml,R-13758
I-3804,12.0,g,R-13758
I-4198,625.0,g,R-13758
I-5283,444.0,g,R-13758
I-5899,24.0,ea,R-13758
I-13711,192.0,g,R-13758
I-13733,12.0,Kg,R-13758
I-1874,1.0,Kg,R-13736
I-2119,250.0,ml,R-13736
I-2640,250.0,ml,R-13736
I-2958,1.0,Kg,R-13736
I-1752,3.0,BUNCH,R-13737
I-1783,6.0,L,R-13737
I-1874,1.0,Kg,R-13737
I-1927,1.0,Kg,R-13737
I-2066,3.25,Kg,R-13737
I-2117,2.0,Kg,R-13737
I-2119,500.0,ml,R-13737
I-2324,80.0,g,R-13737
I-2330,30.0,g,R-13737
I-2339,500.0,g,R-13737
I-2367,1.16,g,R-13737
I-2464,35.0,L,R-13737
I-2640,10.0,L,R-13737
I-2958,1.0,g,R-13737
I-5283,410.0,g,R-13737
I-5428,80.0,g,R-13737
I-5803,310.0,g,R-13737
I-7648,2.0,Kg,R-13737
I-11651,24.0,Kg,R-13737
I-13711,1.0,Kg,R-13737
I-13718,60.0,g,R-13737
I-1841,900.0,ml,R-13747
I-1894,300.0,g,R-13747
I-1941,300.0,ml,R-13747
I-2066,1.6,Kg,R-13747
I-2116,1.5,Kg,R-13747
I-2117,1.5,Kg,R-13747
I-2167,4.0,Kg,R-13747
I-2343,130.0,g,R-13747
I-2442,375.0,ml,R-13747
I-4198,300.0,g,R-13747
I-5106,1.5,Kg,R-13747
I-5283,145.0,g,R-13747
I-14979,4.0,Kg,R-13747
I-1635,2000.0,ml,R-14906
I-4091,15.0,g,R-14906
I-14882,20.0,Kg,R-14906
I-2328,5.0,g,R-12613
I-2335,10.0,g,R-12613
I-2337,0.4,fl oz,R-12613
I-4091,2.0,g,R-12613
I-5796,150.0,ml,R-12613
I-12752,100.0,g,R-12613
I-1782,4.0,fl oz,R-16573
I-1894,10.0,g,R-16573
I-2203,4.0,fl oz,R-16573
I-4014,16.0,ea,R-16573
I-10955,160.0,g,R-16573
I-14532,40.0,g,R-16573
I-16221,40.0,g,R-16573
I-16572,20.0,g,R-16573
I-1637,2.0,oz,R-15511
I-1752,0.05,BUNCH,R-15511
I-1892,2.0,oz,R-15511
I-1971,0.25,ea,R-15511
I-6243,4.0,fl oz,R-15511
I-7647,2.0,ea,R-15511
I-10942,2.0,ea,R-15511
I-13719,1.0,ea,R-15511
I-17039,30.0,g,R-15511
I-17040,20.0,g,R-15511
I-2119,30.0,ml,R-10484
I-9013,200.0,g,R-10484
I-9665,1.0,ea,R-10484
I-10510,0.2,fl oz,R-10484
I-13719,1.0,ea,R-10484
I-1841,0.5,fl oz,R-17356
I-2087,0.2,BUNCH,R-17356
I-2119,15.0,ml,R-17356
I-2209,3.0,g,R-17356
I-2640,1.0,oz,R-17356
I-3804,5.0,g,R-17356
I-13414,1.0,PORT,R-17356
I-17486,1.0,PORT,R-17356
I-2119,50.0,ml,R-16570
I-5283,5.0,g,R-16570
I-10387,17.5,g,R-16570
I-15834,330.0,g,R-16570
I-16548,42.5,ml,R-16570
I-7647,2.0,ea,R-16576
I-13719,1.0,ea,R-16576
I-16570,2.0,PORT,R-16576
I-16572,0.1,g,R-16576
I-16574,40.0,g,R-16576
I-16575,30.0,g,R-16576
I-1541,2.0,ea,R-17377
I-1941,5.0,ml,R-17377
I-2209,1.0,g,R-17377
I-2323,0.25,tsp,R-17377
I-2367,60.0,g,R-17377
I-2640,20.0,ml,R-17377
I-12212,3.0,g,R-17377
I-1863,0.5,lb,R-16775
I-2067,0.5,lb,R-16775
I-2119,100.0,ml,R-16775
I-2203,60.0,ml,R-16775
I-4014,3.0,ea,R-16775
I-8460,60.0,ml,R-16775
I-12266,60.0,ml,R-16775
I-12354,4.0,piece,R-16775
I-13719,2.0,ea,R-16775
I-14666,60.0,ml,R-16775
I-17316,1.0,PORT,R-16775
I-1549,40.0,ea,R-16016
I-1675,1000.0,g,R-16016
I-1782,500.0,ml,R-16016
I-1783,1500.0,ml,R-16016
I-1874,2.0,oz,R-16016
I-2068,0.5,Kg,R-16016
I-2323,1.0,Tbsp,R-16016
I-2349,200.0,g,R-16016
I-4184,100.0,ml,R-16016
I-1783,500.0,ml,R-17360
I-2037,225.0,g,R-17360
I-2640,4.0,L,R-17360
I-13817,490.0,g,R-17360
I-1588,2.8,L,R-13937
I-1841,200.0,ml,R-13937
I-1874,20.0,g,R-13937
I-1941,80.0,ml,R-13937
I-2087,0.5,BUNCH,R-13937
I-2099,100.0,g,R-13937
I-2119,200.0,ml,R-13937
I-5731,100.0,g,R-13937
I-13719,2.0,ea,R-13937
I-2119,10.0,ml,R-17486
I-2209,3.0,g,R-17486
I-7338,4.0,oz,R-17486
I-8851,10.0,g,R-17486
I-2209,5.0,g,R-16833
I-8851,10.0,g,R-16833
I-13706,5.0,oz,R-16833
I-2119,10.0,ml,R-16789
I-13706,6.0,oz,R-16789
I-16787,20.0,g,R-16789
I-2209,5.0,g,R-16787
