IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
P-48933,1.000,Kg,1.00000000,1.0000,P-10113
I-4626,16.000,CT,1.00000000,2.6667,P-10115
I-3388,1.000,L,1.00000000,0.3058,P-10496
I-4660,2.270,Kg,2.20462000,0.6942,P-10496
I-12176,4.000,g,0.00100000,0.3636,P-12112
I-1813,400.000,ml,0.03381406,36.3636,P-12112
I-3337,4.000,L,1.00000000,0.3636,P-12112
I-3387,100.000,ml,0.00100000,9.0909,P-12112
I-3447,199.000,ml,1.00000000,18.0909,P-12112
I-3507,6.000,L,1.00000000,0.5455,P-12112
I-3639,30.000,g,1.00000000,2.7273,P-12112
I-3642,4.000,g,1.00000000,0.3636,P-12112
I-3658,350.000,g,0.00100000,31.8182,P-12112
I-47774,200.000,ml,0.00100000,18.1818,P-12112
I-2156,1.000,Kg,1.00000000,1.0000,P-14069
I-5983,100.000,ml,0.00100000,100.0000,P-14069
I-3363,5.000,Kg,2.20462000,1.0000,P-15353
I-5983,1.750,L,1.00000000,0.3500,P-15353
I-4679,1.000,BUNCH,1.00000000,0.0063,P-18318
I-4792,10.000,Kg,2.20462000,1.2048,P-18746
I-3643,225.000,g,0.00100000,0.1837,P-18907
I-6026,1000.000,g,1.00000000,0.8163,P-18907
I-6807,2.270,Kg,2.20462000,1.4188,P-19175
I-4590,10.000,Kg,2.20462000,1.2195,P-19208
I-4593,12.000,CT,1.00000000,1.3333,P-20248
I-4626,10.000,CT,1.00000000,2.6316,P-21077
I-3159,1.000,bottle,1.00000000,0.0010,P-22247
I-3449,2.840,L,1.00000000,1.3786,P-22250
I-4381,1.000,lb,1.00000000,1.1111,P-24452
P-26514,500.000,g,1.00000000,1000.0000,P-24750
I-3619,3.000,leaf,0.21476900,1.3233,P-25761
I-3649,10.000,g,1.00000000,4.4111,P-25761
I-3660,1.000,Kg,1.00000000,0.4411,P-25761
I-3698,2.000,L,1.00000000,0.8822,P-25761
I-4660,5.000,g,0.00220462,2.2056,P-25761
I-4757,2.267,Kg,2.20462000,1.0000,P-25761
I-6026,5.000,g,1.00000000,2.2056,P-25761
P-52036,2.000,g,1.00000000,0.8822,P-25761
I-3643,225.000,g,0.00100000,0.1837,P-26019
I-6026,1000.000,g,1.00000000,0.8163,P-26019
I-2911,15.000,g,0.00100000,3.7500,P-26048
I-3370,50.000,ml,1.00000000,12.5000,P-26048
I-3388,3.000,L,1.00000000,0.7500,P-26048
I-3692,1.000,L,1.00000000,0.2500,P-26048
I-5983,25.000,ml,0.00100000,6.2500,P-26048
P-18907,10.000,g,1.00000000,2.5000,P-26048
P-6605,30.000,g,0.00100000,7.5000,P-26048
I-1813,250.000,ml,0.03381406,250.0000,P-26058
I-3388,750.000,ml,0.00100000,750.0000,P-26058
I-6443,400.000,ml,0.03381406,13.3333,P-26062
P-18907,15.000,g,1.00000000,0.5000,P-26062
P-44429,23.000,Kg,1.00000000,0.7667,P-26062
P-48495,300.000,g,1.00000000,10.0000,P-26062
P-51535,1.000,Kg,1000.00000000,0.0333,P-26062
P-57499,5.000,Kg,1.00000000,0.1667,P-26062
I-1813,350.000,ml,0.03381406,26.9231,P-26067
