PrepId,Description,PakQty,PakUOM,InventoryGroup
P-27317,BATCH|3 Bean Vegetable Chili,21.000,Kg,PREP
P-56699,BATCH|Cauliflower Wings|Baked,1.000,Kg,
P-64163,Batch|Chicken Burger|Shoyu,7.650,Kg,PREP
P-26333,BATCH|Citrus Herb Aioli,3.000,L,PREP
P-53598,BATCH|Coleslaw mix,1.500,Kg,
P-56398,BATCH|Guacamole,4.500,Kg,PREP
P-26075,BATCH|Jalapeno Cilantro Slaw,5.000,Kg,PREP
P-56700,BATTER|Cauliflower Wings,1.000,L,
P-15353,BATTER|Tempura,5.000,L,PREP
P-64865,big chicken wing|GRL,9.900,Kg,
P-49760,BLANCHED|Sprouts Spinach,0.200,Kg,
P-45062,BREADING|Chick Wings|GFree,7.300,Kg,PREP
P-51231,BURGER|Sets|basic,275.000,each,
P-46863,BUTTER|Clarified,0.750,Kg,
P-26077,BUTTER|Garlic|Good,2.268,Kg,PREP
P-24750,CHOPPED|Cilantro,0.500,Kg,
P-53735,CHOPPED|pickle,900.000,g,
P-55099,COOKED|6 oz Burger Patty,1.000,PTN,
P-34084,COOKED|Bacon,0.020,Kg,PREP
P-51508,COOKED|Bacon|(2) Slice,2.000,slice,
P-56910,COOKED|burger blend|GRL,1.000,PTN,
P-46545,COOKED|Cajun Chicken,17.000,Kg,PREP
P-51130,COOKED|Chicken Thigh|Boneless,140.000,g,PREP
P-56717,COOKED|Chicken thigh|Burger,140.000,g,
P-50862,COOKED|Turkey Roast|SL,22.500,Kg,PREP
P-64696,COOKED|Turkey|Sliced|50g,50.000,g,
P-46546,CRUMBLED|Feta,2.900,Kg,
P-41095,"DICED|Celery|1/4""",13.608,Kg,
P-10115,DICED|Cucumber,6.000,Kg,
P-9741,DICED|Green Onion|1/8,1.000,Kg,
P-50839,DICED|Green Pepper,800.000,g,
P-9768,DICED|GreenPepper|1/4 ,0.500,lb,
P-50552,DICED|Onion Yellow,23.000,lb,
P-43440,"DICED|Red Onion 1/4""",11.010,Kg,PREP
P-57499,DICED|Red Onion 1/8,11.000,Kg,PREP
P-50837,DICED|Red Pepper,800.000,g,
P-9765,"DICED|Red Pepper|1/4""",1.000,Kg,
P-44429,"DICED|Roma Tomato|1/4""",1.000,Kg,PREP
P-38556,"DICED|Yellow Onion|1/4""",11.400,Kg,
P-55135,DRAINED|Jackfruit,7.200,Kg,
P-22250,DRAINED|Jalapeno Sliced,2.060,Kg,
P-32663,DRAINED|Kalamata Olives,2.000,Kg,ZDONT USE OK - PREP
P-35273,DRAINED|Pickle Spear,11.400,Kg,PREP
P-26515,DRESSING|Asian Slaw,3.500,L,PREP
P-26048,DRESSING|Balsamic Vinny|FF,4.000,L,CK - FOOD
P-26074,DRESSING|Cilantro Slaw ,5.000,L,PREP
P-26058,DRESSING|Citrus Oil,1.000,L,PREP
P-44793,FLX|Kuterra Salmon Yield,0.750,lb,PREP
P-49267,FRITTER|Cod|Battered,1.000,Kg,
P-41021,Grill|Gravy Beef,20.000,L,PREP
P-51965,GRL|Cheese Curd|Portion,60.000,g,
P-44587,GRL|FRIED|Egg,1.000,ea,
P-36090,GRL|Roasted Shallot Mayo,2.000,L,PREP
P-36141,MARINATED|Marinated Portobella,1.814,Kg,PREP
P-46614,MIX|Ranch|Dry,520.000,g,
P-26019,MIX|Salt and Pepper,1225.000,g,ZDONT USE OK - PREP
P-18907,MIX|Salt&Pepper,1225.000,g,
P-56492,MIX|Tuna Salad,570.000,g,
P-50778,PICKLED|Cucumber|Slices,1.950,Kg,PREP
P-44651,PICKLED|Farm Veg,1.500,Kg,PREP
P-25761,PICKLED|Red Onion,2.267,Kg,PREP
P-56933,PORTION|Kimchi,30.000,g,
P-56716,PORTION|Salmon kuterra|Burger,100.000,g,
P-64878,PREP|Burger patty|TMRW,120.000,g,
P-50583,PREP|Capers|chopped,450.000,g,
P-50967,PREP|Carrot Noodles|,1.000,Kg,
P-48495,PREP|Cilantro|Minced,100.000,g,
P-53618,PREP|Coleslaw mixed|,1.000,Kg,
P-14069,PREP|Egg Liquid mix|Egg wash,1.000,L,
P-7444,PREP|Garlic Puree,4.000,Kg,PREP
P-9849,PREP|Gravy|Poutine,4.000,L,PREP
P-55150,PREP|Greek salad|Feta,0.250,Kg,
P-10113,PREP|Green Onion|Slice,1.000,Kg,
P-53367,PREP|Jerk Jackfruit,12.000,Kg,
P-53366,PREP|Jerk Marinade,5.000,Kg,
P-57093,PREP|Large Diced|Cucumber,275.000,g,
P-46865,PREP|Lemon|slices,78.000,g,
P-65353,PREP|Oyster mushroom|CRUNCH,750.000,g,
P-42499,PREP|Pickle Juice,1.000,L,
P-50584,PREP|Pickle|Chopped,1.000,Kg,
P-6605,PREP|Pureed Garlic|USE ME,2.500,Kg,PREP
P-46637,PREP|Sauteed Mushrooms|GRL,2.000,Kg,PREP
P-65354,PREP|sauteed oyster mushroom ,1.000,Kg,
P-54676,PREP|Sesame Spinach & Sprouts,250.000,g,
P-46869,PREP|Shallot Brunoise,0.850,Kg,
P-40584,PREP|Shallot Crispy,9.000,Kg,PREP
P-53620,PREP|Slice Onion white,1.500,Kg,
P-46862,PREP|Slice|Roma,20.000,slice,PREP
P-9781,PREP|Tomato Chopped|large,0.454,Kg,
P-9778,PREP|Tomato|Processed,0.720,Kg,
P-10496,PUREE|Ginger|Kg - FT,3.270,Kg,PREP
P-34880,PUREE|Ginger|OK - KG,4.800,Kg,PREP
P-36089,PUREE|Shallot|Roasted,2.268,Kg,PREP
P-9838,SALAD|Asian Slaw,4.750,Kg,
