ProdId,Description,SalesGroup
R-44765,ADD|Gravy|3oz,GV GRILL DAY
R-64698,FF|Burger|TMRW mushroom crunch,GV FRESH FARE DAY
R-61978,FLX|Fish Fritters|160g| AAD,GV - FLEX BC
R-56157,GRL|Big Burger|kimchiBacon|AAD,GV GRILL FEATURE
R-44655,GRL|Big Burger|Lumberjack|AAD,GV GRILL DAY
R-68378,GRL|Burger|Alumni|AAD,GV GRILL DAY
R-36098,GRL|Burger|Alumni|bacon cheese,GV GRILL DAY
R-65248,GRL|Burger|BBQ TMRW |AAD,GV GRILL DAY
R-69135,GRL|Burger|Greek TMRW|AAD,GV GRILL DAY
R-53579,GRL|Burger|Jackfruit|AAD,GV GRILL FEATURE
R-61830,GRL|Burger|Portobello|AAD,GV GRILL DAY
R-44931,GRL|Burger|Salmon|AAD,GV GRILL DAY
R-61982,GRL|Cauliflower Bites|AAD 160g,GV GRILL DAY
R-55469,GRL|Chicken Burger|Cajun|AAD,GV GRILL FEATURE
R-28251,GRL|Chicken Burger|Guaco bacon,GV GRILL DAY
R-56454,GRL|Chicken Burger|Maui|AAD,GV GRILL DAY
R-45150,GRL|Chicken Burger|Shoyu|AAD,GV GRILL DAY
R-43964,GRL|Chicken Burger|Thai Chili,GV GRILL DAY
R-52133,GRL|Chili Dog|AAD,SPECIALS
R-50669,GRL|Grilled Cheese|Bacon Avo,GV GRILL FEATURE
R-50668,GRL|Grilled Cheese|Jalapeno,GV GRILL FEATURE
R-68406,GRL|Grilled Cheese|kimchi|AAD,GV GRILL FEATURE
R-36139,GRL|GrilledCheese|Classic|AAD,GV GRILL DAY
R-53419,GRL|Plant base dog 1|AAD,SPECIALS
R-44775,GRL|Poutine|Classic|AAD,GV GRILL DAY
R-57094,GRL|Poutine|Jalepeno|AAD,GV GRILL DAY
R-56456,GRL|Sand|Monte Cristo|AAD,GV - GRILL BREAKFAST
R-50491,GRL|Sand|Reuben|AAD,GV GRILL FEATURE
R-56493,GRL|Sandwich|Tuna Melt|AAD,OK - GRILL KITCHEN FEATURES
R-44770,GRL|Side|Chicken Strips,GV GRILL DAY
R-45233,GRL|Side|Potato Fries,GV GRILL DAY
R-44774,GRL|Side|Yam Fries|AAD,GV GRILL DAY
R-69609,GRL|TMRW Burger|Cajun|AAD,GV GRILL FEATURE
R-69629,GRL|TMRW|Buffalo Burger|AAD,SPECIALS
R-64866,the big chicken wing|GRL,GV GRILL DAY
R-61859,FF|Bowl|Poached Egg Asparagus,GV FRESH FARE DAY
