ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-1028,0.008333333,1,CT,120,g
I-1034,0.008333333,1,CT,120,g
I-1035,0.01,1,CT,100,g
I-10605,0.008849558,1,CT,113,g
I-1126,0.006666667,1,CT,150,g
I-1127,0.006666667,1,CT,150,g
I-1141,0.013333333,1,CT,75,g
I-1143,0.013333333,1,CT,75,g
I-11519,0.02,1,bag,50,g
I-1152,0.013333333,1,CT,75,g
I-11842,0.002202643,1,LOAF,454,g
I-1207,0.008333333,1,CT,120,g
I-1223,0.0001,1,CT,10000,ml
I-1232,0.02,1,slice,50,g
I-1252,0.00025,1,CT,4000,ml
I-1254,0.004166667,0.5,CT,120,g
I-1257,0.008333333,1,CT,120,g
I-1273,0.002202643,1,LOAF,454,g
I-13004,0.002202643,1,CT,454,g
I-15032,0.002202643,1,LOAF,454,g
I-15358,0.013333333,1,ea,75,g
I-17615,0.071428571,1,slice,14,g
I-17617,0.071428571,1,slice,14,g
I-17686,0.013333333,1,ea,75,g
I-18089,0.008333333,1,ea,120,g
I-18915,0.033333333,1,ea,30,g
I-19735,0.008333333,1,CT,120,g
I-2159,0.02,1,CT,50,g
I-2281,0.000116923,0.076,650G,650,g
I-2306,0.05,1,slice,20,g
I-2310,0.05,1,slice,20,g
I-24227,0.002202643,1,LOAF,454,g
I-2586,0.008333333,1,CT,120,g
I-2669,0.000862069,0.125,PIE,145,g
I-28899,0.04,1,each,25,g
I-28904,0.033333333,1,each,30,g
I-28907,0.025,1,each,40,g
I-28920,0.005882353,1,each,170,g
I-29663,0.036363636,1,ea,27.5,g
I-29665,0.025,1,each,40,g
I-29688,0.008333333,1,ea,120,g
I-30178,0.008333333,1,SHEET,120,g
I-3103,0.033333333,1,CT,30,g
I-3143,0.000352113,1,can,2840,ml
I-32258,0.02,1,ea,50,g
I-32263,0.033333333,1,ea,30,g
I-32268,0.02,1,ea,50,g
I-3387,0.001,1,L,1000,ml
I-3676,0.000352113,1,LG CAN,2840,ml
I-3688,0.008333333,1,CT,120,g
I-3738,0.003030303,1,330ML,330,ml
I-41181,0.008333333,1,ea,120,g
I-4341,0.012597838,1,CT,79.3787,g
I-43608,0.002985075,1,can,335,ml
I-4507,0.005555556,1,piece,180,g
I-4640,7.69E-05,1,cs,13000,g
I-46598,0.02,1,ea,50,g
I-4823,0.003333333,12,HEAD,3600,g
I-49128,0.008333333,1,CT,120,g
I-52016,0.008849558,1,ea,113,g
I-52090,0.007692308,1,CT,130,g
I-55414,0.008333333,1,each,120,g
I-57496,0.0125,1,each,80,g
I-57497,0.0125,1,each,80,g
I-62225,0.014705882,4,CT,272,g
I-62736,0.01,1,ea,100,g
I-64492,0.002202643,1,LOAF,454,g
I-8140,0.0125,1,ea,80,g
I-8374,0.036363636,1,ea,27.5,g
I-8856,0.026785714,6,ea,224,g
P-13890,0.02,30,slice,1500,g
P-13944,0.008474576,1,ea,118,g
P-14076,0.008571429,6,PTN,700,g
P-14077,0.004285714,6,PTN,1400,g
P-14200,0.002790698,3,PTN,1075,g
P-14282,0.010909091,48,ea,4400,g
P-14366,0.030857143,540,piece,17500,g
P-14833,0.002,1,PTN,500,g
P-16305,0.008928571,1,ea,112,g
P-22963,0.004830918,1,ea,207,ml
P-24618,0.007462687,1,PTN,134,g
P-26047,0.02,50,ea,2500,g
P-26056,0.002222222,1,ea,450,g
P-26057,0.02,1,ea,50,g
P-26170,0.008,1,ea,125,g
P-26234,0.0125,16,ea,1280,g
P-26318,0.020408163,10,ea,490,g
P-26481,0.02,1,ea,50,g
P-26631,0.005882353,24,ea,4080,g
P-26965,0.008333333,12,piece,1440,g
P-27418,0.008333333,1,ea,120,g
P-28225,0.003333333,1,PTN,300,g
P-28369,0.028571429,1,ea,35,g
P-28372,0.071428571,1,slice,14,g
P-28373,0.005405405,1,un,185,g
P-33556,0.004545455,1,each,220,g
P-35132,0.007692308,185,ea,24050,g
P-35713,0.007692308,185,ea,24050,g
P-36066,0.002739726,3,ea,1095,ml
P-36793,0.005714286,2,ea,350,g
P-36815,0.002739726,2,ea,730,ml
P-36868,0.00532398,10,ea,1878.294,g
P-37297,0.02,1,each,50,g
P-37871,0.004,1,ea,250,g
P-38314,0.02,1,ea,50,g
P-39135,0.002739726,2,ea,730,ml
P-40407,0.004338395,1,1UN,230.5,g
P-41727,0.003044449,15,PTN,4927,g
P-42552,0.003333333,1,pak,300,g
P-42553,0.003333333,1,pak,300,g
P-42554,0.003333333,1,pak,300,g
P-42555,0.003333333,1,pak,300,g
P-42556,0.003333333,1,pak,300,g
P-42557,0.003333333,1,pak,300,g
P-42558,0.003333333,1,pak,300,g
P-43635,0.004,25,ea,6250,g
P-43637,0.002739726,1,ea,365,ml
P-43638,0.002739726,2,ea,730,ml
P-43737,0.02,20,each,1000,g
P-44309,0.002739726,1,PTN,365,ml
P-44353,0.010719755,7,PTN,653,g
P-44392,0.02,8,each,400,g
P-44438,0.002,1,PTN,500,g
P-44497,0.038461538,6,each,156,g
P-44506,0.025,4,each,160,g
P-44512,0.006060606,12,each,1980,g
P-44585,0.095238095,8,piece,84,g
P-44587,0.02,1,ea,50,g
P-44907,0.023529412,48,PTN,2040,g
P-45255,0.015384615,70,piece,4550,g
P-45964,0.006953224,110,ea,15820,g
P-46509,0.006666667,3,PTN,450,g
P-46641,0.005813953,30,PTN,5160,g
P-46862,0.044052863,20,slice,454,g
P-47207,0.002150538,1,PTN,465,g
P-47208,0.002739726,1,PTN,365,g
P-47226,0.2,1,PTN,5,g
P-47228,0.005813953,1,PTN,172,g
P-47267,0.002197802,1,PTN,455,g
P-47324,0.021264028,180,each,8465,g
P-47362,0.007782101,2,ea,257,g
P-47365,0.02,2,each,100,g
P-47366,0.02,12,each,600,g
P-47509,0.5,2,each,4,g
P-47610,0.002061856,1,PTN,485,g
P-47805,0.004,1,PTN,250,g
P-48520,0.023060797,22,slice,954,g
P-48635,0.002222222,1,each,450,g
P-48863,0.005354752,12,CT,2241,g
P-49035,0.011428571,4,each,350,g
P-49636,0.008333333,12,ea,1440,g
P-49970,0.004225352,72,CT,17040,g
P-50398,0.033333333,12,CT,360,g
P-50439,0.066666667,3,piece,45,g
P-50505,0.016666667,2,each,120,ml
P-50627,0.002739726,2,srvg,730,ml
P-50641,0.001538462,1,un,650,g
