ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-13422,59,BURGER 4OZ NATURAL HALAL,1,cs,42,CT,MEAT
I-63034,59,BURGER VEG MALIBU GARDENBURGER,48,CT,1,CT,FOOD - GROCERY
I-64468,4,CHICK BREAST CRUNCH BREADED FZ,4,Kg,1,Kg,POULTRY
I-1254,24,"CIABATTA BUN 5""X 5"" PLAIN ",12,CT,1,CT,BREAD
I-62225,11,EGG LRG 15 DOZEN LOOSE,15,DOZ,12,CT,DAIRY
I-62736,24,HAMBURGER BUN WW VEGAN 100gr,1,ea,1,ea,BREAD
I-64492,24,LOAF GARLIC BREAD,1,LOAF,1,LOAF,BREAD
I-3356,9,MILK CONDENSED SWEET,24,SM CAN,300,ml,FOOD - GROCERY
I-1223,24,"PANINI SUB ITALIAN - 7""",12,CT,1,CT,BREAD
I-53707,54,PAPRIKA BULK,5,lb,1,lb,SPICES
I-5115,12,SAL SOX FLT S/ON PBO PRV  OW,1,lb,1,lb,SEAFOOD
I-29357,55,Soup 1 (10L mon-fri),10,L,1,L,PRODUCTION FOOD
I-29356,55,Soup 2 (10L mon-fri),10,L,1,L,PRODUCTION FOOD
I-1273,24,SOURDOUGH BREAD COUNTRY ,1,LOAF,1,LOAF,BREAD
I-63866,37,TOMATO POLPA MUTTI,10,Kg,1,Kg,FOOD - GROCERY
I-2281,10,YOGURT VANILLA STIRRED 650G ,1,TUB,1,650G,DAIRY
