ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-4465,,ASPARAGUS (LARGE) MX,11.0,lb,1.0,lb,PRODUCE
I-22443,,BAMBOO SHOOTS STRIP,6.0,LG CAN,2.84,L,PRODUCE
I-13791,,BAR GF NANAIMO 3X3 WRAPPED,12.0,CT,1.0,CT,BAKED GOODS
I-10616,,BEANS ROMANO ,1.0,lb,1.0,lb,PRODUCE
I-3912,,BURGER VEGGIE  44CT FZN,44.0,CT,1.0,CT,MEAT
I-63679,,BUTTERHORNS EACH,1.0,ea,1.0,ea,BAKED GOODS
I-31545,,CAKE CARROT CARM STACK,48.0,slice,1.0,slice,BAKED GOODS
I-1057,,CAKE CHOC TRIPLE TIGER 12X16IN,2.0,SHEET,1.0,SHEET,BAKED GOODS
I-60871,,CAKE SHEET CHOC LAYER 12X16IN,2.0,SHEET,1.0,SHEET,BAKED GOODS
I-4582,,CARROTS BABY BUNCHED BC,1.0,each,1.0,CT,PRODUCE
I-3125,,CEREAL RICE KRISPIE SQ,6.0,ea,1.0,ea,FOOD - GROCERY
I-29698,,"CHEESECAKE 2"" MINI",40.0,ea,1.0,ea,BAKED GOODS
I-55331,,CHICK BREAST BL/SO HAL TENDOUT,1.0,Kg,1.0,Kg,POULTRY
I-3999,,CHICK DRUMSTICK HALAL,1.0,Kg,1.0,Kg,POULTRY
I-11670,,COLESLAW MIX CABBAGE&CARROT,5.0,lb,1.0,lb,PRODUCE
I-1392,,COOKIE GF GINGER VEGAN ,12.0,CT,1.0,CT,BAKED GOODS
I-37470,,CORN HOMINY,6.0,LG CAN,2835.0,g,FOOD - GROCERY
I-19540,,FENUGREEK LEAVES DRY,454.0,g,1.0,g,FOOD - GROCERY
I-19923,,HALIBUT STEAK 4OZ.OW,1.0,lb,1.0,lb,SEAFOOD
I-19634,,LOAF FRENCH BREAD,1.0,ea,1.0,LOAF,BREAD
I-3397,,OLIVE RIPE BLACK SLCD,6.0,LG CAN,2.84,L,FOOD - GROCERY
I-3094,,PEPPERCORN BLACK WHOLE ,3.0,Kg,1.0,Kg,SPICES
I-63680,,POPPYHORNS,1.0,ea,1.0,ea,BAKED GOODS
I-3852,,PORK BUTT SHLDR BNLS N/NFR,1.0,Kg,1.0,Kg,MEAT
I-22915,,PORK FEET CUT,1.0,Kg,1.0,Kg,MEAT
I-1250,,PRETZEL PIZZA EACH,1.0,ea,1.0,CT,BAKED GOODS
I-3506,,SAUCE BBQ SMOKEY TFC,2.0,JUG,3.78,L,FOOD - GROCERY
I-3540,,SAUCE SAMBAL OELEK,3.0,jar,3500.0,L,FOOD - GROCERY
I-64876,,TMRW BURGER PATTIES VEGAN,40.0,each,1.0,each,MEAT
I-3110,,TOFU EXTRA FIRM GREEN,12.0,pak,350.0,g,FOOD - GROCERY
I-2949,,TOMATO SAN MARZANO LA REGINA,6.0,LG CAN,100.0,fl oz,FOOD - GROCERY
I-10265,,TOMATOES HEIRLOOM BC,1.0,lb,1.0,lb,PRODUCE
I-3771,,YERBA MATE TEA ORG TRADITIONAL,6.0,lb,1.0,lb,BEVERAGE
I-37475,,PASTE ACHIOTE,110.0,g,1.0,g,FOOD - GROCERY
I-62863,,CK|G&G|HMR|Meat Ball & Pasta.,1.0,ea,1.0,ea,PRODUCTION FOOD
I-36996,,"SANDWICH BACON, CHEDD & TOMATO",1.0,ea,1.0,ea,FOOD - GROCERY
I-36999,,SANDWICH CASATA FALAFEL,1.0,ea,1.0,ea,FOOD - GROCERY
I-36998,,SANDWICH CHICKEN CRANCHERRY,1.0,ea,1.0,ea,FOOD - GROCERY
I-36995,,SANDWICH EGG SALAD,1.0,ea,1.0,ea,FOOD - GROCERY
I-37000,,SANDWICH HAM & CHEESE,1.0,ea,1.0,ea,FOOD - GROCERY
I-36997,,SANDWICH SALMON SALAD,1.0,ea,1.0,ea,FOOD - GROCERY
I-38987,,WRAP BREAKFAST HAM & CHEESE,1.0,ea,1.0,ea,FOOD - GROCERY
I-38988,,WRAP BREAKFAST MEDITERRANEAN,1.0,ea,1.0,ea,FOOD - GROCERY
I-1790,,JUICE APPLE 100% UNSWT TETRA,40.0,PTN,1.0,PTN,BEVERAGE
I-16060,,SUMAC GROUND,1.0,each,454.0,g,SPICES
I-4849,,SALAD MIX ARTISAN,3.0,bag,2.0,lb,PRODUCE
I-8105,,SAL LOX SMK SLC OW,1.0,lb,1.0,lb,SEAFOOD
I-64877,,TMRW SAUSAGE BREAKFAST PATTY,100.0,each,1.0,ea,MEAT
I-2309,,HAM FESTIVE ,1.0,Kg,1.0,Kg,DELI & PREPARED MEAT
