IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
P-18746,1.000,Kg,1.00000000,1.0000,P-10241
I-3388,1.000,L,1.00000000,0.3058,P-10496
I-4660,2.270,Kg,2.20462000,0.6942,P-10496
I-3451,2.560,L,1.00000000,1.2800,P-13933
I-4679,1.000,BUNCH,1.00000000,0.0063,P-18318
I-4793,10.000,Kg,2.20462000,1.2048,P-18746
I-3643,225.000,g,0.00100000,0.1837,P-18907
I-6026,1000.000,g,1.00000000,0.8163,P-18907
I-6807,2.270,Kg,2.20462000,1.4188,P-19175
I-4626,10.000,CT,1.00000000,2.6316,P-21077
I-4695,454.000,g,0.00220462,1.3969,P-22534
I-4381,1.000,lb,1.00000000,1.1111,P-24452
P-26514,500.000,g,1.00000000,1000.0000,P-24750
I-3619,3.000,leaf,0.21476900,0.6000,P-25761
I-3649,10.000,g,1.00000000,2.0000,P-25761
I-3660,1.000,Kg,1.00000000,0.2000,P-25761
I-3698,2.000,L,1.00000000,0.4000,P-25761
I-4660,5.000,g,0.00220462,1.0000,P-25761
I-4750,2.267,Kg,2.20462000,0.4534,P-25761
I-6026,5.000,g,1.00000000,1.0000,P-25761
P-52036,2.000,g,1.00000000,0.4000,P-25761
I-3642,1.000,Kg,1000.00000000,0.0002,P-25993
I-6026,5.000,Kg,1000.00000000,0.0008,P-25993
I-3388,750.000,ml,0.00100000,300.0000,P-26020
I-4657,2.270,Kg,2.20462000,0.9080,P-26020
I-6443,400.000,ml,0.03381406,13.3333,P-26062
P-18907,250.000,g,1.00000000,8.3333,P-26062
P-24750,300.000,g,0.00100000,10.0000,P-26062
P-44429,23.000,Kg,1.00000000,0.7667,P-26062
P-56811,1.000,Kg,1.00000000,0.0333,P-26062
P-57499,5.000,Kg,1.00000000,0.1667,P-26062
I-1813,350.000,ml,0.03381406,26.9231,P-26067
I-19152,4.500,Kg,1.00000000,0.3462,P-26067
I-26960,6.000,L,1.00000000,0.4615,P-26067
I-2980,40.000,g,0.00100000,3.0769,P-26067
I-3336,4.000,L,1.00000000,0.3077,P-26067
