ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-44765,ADD|Gravy|3oz,GV GRILL DAY,0.0,0.0,0.0,0.0,0.0
R-64698,FF|Burger|TMRW mushroom crunch,GV FRESH FARE DAY,100.0,152.25,1.48,41920.0,1282170.0
R-61978,FLX|Fish Fritters|160g| AAD,GV - FLEX BC,0.25,2.342575,0.0016875,6.225,55.075
R-56157,GRL|Big Burger|kimchiBacon|AAD,GV GRILL FEATURE,229.9999948000002,3403.412069953517,27.59179895552804,176969.1945980322,6217125.802601767
R-44655,GRL|Big Burger|Lumberjack|AAD,GV GRILL DAY,229.9999948000002,3403.412069953517,27.59179895552804,176969.1945980322,6217125.802601767
R-68378,GRL|Burger|Alumni|AAD,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-36098,GRL|Burger|Alumni|bacon cheese,GV GRILL DAY,227.39800028000013,4965.583329894917,40.15084102612404,253941.3260366042,9360971.404529676
R-65248,GRL|Burger|BBQ TMRW |AAD,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-69135,GRL|Burger|Greek TMRW|AAD,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-53579,GRL|Burger|Jackfruit|AAD,GV GRILL FEATURE,100.0,152.25,1.48,41920.0,1282170.0
R-61830,GRL|Burger|Portobello|AAD,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-44931,GRL|Burger|Salmon|AAD,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-61982,GRL|Cauliflower Bites|AAD 160g,GV GRILL DAY,0.25,2.342575,0.0016875,6.225,55.075
R-55469,GRL|Chicken Burger|Cajun|AAD,GV GRILL FEATURE,113.0,154.116,1.5712,42285.75,1300969.45
R-28251,GRL|Chicken Burger|Guaco bacon,GV GRILL DAY,114.000000084,276.99560074847363,2.7862000078372002,63750.200130981204,2408653.4067589007
R-56454,GRL|Chicken Burger|Maui|AAD,GV GRILL DAY,184.000000084,391.4226007484736,2.9002000078372,63932.200130981204,2409249.4067589007
R-45150,GRL|Chicken Burger|Shoyu|AAD,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-43964,GRL|Chicken Burger|Thai Chili,GV GRILL DAY,100.0,152.25,1.48,41920.0,1282170.0
R-52133,GRL|Chili Dog|AAD,SPECIALS,153.99999389800033,569.8047907097055,5.733899909690406,111418.79744204173,4728685.021761991
R-50669,GRL|Grilled Cheese|Bacon Avo,GV GRILL FEATURE,42.00000044800001,374.23680399185923,3.918600041798401,65490.60069856641,3379450.23604747
R-50668,GRL|Grilled Cheese|Jalapeno,GV GRILL FEATURE,56.00000072800001,498.9824064867713,5.224800067922401,87320.80113517042,4505933.658577139
R-68406,GRL|Grilled Cheese|kimchi|AAD,GV GRILL FEATURE,56.00000072800001,498.9824064867713,5.224800067922401,87320.80113517042,4505933.658577139
R-36139,GRL|GrilledCheese|Classic|AAD,GV GRILL DAY,112.75000515450037,585.3842882261181,6.064700133434607,111110.40299075936,5233565.190332398
R-53419,GRL|Plant base dog 1|AAD,SPECIALS,216.9999938980004,454.6660907097057,3.5095999096904054,69793.79744204173,2578251.421761991
R-44775,GRL|Poutine|Classic|AAD,GV GRILL DAY,80.0,712.8319999999999,7.464,124744.0,6437048.0
R-57094,GRL|Poutine|Jalepeno|AAD,GV GRILL DAY,20.0,10.058,0.158,1626.0,58790.0
R-56456,GRL|Sand|Monte Cristo|AAD,GV - GRILL BREAKFAST,28.00000056000001,249.49120498982407,2.612400052248001,43660.40087320802,2252966.845059337
R-50491,GRL|Sand|Reuben|AAD,GV GRILL FEATURE,168.00000056000002,456.845204989824,4.438000052248001,85760.40087320801,3537552.845059337
R-56493,GRL|Sandwich|Tuna Melt|AAD,OK - GRILL KITCHEN FEATURES,133.0000001680003,443.70570149694765,3.8744000156744045,79320.40026196252,3343083.313517805
R-44770,GRL|Side|Chicken Strips,GV GRILL DAY,0.0,0.0,0.0,0.0,0.0
R-45233,GRL|Side|Potato Fries,GV GRILL DAY,0.0,0.0,0.0,0.0,0.0
R-44774,GRL|Side|Yam Fries|AAD,GV GRILL DAY,32.0,100.8288,0.0064,2160.0,158007.04
R-69609,GRL|TMRW Burger|Cajun|AAD,GV GRILL FEATURE,339.0000000000024,312.2030000000017,2.904600000000014,42285.75,1300969.45
R-69629,GRL|TMRW|Buffalo Burger|AAD,SPECIALS,329.0000000000024,312.2030000000017,2.837100000000014,42083.5,1289620.2
R-64866,the big chicken wing|GRL,GV GRILL DAY,70.0,220.563,0.014,4725.0,345640.4
R-61859,FF|Bowl|Poached Egg Asparagus,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-51215,FF|Bowl|White bean breaky|AAD,GV FRESH FARE BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-36647,FF|Egg'sadilla|Just egg,GV FRESH FARE BREAKFAST,120.0000048000002,182.7000073080003,1.776000071040003,50304.00201216008,1538604.0615441627
R-47287,FF|Omelet|Egg White ,GV FRESH FARE BREAKFAST,250.0,947.6890000000001,14.131,163685.0,5878692.0
R-65755,FF|Sandwich|breakfast TMRW|AAD,GV FRESH FARE BREAKFAST,1.0,9.8315,0.1328,1810.3,54242.7
R-62001,FLX|Benny|Classic|AAD,GV FLEX GLOBAL BOWL,75.0000187500047,114.18752854688215,1.1100002775000697,31440.00786000197,961627.7404069353
R-68110,FLX|Benny|fennel|AAD,GV FLEX GLOBAL BOWL,75.0000187500047,114.18752854688215,1.1100002775000697,31440.00786000197,961627.7404069353
R-48357,FLX|Eggs Benny|Smk Salmon|AAD,GV-FLEX DOD,115.0000187500047,313.37952854688217,3.9220002775000697,94660.00786000196,1300963.7404069353
R-62379,FLX|hash| squash and tempeh,GV - FLEX BC,0.0,0.0,0.0,0.0,0.0
R-54377,GR|Sandwich|Classic BLT|AAD,SANDWICHES,45.0,145.8045,0.009,62.99999999999999,612.0
R-50312,GRL|Benny |Avocado spinach|AAD,GV - GRILL BREAKFAST,66.49999694900016,91.05024535485275,0.9151999548452024,24497.798721020867,753821.0108809954
R-62002,GRL|Benny|Asparagus|FLX ,GV GRILL BRUNCH,75.0000187500047,114.18752854688215,1.1100002775000697,31440.00786000197,961627.7404069353
R-68109,GRL|Benny|Crispy chicken|AAD,GV - GRILL BREAKFAST,112.99999389800033,172.0424907097055,1.672399909690405,47369.59744204173,1448852.0217619909
R-62012,GRL|Benny|Ham & mustard|AAD,GV GRILL FEATURE,75.0000187500047,114.18752854688215,1.1100002775000697,31440.00786000197,961627.7404069353
R-44024,GRL|Bowl|Gather & Run|AAD,GV - GRILL BREAKFAST,75.00000187500005,114.18750285468758,1.1100000277500008,31440.000786000022,961627.5240406882
R-48488,GRL|BOWL|Huevos Rancheros|AAD,GV - GRILL BREAKFAST,150.00000187500007,392.4760028546875,3.2720000277500008,62633.00078600002,2570957.5240406883
R-44650,GRL|Bowl|Professors|Breakfast,GV - GRILL BREAKFAST,20.0,2.5145,0.14075000000000001,709.875,31721.375
R-68107,GRL|Bowl|Thunderbird Breakfast,GV GRILL BRUNCH,0.0,0.0,0.0,0.0,0.0
R-61844,GRL|BreakfastBurritoBowl|AAD,GV - GRILL BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-51146,GRL|Crepe|Ham and Swiss|AAD,GV GRILL DAY,173.00000536000022,637.6212122978243,7.044400123288004,130170.4028853681,4876424.9066035
R-67745,GRL|Crepe|Mushroom Swiss|AAD,GV - GRILL BREAKFAST,254.0000098800004,490.1456171109126,4.858200168204006,122438.20446092417,4203691.545617994
R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,280.0000096000004,783.6400146160006,3.660000142080006,101604.00402432017,3086020.1230883254
R-50570,GRL|Crepe|Peach|AAD,OK - GRILL BRUNCH,240.0000096000004,365.4000146160006,3.552000142080006,100608.00402432017,3077208.1230883254
R-69126,GRL|French Toast Black|AAD,GV GRILL BRUNCH,119.10000531180042,373.82855808721615,4.466130078614646,63990.18222670673,2118769.8181063114
R-68973,GRL|French Toast Raz |AAD,GV GRILL BRUNCH,119.10000531180042,373.82855808721615,4.466130078614646,63990.18222670673,2118769.8181063114
R-51383,GRL|Gather breakfast|RATIO,GV - GRILL BREAKFAST,56.25001406250352,247.47756186939048,6.570001642500411,20829.380207345053,18759.37968984492
R-68108,GRL|Pancakes|apple cin|AAD(1),GV - GRILL BREAKFAST,45.0,73.863,0.0,454.5,2934.0
R-36646,GRL|Pancakes|Blueberry|AAD,GV - GRILL BREAKFAST,45.0,73.863,0.0,454.5,2934.0
R-68099,GRL|Pancakes|Strawberry|AAD ,GV - GRILL BREAKFAST,45.0,73.863,0.0,454.5,2934.0
R-61822,GRL|Side|hashbrowns|,GV - GRILL BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-44738,GRL|Side|Tomato,GV - GRILL BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-62249,GRL|Side|wilted Bfast spinach,GV - GRILL BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-54846,HC|Benny |Pulled Pork|AAD,SPECIALS,0.0,0.0,0.0,0.0,0.0
R-54202,FF|Bibimbap Bowl|AAD,GV FRESH FARE DAY,72.0,52.1108,0.5773999999999999,7461.6,432566.6
R-64951,FF|Bowl|Asparagus scramble|AAD,GV FRESH FARE BREAKFAST,20.0,178.20799999999997,1.866,31186.0,1609262.0
R-27275,FF|Bowl|Black Bean Break|AAD,GV FRESH FARE BREAKFAST,0.0,0.0,0.0,0.0,0.0
