ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-44765,ADD|Gravy|3oz,GV GRILL DAY,0,0,0,0,0
R-64698,FF|Burger|TMRW mushroom crunch,GV FRESH FARE DAY,0,0,0,0,0
R-61978,FLX|Fish Fritters|160g| AAD,GV - FLEX BC,0,0,0,0,0
R-56157,GRL|Big Burger|kimchiBacon|AAD,GV GRILL FEATURE,0,0,0,0,0
R-44655,GRL|Big Burger|Lumberjack|AAD,GV GRILL DAY,0,0,0,0,0
R-68378,GRL|Burger|Alumni|AAD,GV GRILL DAY,0,0,0,0,0
R-36098,GRL|Burger|Alumni|bacon cheese,GV GRILL DAY,0,0,0,0,0
R-65248,GRL|Burger|BBQ TMRW |AAD,GV GRILL DAY,0,0,0,0,0
R-69135,GRL|Burger|Greek TMRW|AAD,GV GRILL DAY,0,0,0,0,0
R-53579,GRL|Burger|Jackfruit|AAD,GV GRILL FEATURE,0,0,0,0,0
R-61830,GRL|Burger|Portobello|AAD,GV GRILL DAY,0,0,0,0,0
R-44931,GRL|Burger|Salmon|AAD,GV GRILL DAY,0,0,0,0,0
R-61982,GRL|Cauliflower Bites|AAD 160g,GV GRILL DAY,0,0,0,0,0
R-55469,GRL|Chicken Burger|Cajun|AAD,GV GRILL FEATURE,0,0,0,0,0
R-28251,GRL|Chicken Burger|Guaco bacon,GV GRILL DAY,0,0,0,0,0
R-56454,GRL|Chicken Burger|Maui|AAD,GV GRILL DAY,0,0,0,0,0
R-45150,GRL|Chicken Burger|Shoyu|AAD,GV GRILL DAY,0,0,0,0,0
R-43964,GRL|Chicken Burger|Thai Chili,GV GRILL DAY,0,0,0,0,0
R-52133,GRL|Chili Dog|AAD,SPECIALS,0,0,0,0,0
R-50669,GRL|Grilled Cheese|Bacon Avo,GV GRILL FEATURE,0,0,0,0,0
R-50668,GRL|Grilled Cheese|Jalapeno,GV GRILL FEATURE,0,0,0,0,0
R-68406,GRL|Grilled Cheese|kimchi|AAD,GV GRILL FEATURE,0,0,0,0,0
R-36139,GRL|GrilledCheese|Classic|AAD,GV GRILL DAY,0,0,0,0,0
R-53419,GRL|Plant base dog 1|AAD,SPECIALS,0,0,0,0,0
R-44775,GRL|Poutine|Classic|AAD,GV GRILL DAY,0,0,0,0,0
R-57094,GRL|Poutine|Jalepeno|AAD,GV GRILL DAY,0,0,0,0,0
R-56456,GRL|Sand|Monte Cristo|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-50491,GRL|Sand|Reuben|AAD,GV GRILL FEATURE,0,0,0,0,0
R-56493,GRL|Sandwich|Tuna Melt|AAD,OK - GRILL KITCHEN FEATURES,0,0,0,0,0
R-44770,GRL|Side|Chicken Strips,GV GRILL DAY,0,0,0,0,0
R-45233,GRL|Side|Potato Fries,GV GRILL DAY,0,0,0,0,0
R-44774,GRL|Side|Yam Fries|AAD,GV GRILL DAY,0,0,0,0,0
R-69609,GRL|TMRW Burger|Cajun|AAD,GV GRILL FEATURE,0,0,0,0,0
R-69629,GRL|TMRW|Buffalo Burger|AAD,SPECIALS,0,0,0,0,0
R-64866,the big chicken wing|GRL,GV GRILL DAY,0,0,0,0,0
R-61859,FF|Bowl|Poached Egg Asparagus,GV FRESH FARE DAY,0,0,0,0,0
R-51215,FF|Bowl|White bean breaky|AAD,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-36647,FF|Egg'sadilla|Just egg,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-47287,FF|Omelet|Egg White ,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-65755,FF|Sandwich|breakfast TMRW|AAD,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-62001,FLX|Benny|Classic|AAD,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-68110,FLX|Benny|fennel|AAD,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-48357,FLX|Eggs Benny|Smk Salmon|AAD,GV-FLEX DOD,0,0,0,0,0
R-62379,FLX|hash| squash and tempeh,GV - FLEX BC,0,0,0,0,0
R-54377,GR|Sandwich|Classic BLT|AAD,SANDWICHES,0,0,0,0,0
R-50312,GRL|Benny |Avocado spinach|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-62002,GRL|Benny|Asparagus|FLX ,GV GRILL BRUNCH,0,0,0,0,0
R-68109,GRL|Benny|Crispy chicken|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-62012,GRL|Benny|Ham & mustard|AAD,GV GRILL FEATURE,0,0,0,0,0
R-44024,GRL|Bowl|Gather & Run|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-48488,GRL|BOWL|Huevos Rancheros|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-44650,GRL|Bowl|Professors|Breakfast,GV - GRILL BREAKFAST,0,0,0,0,0
R-68107,GRL|Bowl|Thunderbird Breakfast,GV GRILL BRUNCH,0,0,0,0,0
R-61844,GRL|BreakfastBurritoBowl|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-51146,GRL|Crepe|Ham and Swiss|AAD,GV GRILL DAY,0,0,0,0,0
R-67745,GRL|Crepe|Mushroom Swiss|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,0,0,0,0,0
R-50570,GRL|Crepe|Peach|AAD,OK - GRILL BRUNCH,0,0,0,0,0
R-69126,GRL|French Toast Black|AAD,GV GRILL BRUNCH,0,0,0,0,0
R-68973,GRL|French Toast Raz |AAD,GV GRILL BRUNCH,0,0,0,0,0
R-51383,GRL|Gather breakfast|RATIO,GV - GRILL BREAKFAST,0,0,0,0,0
R-68108,GRL|Pancakes|apple cin|AAD(1),GV - GRILL BREAKFAST,0,0,0,0,0
R-36646,GRL|Pancakes|Blueberry|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-68099,GRL|Pancakes|Strawberry|AAD ,GV - GRILL BREAKFAST,0,0,0,0,0
R-61822,GRL|Side|hashbrowns|,GV - GRILL BREAKFAST,0,0,0,0,0
R-44738,GRL|Side|Tomato,GV - GRILL BREAKFAST,0,0,0,0,0
R-62249,GRL|Side|wilted Bfast spinach,GV - GRILL BREAKFAST,0,0,0,0,0
R-54846,HC|Benny |Pulled Pork|AAD,SPECIALS,0,0,0,0,0
R-54202,FF|Bibimbap Bowl|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-64951,FF|Bowl|Asparagus scramble|AAD,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-27275,FF|Bowl|Black Bean Break|AAD,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-65942,FF|Bowl|chilimiso scramble|AAD,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-43738,FF|BOWL|Dobanjiang Noodle|AAD ,OK - VEGETARIAN KITCHEN,0,0,0,0,0
R-57179,FF|Bowl|Fajita VEG|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-54039,FF|Bowl|Kale|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-55057,FF|Bowl|Mediterranean|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-64398,FF|Bowl|OysterMushroom|AAD,SPECIALS,0,0,0,0,0
R-65761,FF|Bowl|Poached Egg Zuc.|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-35341,FF|Bowl|Polenta|AAD,OK - SIDES,0,0,0,0,0
R-50333,FF|Bowl|Roasted squash|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-65513,FF|Bowl|Salsa scramble|AAD,GV FRESH FARE BREAKFAST,0,0,0,0,0
R-40621,FF|Bowl|Thai Coconut|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-56895,FF|Brussel Sprout Pasta|AAD,OK - GLOBAL KITCHEN ,0,0,0,0,0
