ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
,1.00000000,1.0000,XXX,1.0000,L
,0.87719298,1.0000,1.14L,1.1400,L
,0.66666667,1.0000,1.5L,1.5000,L
,0.57142857,1.0000,1.75 L,1.7500,L
,0.50000000,1.0000,2L,2.0000,L
,0.25000000,1.0000,4L,4.0000,L
,0.08333333,1.0000,FOOT,12.0000,INCH
,0.06250000,1.0000,16L,16.0000,L
,0.05917160,1.0000,1/2LTR,16.9000,fl oz
,0.03937008,1.0000,750ML,25.4000,fl oz
,0.03333333,1.0000,KEG 30L,30.0000,L
,0.02597403,1.0000,1140ml,38.5000,fl oz
,0.02500000,1.0000,full in,40.0000,PTN
,0.02000000,1.0000,KEG 50L,50.0000,L
,0.01706485,1.0000,KEG 59L,58.6000,L
,0.01666667,1.0000,HOUR,60.0000,MINUTE
,0.00200000,1.0000,500ML,500.0000,ml
,0.00153846,1.0000,650ML,650.0000,ml
,0.00151515,1.0000,660ML,660.0000,ml
,0.00142857,1.0000,700ML,700.0000,ml
,0.00140845,1.0000,710ml,710.0000,ml
,0.00133333,1.0000,750ML,750.0000,ml
,0.00059172,1.0000,keg50L,1690.0000,fl oz
,0.00050403,1.0000,keg59L,1984.0000,fl oz
,2.00000000,2.0000,cup,1.0000,pt
,2.00000000,2.0000,pt,1.0000,qt
,2.00000000,2.0000,Tbsp,1.0000,fl oz
,3.00000000,3.0000,tsp,1.0000,Tbsp
,4.00000000,4.0000,qt,1.0000,gal
,8.00000000,8.0000,fl oz,1.0000,cup
,16.00000000,16.0000,oz,1.0000,lb
,28.34950000,28.3495,g,1.0000,oz
,29.57350000,29.5735,ml,1.0000,fl oz
,35.21126761,100.0000,fl oz,2.8400,L
,1000.00000000,1000.0000,g,1.0000,Kg
,1000.00000000,1000.0000,mg,1.0000,g
,1000.00000000,1000.0000,ml,1.0000,L
I-1813,0.03278689,1.0000,fl oz,30.5000,g
I-1813,0.00409836,1.0000,cup,244.0000,g
I-2217,0.06666667,1.0000,Tbsp,15.0000,g
I-2251,0.03278689,1.0000,fl oz,30.5000,g
I-2251,0.00409836,1.0000,cup,244.0000,g
I-2251,0.00102459,1.0000,qt,976.0000,g
I-3223,0.06666667,1.0000,Tbsp,15.0000,g
I-3223,0.00442478,1.0000,cup,226.0000,g
I-3284,0.23809524,1.0000,tsp,4.2000,g
I-3284,0.07692308,1.0000,Tbsp,13.0000,g
I-3284,0.00480769,1.0000,cup,208.0000,g
I-3365,0.00401606,1.0000,cup,249.0000,g
I-3365,0.00100000,1.0000,L,1000.0000,g
I-3386,0.22222222,1.0000,tsp,4.5000,g
I-3386,0.07352941,1.0000,Tbsp,13.6000,g
I-3386,0.00458716,1.0000,cup,218.0000,g
I-3388,0.22222222,1.0000,tsp,4.5000,g
I-3388,0.07142857,1.0000,Tbsp,14.0000,g
I-3388,0.00458716,1.0000,cup,218.0000,g
I-3625,0.38461538,1.0000,tsp,2.6000,g
I-3625,0.12820513,1.0000,Tbsp,7.8000,g
I-3638,0.45454545,1.0000,tsp,2.2000,g
I-3638,0.14285714,1.0000,Tbsp,7.0000,g
I-3642,0.14492754,1.0000,Tbsp,6.9000,g
I-3643,0.14492754,1.0000,Tbsp,6.9000,g
I-3660,0.23809524,1.0000,tsp,4.2000,g
I-3660,0.00500000,1.0000,cup,200.0000,g
I-3661,0.40000000,1.0000,tsp,2.5000,g
I-3670,0.05000000,1.0000,Tbsp,20.0000,g
I-3670,0.00317460,1.0000,cup,315.0000,g
I-4472,0.00735294,1.0000,CT,136.0000,g
I-5983,0.03378378,1.0000,fl oz,29.6000,g
I-5983,0.00100000,1.0000,L,1000.0000,g
I-6006,0.22222222,1.0000,tsp,4.5000,g
I-6006,0.07407407,1.0000,Tbsp,13.5000,g
I-6006,0.00462963,1.0000,cup,216.0000,g
I-6443,0.03246753,1.0000,fl oz,30.8000,g
I-6443,0.00406504,1.0000,cup,246.0000,g
I-8060,0.07042254,1.0000,Tbsp,14.2000,g
I-8060,0.00440529,1.0000,cup,227.0000,g
I-14181,0.07142857,1.0000,slice,14.0000,g
I-17618,0.07142857,1.0000,slice,14.0000,g
I-20348,0.23809524,1.0000,tsp,4.2000,g
I-20348,0.07692308,1.0000,Tbsp,13.0000,g
