PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-50310,BATTER|Pancake|Carrot Cake,5.000,L,PREP,5000.0,ml,3404.646,0.6809292,3.0815,0.0006163000000000001,843073.0,168.6146,25652461.0,5130.4922
P-50317,BATTER|Pancake|Lemon Poppyseed,5.000,L,PREP,5000.0,ml,4059.7599999999998,0.811952,3.3120000000000003,0.0006624000000000001,1220420.0,244.084,52056860.0,10411.372
P-28285,BATTER|Pancakes,4.800,Kg,PREP,4800.0,g,3045.0,0.634375,2.96,0.0006166666666666666,841200.0,175.25,25646200.0,5342.958333333333
P-50739,COMPOTE|Apple Cinnamon,2.500,L,PREP,2500.0,ml,1524.8314999999998,0.6099325999999999,0.712125,0.00028485,294612.0,117.8448,2752509.0,1101.0036
P-26063,COMPOTE|Blueberry,2.600,L,PREP,2600.0,ml,3561.19,1.3696884615384615,0.5197499999999999,0.00019990384615384613,734537.5,282.5144230769231,29430837.5,11319.552884615385
P-26044,COMPOTE|Mixed Berry,3.300,L,PREP,3300.0,ml,4241.104000000001,1.2851830303030307,0.6817500000000001,0.00020659090909090912,918344.0,278.28606060606063,36757573.5,11138.658636363636
P-50513,COMPOTE|Peach,6.000,L,PREP,6000.0,ml,3485.148,0.580858,1.5322500000000001,0.000255375,46273.0,7.712166666666667,763537.0,127.25616666666667
P-50337,COMPOTE|Peach Rosemary,5.500,L,,5500.0,ml,2411.7825000000003,0.43850590909090914,1.36975,0.00024904545454545454,21547.5,3.917727272727273,107267.5,19.50318181818182
P-58949,COMPOTE|Strawberry,3.268,L,PREP,3268.0,ml,4241.104,1.2977674418604652,0.6817500000000001,0.0002086138310893513,918344.0,281.01101591187273,36757573.5,11247.727509179927
P-26058,DRESSING|Citrus Oil,1.000,L,PREP,1000.0,ml,2528.625,2.528625,0.0825,8.25e-05,10400.0,10.4,346575.0,346.575
P-50316,DRIZZLE|Cream Cheese,1.200,L,PREP,1200.0,ml,9567.009,7.9725075,9.82,0.008183333333333334,1609231.0,1341.0258333333334,82911112.0,69092.59333333334
P-26055,EGG|Scrambled,850.000,g,ZDONT USE OK - PREP,850.000,g,3661.5,4.307647058823529,6.12,0.0072,632900.0,744.5882352941177,18621000.0,21907.058823529413
P-26057,FRIED|Sunny/Overeasy Egg,1.000,ea,ZDONT USE OK - PREP,50.0,g,189.5552,3.7911040000000003,0.30604,0.006120799999999999,31647.8,632.956,931077.2,18621.543999999998
P-44587,GRL|FRIED|Egg,1.000,ea,,50.0,g,189.5552,3.7911040000000003,0.30604,0.006120799999999999,31647.8,632.956,931077.2,18621.543999999998
P-25993,MIX|Salt and Pepper - FT,6000.000,g,,6000.000,g,11570.300000000001,1.9283833333333336,0.675,0.00011250000000000001,24900.0,4.15,220300.0,36.71666666666667
P-18907,MIX|Salt&Pepper,1225.000,g,,1225.000,g,2548.3175,2.0802591836734696,0.151875,0.0001239795918367347,5602.5,4.573469387755102,49567.5,40.46326530612245
P-46862,PREP|Slice|Roma,20.000,slice,PREP,454.0000044946001,g,314.7128,0.69319999313732,0.35866000000000003,0.000789999992179,34958.0,76.9999992377,2034237.7999999998,4480.699955641069
