ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-44765,ADD|Gravy|3oz,GV GRILL DAY,90.0,79.50539699999999,0.7657425,9046.56177,395881.9586100001
R-64698,FF|Burger|TMRW mushroom crunch,GV FRESH FARE DAY,330.0,610.2505604090242,3.824165862735854,52582.69851098898,1691431.717372356
R-61978,FLX|Fish Fritters|160g| AAD,GV - FLEX BC,300.25,1512.710499214577,17.240579679061707,405943.6568776725,6053856.624203175
R-56157,GRL|Big Burger|kimchiBacon|AAD,GV GRILL FEATURE,534.9999931000002,11351.813518726149,94.66048234014839,599246.637069444,20761244.4071235
R-44655,GRL|Big Burger|Lumberjack|AAD,GV GRILL DAY,554.9999931000002,10939.255235536664,88.7982511719305,510223.85895412066,18314972.931035206
R-68378,GRL|Burger|Alumni|AAD,GV GRILL DAY,305.0000046360002,6642.580107536332,53.040717422248036,308031.4686416469,11154346.621147914
R-36098,GRL|Burger|Alumni|bacon cheese,GV GRILL DAY,367.3980007645001,5764.59821736217,49.490238528821294,369800.7873858763,13060926.846393341
R-65248,GRL|Burger|BBQ TMRW |AAD,GV GRILL DAY,340.0,630.5632837543606,5.167843418037111,60891.6120990147,2149429.15092654
R-69135,GRL|Burger|Greek TMRW|AAD,GV GRILL DAY,280.0,558.8989977729733,5.371461927761467,82323.6982260652,3307556.3841784415
R-53579,GRL|Burger|Jackfruit|AAD,GV GRILL FEATURE,300.0,395.6017402939568,2.638131983757311,45325.05259958574,1387977.7750795367
R-61830,GRL|Burger|Portobello|AAD,GV GRILL DAY,275.0,448.1929309125842,4.224713543639496,64141.33642829711,2236011.9092849884
R-44931,GRL|Burger|Salmon|AAD,GV GRILL DAY,250.0,920.7480688195884,11.332954033908239,256489.52784884683,2596358.9462123644
R-61982,GRL|Cauliflower Bites|AAD 160g,GV GRILL DAY,182.25,248.99484235598314,2.2183649132818384,36052.842150543525,1210804.097544914
R-55469,GRL|Chicken Burger|Cajun|AAD,GV GRILL FEATURE,307.2968748569489,1024.4830811878014,23.243407691749585,112862.15324024986,1551242.8943996483
R-28251,GRL|Chicken Burger|Guaco bacon,GV GRILL DAY,391.0000005685,1749.6100549316936,32.687468321596754,240986.33903609784,5778425.44750722
R-56454,GRL|Chicken Burger|Maui|AAD,GV GRILL DAY,414.000000084,1358.5505143632813,25.837133537428425,143522.218577918,3086725.988654658
R-45150,GRL|Chicken Burger|Shoyu|AAD,GV GRILL DAY,350.0,991.6493624803418,20.095885617318885,108466.46823013827,1854752.055833195
R-43964,GRL|Chicken Burger|Thai Chili,GV GRILL DAY,300.0,1004.5744836151636,23.13059921348244,112776.51533188969,1518048.5352972238
R-52133,GRL|Chili Dog|AAD,SPECIALS,239.99999389800033,671.5737661633237,6.443676743217993,114774.09782197178,4892561.001316653
R-50669,GRL|Grilled Cheese|Bacon Avo,GV GRILL FEATURE,192.000001348,1082.1710625464466,12.782569185786352,187858.2615770653,7208960.429649927
R-50668,GRL|Grilled Cheese|Jalapeno,GV GRILL FEATURE,191.000001628,655.8891134591853,6.801639454669002,110036.48283138721,5376547.538906177
R-68406,GRL|Grilled Cheese|kimchi|AAD,GV GRILL FEATURE,181.000001628,649.764634494784,6.650861946578387,107703.14383462345,5307142.029197439
R-36139,GRL|GrilledCheese|Classic|AAD,GV GRILL DAY,122.75000515450037,679.624012854857,6.887056423685612,119330.00587088575,5638949.265827553
R-53419,GRL|Plant base dog 1|AAD,SPECIALS,286.9999938980004,567.9904922940389,4.130113146171978,72821.85388529509,2699290.879142481
R-44775,GRL|Poutine|Classic|AAD,GV GRILL DAY,400.0,863.802924515306,8.97295581632653,126565.20818494898,6528012.386251275
R-57094,GRL|Poutine|Jalepeno|AAD,GV GRILL DAY,410.0,695.652924515306,7.27260019132653,97038.11299744897,4978835.688813776
R-56456,GRL|Sand|Monte Cristo|AAD,GV - GRILL BREAKFAST,298.00000146,1413.7488553225028,21.989215855706746,208153.72940221208,6333308.199324267
R-50491,GRL|Sand|Reuben|AAD,GV GRILL FEATURE,308.00000056,4877.378877717098,39.06362833507629,268677.15562068275,10398109.76788762
R-56493,GRL|Sandwich|Tuna Melt|AAD,OK - GRILL KITCHEN FEATURES,218.0000001680003,710.2247902878657,7.423126679633802,156310.03957672577,3803921.306906207
R-44770,GRL|Side|Chicken Strips,GV GRILL DAY,332.50000731250014,1275.4821791306008,30.35872870995049,99139.9192968293,330193.89398569986
R-45233,GRL|Side|Potato Fries,GV GRILL DAY,230.0,150.97092451530614,1.4401564413265306,1525.0648724489795,79306.66318877552
R-44774,GRL|Side|Yam Fries|AAD,GV GRILL DAY,242.0,331.56867099489796,1.0984824362244896,3512.004209183673,222894.5747704082
R-69609,GRL|TMRW Burger|Cajun|AAD,GV GRILL FEATURE,393.29687485695126,378.93940471721487,3.412451809396657,45761.10029907337,1490718.629693766
R-69629,GRL|TMRW|Buffalo Burger|AAD,SPECIALS,409.0000000000024,539.3320710338237,5.143003951394217,61356.34337354228,2357952.9312395398
R-64866,the big chicken wing|GRL,GV GRILL DAY,522.0,2713.795935579962,64.31526293314282,207167.62207825054,545102.2780695048
R-61859,FF|Bowl|Poached Egg Asparagus,GV FRESH FARE DAY,390.0,901.0475817429343,7.703609613223322,218878.6051022894,2697395.036387764
R-51215,FF|Bowl|White bean breaky|AAD,GV FRESH FARE BREAKFAST,415.0,896.2729658039383,7.118673362884471,170200.67268053148,3268378.4328191006
R-36647,FF|Egg'sadilla|Just egg,GV FRESH FARE BREAKFAST,395.00000480000017,552.335189447535,5.378958848696587,83374.93878433053,2564845.839282468
R-47287,FF|Omelet|Egg White ,GV FRESH FARE BREAKFAST,253.0,955.3592077000001,14.13353575,163716.4241,5879733.7077
R-65755,FF|Sandwich|breakfast TMRW|AAD,GV FRESH FARE BREAKFAST,252.99999886,703.2052405818273,7.4067666129333825,94190.28405985488,2879476.2446523085
R-62001,FLX|Benny|Classic|AAD,GV FLEX GLOBAL BOWL,235.0000187500047,810.3721685468822,9.35814027750007,120675.29826000197,3863567.2676069355
R-68110,FLX|Benny|fennel|AAD,GV FLEX GLOBAL BOWL,275.0000187500047,844.5761244608607,9.333896696854909,120282.5854729052,3802164.658880054
R-48357,FLX|Eggs Benny|Smk Salmon|AAD,GV-FLEX DOD,275.0000187500047,912.7341685468823,12.17014027750007,178845.29826000196,4197853.267606935
R-62379,FLX|hash| squash and tempeh,GV - FLEX BC,225.0,211.388854009504,1.9913038624294623,15873.884266349867,514006.3319287199
R-54377,GR|Sandwich|Classic BLT|AAD,SANDWICHES,293.17500166574814,1345.9384469494448,16.05765690011489,215883.9665186394,6680629.42839587
R-50312,GRL|Benny |Avocado spinach|AAD,GV - GRILL BREAKFAST,201.49999694900015,442.31291781636475,4.651035068739554,61583.38503053706,1946112.3742541827
R-62002,GRL|Benny|Asparagus|FLX ,GV GRILL BRUNCH,275.0000187500047,936.9251948690239,9.982637513181439,125648.52616678274,4098858.035247401
R-68109,GRL|Benny|Crispy chicken|AAD,GV - GRILL BREAKFAST,316.9999938980003,1116.466030709948,16.470236565591005,157267.7294746468,4369949.388980462
R-62012,GRL|Benny|Ham & mustard|AAD,GV GRILL FEATURE,334.0000187500047,1624.5238524781448,19.293532178828503,257379.5679244701,7890892.385115174
R-44024,GRL|Bowl|Gather & Run|AAD,GV - GRILL BREAKFAST,265.50000187500007,1500.6715426506057,20.565738499138558,272577.368055868,8264251.891278865
R-48488,GRL|BOWL|Huevos Rancheros|AAD,GV - GRILL BREAKFAST,237.00000187500007,649.7416142221872,6.663754307482822,96876.56880065087,3642173.055151575
R-44650,GRL|Bowl|Professors|Breakfast,GV - GRILL BREAKFAST,477.0,763.7068890277212,8.464738096329082,79511.62301027961,2272518.4455033517
R-68107,GRL|Bowl|Thunderbird Breakfast,GV GRILL BRUNCH,425.0,670.1665429471842,5.962970221901361,111381.83615343236,2786814.0094072046
R-61844,GRL|BreakfastBurritoBowl|AAD,GV - GRILL BREAKFAST,237.0,285.4029594142155,1.8633727767594859,10925.689750849106,506742.58966981096
R-51146,GRL|Crepe|Ham and Swiss|AAD,GV GRILL DAY,193.00000536000022,687.3219273098077,7.362901830020519,133439.37920899363,4994244.91132425
R-67745,GRL|Crepe|Mushroom Swiss|AAD,GV - GRILL BREAKFAST,294.0000098800004,589.5470471348794,5.4952035816690366,128976.15710817525,4439331.555059493
R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST,380.0000096000004,986.1536870725763,3.921692449772314,101770.41097221099,3089301.0412024693
R-50570,GRL|Crepe|Peach|AAD,OK - GRILL BRUNCH,345.0000096000004,528.030992841807,3.717868323898188,100958.671986197,3078930.228440231
R-69126,GRL|French Toast Black|AAD,GV GRILL BRUNCH,149.10000531180043,415.5930152300733,4.538451507186075,72774.18222670673,2467813.432392026
R-68973,GRL|French Toast Raz |AAD,GV GRILL BRUNCH,149.10000531180043,424.45439808721613,4.5471300786146465,76101.24222670673,2606161.9381063115
R-51383,GRL|Gather breakfast|RATIO,GV - GRILL BREAKFAST,568.9772866064601,1381.7393467295844,22.14049402454561,182465.77911732686,5255468.477929822
R-68108,GRL|Pancakes|apple cin|AAD(1),GV - GRILL BREAKFAST,106.0,112.52805599999999,0.18695500000000004,7760.777999999999,74649.35600000001
R-36646,GRL|Pancakes|Blueberry|AAD,GV - GRILL BREAKFAST,107.0,186.70755584415585,0.18309714285714285,23104.63714285714,902574.3501298701
R-68099,GRL|Pancakes|Strawberry|AAD ,GV - GRILL BREAKFAST,107.0,152.94704651162792,0.13700829865361078,17651.640954712362,688056.1305507956
R-61822,GRL|Side|hashbrowns|,GV - GRILL BREAKFAST,250.0,116.43016198979593,1.4507748724489795,756.858418367347,22732.289540816328
R-44738,GRL|Side|Tomato,GV - GRILL BREAKFAST,115.22727254395662,82.92744513708668,0.8982363158251621,8752.630320027125,509195.1044774865
R-62249,GRL|Side|wilted Bfast spinach,GV - GRILL BREAKFAST,60.0,215.95585244081633,1.4323795102040815,8478.939526530612,1014250.7742367348
R-54846,HC|Benny |Pulled Pork|AAD,SPECIALS,142.49999943,828.9951690530396,10.126104664805473,135181.33353098083,4208305.613775895
R-54202,FF|Bibimbap Bowl|AAD,GV FRESH FARE DAY,532.0,811.5618438616328,5.908469011370558,172871.17905971553,2884581.6892039306
R-64951,FF|Bowl|Asparagus scramble|AAD,GV FRESH FARE BREAKFAST,385.0,1399.4449836363642,14.94268861546488,151355.11270340087,5585059.676492729
R-27275,FF|Bowl|Black Bean Break|AAD,GV FRESH FARE BREAKFAST,407.0,771.2125127693482,7.851899259044029,89493.50225973323,2437570.2428295035
R-65942,FF|Bowl|chilimiso scramble|AAD,GV FRESH FARE BREAKFAST,310.0,716.4629092840886,9.913975997585727,98240.42944414535,2956257.8106790055
R-43738,FF|BOWL|Dobanjiang Noodle|AAD ,OK - VEGETARIAN KITCHEN,319.0,425.70361928284433,5.051073883520185,78066.79908630105,2638354.406520718
R-57179,FF|Bowl|Fajita VEG|AAD,GV FRESH FARE DAY,460.0,728.5101390282308,3.77760381594058,164838.32089410786,1802695.1041697673
R-54039,FF|Bowl|Kale|AAD,GV FRESH FARE DAY,293.0,299.3365456801789,3.3302584074186137,35411.478310210514,1141342.864868093
R-55057,FF|Bowl|Mediterranean|AAD,GV FRESH FARE DAY,375.0,887.8621912805107,6.4163758748599085,137471.7033032608,3897433.00211998
R-64398,FF|Bowl|OysterMushroom|AAD,SPECIALS,355.0,1043.5812145919533,2.3865715269657963,165948.09160420715,963560.9294545901
R-65761,FF|Bowl|Poached Egg Zuc.|AAD,GV FRESH FARE DAY,410.0,854.716147558001,7.463972072281019,217285.0738309364,2571286.333226262
R-35341,FF|Bowl|Polenta|AAD,OK - SIDES,265.0,748.4005422910938,6.422911124657221,64275.83197795996,3419026.0080387313
R-50333,FF|Bowl|Roasted squash|AAD,GV FRESH FARE DAY,375.0,373.95569876362725,2.3566343611577087,102047.38521036047,724980.9100723412
R-65513,FF|Bowl|Salsa scramble|AAD,GV FRESH FARE BREAKFAST,375.0,928.2154368533162,11.248953882851822,108157.34221896845,3342379.977136942
R-40621,FF|Bowl|Thai Coconut|AAD,GV FRESH FARE DAY,383.0,551.1491459307986,2.036569398483915,101713.24335664636,521679.2947021312
R-56895,FF|Brussel Sprout Pasta|AAD,OK - GLOBAL KITCHEN ,337.0,710.7595357191071,4.305411352582192,100515.9728935218,4918666.633236777
R-61853,FF|Overnight oats|AppleCin|AAD,GV FRESH FARE BREAKFAST,370.0,581.2214123924731,1.2689475,124235.60053763441,5476850.185806451
R-61855,FF|Overnight oats|Bannana|AAD,GV FRESH FARE BREAKFAST,350.0,576.3331018861351,1.3777294344805162,136247.48319855315,6703165.931843207
R-66411,FF|Overnight oats|black|AAD,GV FRESH FARE BREAKFAST,390.0,667.054879808213,1.4903580059090875,157439.3117699817,7553913.866908142
R-69124,FF|Overnight oats|straw|AAD,GV FRESH FARE BREAKFAST,365.0,608.807125141949,1.3998135838073216,144625.31367590933,7040527.257118605
R-47827,FF|Pasta|Artichoke Penne|AAD,GV FRESH FARE FEATURE,347.0,856.3441704958427,8.458465902339416,145648.56585257495,6022489.116501153
R-68820,FF|Pasta|blanco|AAD,SPECIALS,315.0,500.823,3.2679,127857.8,7033554.0
R-68821,FF|Pasta|Duxcell Spaghetti,SPECIALS,307.3053344042535,285.70223696008946,3.0204674852155495,60935.19492292397,1984435.481764109
R-36568,FF|Pasta|Spinach Avocado|AAD,GV FRESH FARE DAY,312.0,438.05685381342016,3.6576848840285265,80881.10530368863,2880574.2362812334
R-55234,FF|Pasta|Tomato basil|AAD,GV FRESH FARE DAY,297.0,460.6734665495337,4.696179606138751,107713.36599483929,3768011.915418548
R-54608,FF|Ratatoullie|bowl|AAD,GV FRESH FARE FEATURE,365.0,534.2700075526054,4.764024273232657,144772.0568841192,2743917.936484597
R-47096,FF|Risotto|Mushroom|Herbs&chee,GV FRESH FARE FEATURE,300.0,470.4445554616862,1.8163695275446985,97079.51831268946,1003367.8391396006
R-55151,FF|Risotto|Primavera|AAD,GV FRESH FARE FEATURE,283.0,363.4580079717346,2.029767704287354,97947.70629480669,1076385.2447367788
R-55148,FF|Risotto|Squash|Herbs&cheese,GV FRESH FARE FEATURE,280.0,331.43682943602704,2.1057704672399473,100224.08273589404,1129228.228641478
R-36574,FF|Salad|UBC Power|AAD,GV FRESH FARE DAY,390.0,492.78345786417447,2.288748612056963,81705.61425206615,3079482.1784032513
R-50694,FF|Spaghetti Puttanesca|AAD,GV FRESH FARE DAY,351.5,434.26106424161395,3.402542490204374,70321.92762893777,2731734.918285741
R-56719,FF|Toast|Beans On Toast|AAD,GV FRESH FARE DAY,109.18749989891407,221.1155463152694,1.3078740665173763,18116.83435688843,898587.8749429605
R-61875,FF|Toast|Bruscetta|AAD,GV FRESH FARE DAY,154.18749989891407,362.3236768571824,3.891589262500943,41925.40055747058,1336013.0392337542
R-56718,FF|Toast|Farm Veg toast|AAD,GV FRESH FARE DAY,196.18750052291406,202.16415206957413,1.6289216738558494,14904.296453432362,742347.2883024439
R-61874,FF|Toast|Mushroom toast|AAD,GV FRESH FARE DAY,169.18749989891407,369.19410228519905,3.027052065688125,30538.25928420877,1262816.5007009786
R-68811,FF|Toast|primavera|AAD,GV FRESH FARE DAY,99.18749989891407,70.42787884928705,0.8234188036316237,8160.713667436243,335225.4153784971
R-65943,FF|Toast|Shaved fennel|AAD,GV FRESH FARE DAY,185.18749989891407,588.8195758818106,6.568753460128779,73431.1038389118,2045394.3064241025
R-36669,FF|Toast|Smashed Avocado|AAD,GV FRESH FARE DAY,215.37499979782814,212.00102299221751,0.6892880587693802,14757.86735634924,881744.0054557385
R-36552,FF|Yaki Soba Miso Noodle|AAD,GV FRESH FARE DAY,683.0,472.68246360470306,5.095503007494925,104750.40064291813,3320420.113323521
R-54557,FLX|GLB|Garlic Flatbread,GV FLEX GLOBAL BOWL,35.208334404253506,87.73544033754048,0.8305373244312355,16452.501087629866,569891.583588619
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY,660.0,654.0126318135734,4.064341840476433,106417.44179830105,2149674.506957127
R-44316,GRL|BOWL|White Bean|AAD,GV - GRILL BREAKFAST,505.00000187500007,1363.6647255831374,14.201380274117545,223880.3116043349,5880166.493302354
R-67295,GZA|BowlEggplant miso|AAD,GV GYAZA,542.0,821.81421177246,4.286658519492046,288665.91580478725,3975025.820780997
R-56509,HS|Quesadilla|Breakfast,FT BUENO,360.00000187500007,1668.297257596466,17.33726097379011,246066.5536573709,11678786.211686466
R-32886,VEG|Bowl|Curried Chickpea,FEAST,425.00000480000017,694.8937506359662,3.7173708273549435,135873.04036590405,2078317.6602934743
R-55942,VEG|Falafel bowl|Med,FEAST,282.9999994,560.322516272392,2.721318128677057,79958.7808606146,1617623.5855497639
R-56688,VEG|Shakshuka,OK - VEGETARIAN KITCHEN,349.0000054400009,548.4254565502624,6.499485029788295,87985.28449774183,3392340.5308256582
R-35461,VEG|Tabbouleh Bowl,OK - VEGETARIAN KITCHEN,400.5000024262501,604.0277674006921,3.118413083135264,142332.45878255574,7357077.332326787
R-56827,CC|Chickpea Vindaloo|PLATE,FT OASIS/CHAAT,460.00000480000017,581.1831270831428,4.240151765783953,145721.72436249917,2545887.515816498
R-44885,FLX|Bao Shitake & Kimchi|AAD,GV FLEX BAO,166.0,81.51506087752628,1.0660953316340762,6531.398833908788,252133.63094690157
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO,361.0,1146.459469027193,12.671576225135547,294577.0614782191,5148520.393093969
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO,423.0,864.7455405551326,14.380204080798011,184118.15341945452,717858.7455624912
R-61970,FLX|Bao|Mushroom|AAD,GV FLEX BAO,147.0,171.85212388820193,0.9351176346553361,5822.794624154357,192876.18325218093
R-61932,FLX|Beef brisket|AAD ,GV - FLEX BC,295.0,6728.873358942972,53.68842657382358,268244.838876922,10681545.079059266
R-62000,FLX|Benny|mushroom spin|AAD,GV FLEX GLOBAL BOWL,270.0000187500047,796.2421238329042,9.406401961169193,120571.96156451311,3813156.9428756027
R-57374,FLX|BPD|Crispy potato,FOOD,125.0,10.401295918367348,0.006198979591836734,22.867346938775512,202.31632653061226
R-44376,FLX|Butter Chicken|275g,GV FLEX GLOBAL BOWL,467.0,1892.5500526819212,19.643178617810758,206659.6905243455,5214335.2078096885
R-57262,FLX|Butter Tofu 275g,GV FLEX GLOBAL BOWL,467.0,1530.0746241104928,6.766607189239331,164867.6905243455,5178812.922095402
R-65254,FLX|Laksa|eggplant Tofu|AAD,GV - FLEX ASIAN NOODLE,615.0,836.787748726556,3.6170294908673446,154139.54076468782,1285993.2931458834
R-64446,FLX|Laksa|ling cod|AAD 100g,GV - FLEX ASIAN NOODLE,595.0,1206.7800732930748,9.984632061068359,313137.910981045,1925031.5851053742
R-45203,FLX|Laksa|Salmon|AAD,GV - FLEX ASIAN NOODLE,595.0,1273.0988506282238,10.856418961217058,332667.4655423446,2031826.7288972135
R-41308,FLX|Miso ramen|AAD,GV - FLEX ASIAN NOODLE,627.0000012,270.707505478534,2.3314777891610166,31299.28453167866,951458.5425918589
R-69621,FLX|Palak Paneer|AAD,GV FLEX GLOBAL BOWL,421.0,1552.3991184305478,14.339443704599706,356341.04063017626,11785179.28364639
R-61435,FLX|Pasta|Mac + Cheese|350g,GV - FLEX BC,355.0,1291.7610445647917,13.47785101215987,239303.6154963495,11525541.43638973
R-49596,FLX|Pasta|Primavera Spaghetti,SPECIALS,340.3053344042535,416.70317975651153,4.041003034023073,73025.56657150069,2659714.29224467
R-61908,FLX|Pasta|Ravioli butternut,GV - FLEX BC,360.0,358.1853933089017,4.4209853786819915,77361.76977006436,2658489.978712702
R-44766,FLX|Pho Beef Noodle|AAD,GV - FLEX ASIAN NOODLE,416.0,8783.748534846993,69.64223477330401,441676.13996544806,13272552.48373456
R-44930,FLX|PHO Veg Noodle Soup|AAD,GV - FLEX ASIAN NOODLE,506.0,403.96460801154905,2.4130282555921774,96202.80080112745,586529.7477483975
R-61955,FLX|Shoyu Chicken 170g,GV - FLEX BC,170.0,866.9185472694852,22.277259776067382,71420.05202776105,141080.9016075511
